County,Year,State,Region,Economic Type,Urban or Rural,% Children in Poverty,% Excessive Drinking,High School Graduation Rate,Hospital Overuse,% Low Birth Weight,Median Family Income,Mentally Unhealthy Days,% Receiving Diabetes Monitoring,Teen Birth Rate,% Unemployed
Hale,2013-01-01,Alabama,South,Nonspecialized,Urban,41,8,67,99,13,38048,4.1,72,46,12
Henry,2013-01-01,Alabama,South,Nonspecialized,Urban,29,6,72,55,9,54725,3.7,83,47,8.4
Houston,2013-01-01,Alabama,South,Nonspecialized,Urban,29,12,71,63,8.5,52214,4.3,86,56,8.1
Jackson,2013-01-01,Alabama,South,Maufacturing,Rural,25,8,80,126,8.9,47380,5.5,84,53,8.7
Jefferson,2013-01-01,Alabama,South,Nonspecialized,Urban,27,15,73,56,11.6,59095,3.8,85,49,8.7
Lamar,2013-01-01,Alabama,South,Maufacturing,Rural,31,,72,113,9,42470,5.4,79,58,9.9
Lauderdale,2013-01-01,Alabama,South,Nonspecialized,Urban,24,4,81,66,10.1,55673,3.7,88,37,8.3
Lawrence,2013-01-01,Alabama,South,Maufacturing,Urban,27,5,79,103,10.1,48486,4.4,83,51,10.1
Lee,2013-01-01,Alabama,South,Federal/State Government,Urban,21,19,87,58,8,61629,4.9,84,25,7.4
Limestone,2013-01-01,Alabama,South,Federal/State Government,Urban,21,10,82,76,9.6,57858,3.3,89,49,7.6
Lowndes,2013-01-01,Alabama,South,Maufacturing,Urban,40,18,60,66,12.9,40783,4.7,84,65,16.6
Macon,2013-01-01,Alabama,South,Federal/State Government,Rural,43,,86,51,11.4,41233,2.4,83,35,12.5
Madison,2013-01-01,Alabama,South,Federal/State Government,Urban,20,11,74,56,10.6,75766,3.3,85,35,7.6
Marengo,2013-01-01,Alabama,South,Nonspecialized,Rural,34,15,87,104,12.4,48116,3.7,76,51,11.8
Marion,2013-01-01,Alabama,South,Maufacturing,Rural,33,3,73,137,9.3,41733,4.5,88,65,11.3
Marshall,2013-01-01,Alabama,South,Maufacturing,Rural,28,13,82,96,8.2,48952,4.5,81,76,8.6
Mobile,2013-01-01,Alabama,South,Nonspecialized,Urban,30,15,64,72,11.9,52234,4.5,83,59,10.1
Monroe,2013-01-01,Alabama,South,Maufacturing,Rural,42,15,79,97,15.1,36807,4.2,79,58,15.3
Montgomery,2013-01-01,Alabama,South,Federal/State Government,Urban,34,15,66,59,11.7,56684,3.6,84,59,9.1
Morgan,2013-01-01,Alabama,South,Maufacturing,Urban,27,10,71,95,9.2,55536,3.8,84,52,8.7
Perry,2013-01-01,Alabama,South,Nonspecialized,Rural,47,15,87,82,12.8,32108,3.5,74,54,16.4
Pickens,2013-01-01,Alabama,South,Nonspecialized,Urban,35,8,75,88,12.7,38728,3.3,87,42,10.7
Pike,2013-01-01,Alabama,South,Federal/State Government,Rural,34,11,69,96,10.1,46574,3.6,82,35,7.8
Randolph,2013-01-01,Alabama,South,Nonspecialized,Rural,31,13,81,115,10.2,45076,4.5,84,54,11
Russell,2013-01-01,Alabama,South,Maufacturing,Urban,30,,65,62,11,42730,4.4,80,57,10.1
St. Clair,2013-01-01,Alabama,South,Nonspecialized,Urban,25,11,76,85,8.7,57643,4,83,50,8.3
Shelby,2013-01-01,Alabama,South,Nonspecialized,Urban,12,12,86,57,8.5,82558,3.6,85,26,6.3
Sumter,2013-01-01,Alabama,South,Federal/State Government,Rural,46,14,80,64,13.6,35594,4.2,84,34,14.5
Talladega,2013-01-01,Alabama,South,Maufacturing,Rural,35,10,74,101,12.7,43074,5.1,81,55,10.3
Tallapoosa,2013-01-01,Alabama,South,Nonspecialized,Rural,30,14,77,80,12,46839,5.2,76,59,11.5
Tuscaloosa,2013-01-01,Alabama,South,Federal/State Government,Urban,27,12,67,88,11.6,58922,4.3,87,31,8.2
Walker,2013-01-01,Alabama,South,Nonspecialized,Urban,30,7,77,83,10.2,46245,5.6,87,59,9.5
Washington,2013-01-01,Alabama,South,Maufacturing,Rural,27,10,85,78,10,50376,2.9,77,45,14
Wilcox,2013-01-01,Alabama,South,Maufacturing,Rural,51,,72,71,12.9,26739,4.9,73,52,19.3
Winston,2013-01-01,Alabama,South,Maufacturing,Rural,30,12,87,180,9.8,41113,6.3,83,56,13.4
Aleutians East,2013-01-01,Alaska,West,Maufacturing,Rural,18,,61,,,67750,3.6,,,11.1
Aleutians West,2013-01-01,Alaska,West,Maufacturing,Rural,9,26,85,,,87159,1.6,,,7.8
Anchorage,2013-01-01,Alaska,West,Federal/State Government,Urban,12,19,72,44,6.3,90466,2.9,66,39,6.1
Bethel,2013-01-01,Alaska,West,Nonspecialized,Rural,30,17,42,132,5.5,53224,2.8,33,78,14.7
Bristol Bay,2013-01-01,Alaska,West,Maufacturing,Rural,11,,73,,,96458,1.6,,,3.9
Denali,2013-01-01,Alaska,West,Recreation,Rural,8,27,50,,,99091,2,,,9.9
Dillingham,2013-01-01,Alaska,West,Maufacturing,Rural,27,15,44,,4.7,56089,2.2,,57,10.2
Fairbanks North Star,2013-01-01,Alaska,West,Federal/State Government,Urban,11,21,67,41,5.6,82930,3,77,39,6.7
Haines,2013-01-01,Alaska,West,Recreation,Rural,17,15,81,,,68207,2.1,56,,8.2
Juneau,2013-01-01,Alaska,West,Federal/State Government,Rural,10,22,72,44,4.9,95112,3,75,27,5.3
Kenai Peninsula,2013-01-01,Alaska,West,Recreation,Rural,14,18,73,57,4.6,75689,3.2,81,31,9.3
Ketchikan Gateway,2013-01-01,Alaska,West,Federal/State Government,Rural,15,23,65,69,5.6,85638,3.1,83,33,7.3
Kodiak Island,2013-01-01,Alaska,West,Maufacturing,Rural,11,26,78,74,5.7,73887,2.1,82,35,6.9
Lake and Peninsula,2013-01-01,Alaska,West,Recreation,Rural,22,,50,,,53828,1.8,,52,7.9
Matanuska-Susitna,2013-01-01,Alaska,West,Recreation,Urban,15,18,70,58,6.1,81821,3.4,79,33,8.9
Nome,2013-01-01,Alaska,West,Nonspecialized,Rural,32,21,56,106,6.7,47078,2.5,76,96,12.3
North Slope,2013-01-01,Alaska,West,Mining,Rural,14,15,59,,7,82500,1.3,,101,5.4
Northwest Arctic,2013-01-01,Alaska,West,Mining,Rural,28,22,49,,6.4,57866,2.3,,94,14.7
Sitka,2013-01-01,Alaska,West,Nonspecialized,Rural,11,25,83,72,5.1,78000,2.7,54,26,6.1
Southeast Fairbanks,2013-01-01,Alaska,West,Mining,Rural,20,14,64,31,5.4,66369,2.3,73,34,10.9
Valdez-Cordova,2013-01-01,Alaska,West,Recreation,Rural,11,21,86,40,5.3,88480,3.5,73,25,9.1
Yakutat,2013-01-01,Alaska,West,Federal/State Government,Rural,17,,100,,,80875,3.1,,,10.7
Yukon-Koyukuk,2013-01-01,Alaska,West,Nonspecialized,Rural,29,25,46,25,4.3,46875,2.5,50,62,15.7
Apache,2013-01-01,Arizona,West,Federal/State Government,Rural,44,13,70,96,7.2,37095,4.3,28,61,18.9
Cochise,2013-01-01,Arizona,West,Federal/State Government,Urban,31,14,79,64,8.1,55120,3.7,74,55,8.8
Coconino,2013-01-01,Arizona,West,Federal/State Government,Urban,27,16,76,61,8,59308,3,54,38,9.2
Gila,2013-01-01,Arizona,West,Recreation,Rural,38,16,72,66,8.6,48958,5.5,66,83,10.8
Graham,2013-01-01,Arizona,West,Federal/State Government,Rural,31,14,82,82,7.7,50583,4.3,59,59,10.5
Greenlee,2013-01-01,Arizona,West,Mining,Rural,18,17,83,72,7.2,48074,3.2,81,74,8.3
La Paz,2013-01-01,Arizona,West,Recreation,Rural,38,22,75,76,5.7,42729,4.8,69,82,10.3
Maricopa,2013-01-01,Arizona,West,Nonspecialized,Urban,25,17,80,52,7,63910,3.1,82,55,8.4
Mohave,2013-01-01,Arizona,West,Recreation,Urban,37,17,73,69,6.9,47136,4.3,81,60,11
Navajo,2013-01-01,Arizona,West,Recreation,Rural,45,12,72,66,8.1,43516,3.6,49,69,16
Pima,2013-01-01,Arizona,West,Nonspecialized,Urban,29,16,74,42,7.2,57757,3.4,80,47,8.4
Pinal,2013-01-01,Arizona,West,Nonspecialized,Urban,23,19,71,65,6.8,55282,3.4,78,65,10.3
Santa Cruz,2013-01-01,Arizona,West,Federal/State Government,Rural,35,19,81,37,7.9,41774,2.6,79,59,17.1
Yavapai,2013-01-01,Arizona,West,Recreation,Urban,29,15,78,33,7.2,53015,4.1,82,51,10
Yuma,2013-01-01,Arizona,West,Recreation,Urban,32,15,78,64,6.1,44302,3,80,72,27.1
Arkansas,2013-01-01,Arkansas,South,Maufacturing,Rural,28,13,83,107,11.8,50137,4.4,90,66,10.8
Ashley,2013-01-01,Arkansas,South,Maufacturing,Rural,31,10,83,87,10.2,45612,3.6,83,67,11.2
Baxter,2013-01-01,Arkansas,South,Nonspecialized,Rural,28,15,80,84,7.3,45499,3.7,86,51,8.6
Benton,2013-01-01,Arkansas,South,Nonspecialized,Urban,18,14,87,60,7.2,61706,2.8,81,52,6.3
Boone,2013-01-01,Arkansas,South,Nonspecialized,Rural,27,6,82,93,6.2,47585,4.1,82,55,7.4
Bradley,2013-01-01,Arkansas,South,Nonspecialized,Rural,36,4,86,126,9.6,39659,4.6,77,77,11.1
Calhoun,2013-01-01,Arkansas,South,Maufacturing,Rural,22,8,83,78,12.1,44638,3.7,78,44,9.4
Carroll,2013-01-01,Arkansas,South,Maufacturing,Rural,30,12,76,64,6.6,46669,4.1,86,70,6.3
Chicot,2013-01-01,Arkansas,South,Farming,Rural,48,10,78,100,11.7,34451,4,84,75,11.9
Clark,2013-01-01,Arkansas,South,Federal/State Government,Rural,30,9,81,54,7.8,48735,3.1,85,30,9.5
Clay,2013-01-01,Arkansas,South,Farming,Rural,29,6,84,110,8,41121,3.1,86,65,13.7
Cleburne,2013-01-01,Arkansas,South,Recreation,Rural,26,,84,63,8.7,49059,4.9,87,51,7.9
Cleveland,2013-01-01,Arkansas,South,Nonspecialized,Urban,25,7,90,91,11,47576,5.2,86,52,7.9
Columbia,2013-01-01,Arkansas,South,Maufacturing,Rural,37,12,86,89,9.3,47472,4.3,81,52,9.4
Conway,2013-01-01,Arkansas,South,Nonspecialized,Rural,31,13,82,62,6.7,46002,5.9,84,66,8.3
Craighead,2013-01-01,Arkansas,South,Nonspecialized,Urban,28,9,85,74,8.3,52466,3.7,85,51,7.3
Crawford,2013-01-01,Arkansas,South,Maufacturing,Urban,27,14,88,86,8,46113,4,85,60,8.5
Crittenden,2013-01-01,Arkansas,South,Nonspecialized,Urban,40,11,74,84,12.4,48372,4.5,83,90,12.6
Cross,2013-01-01,Arkansas,South,Nonspecialized,Rural,28,11,82,95,12.1,48100,5,74,64,8.5
Dallas,2013-01-01,Arkansas,South,Nonspecialized,Rural,34,4,88,91,14.2,39681,,82,69,11.1
Desha,2013-01-01,Arkansas,South,Nonspecialized,Rural,40,8,86,124,15,39937,3.1,80,87,11.8
Drew,2013-01-01,Arkansas,South,Federal/State Government,Rural,31,12,85,112,10.1,39884,4.6,84,48,11.7
Faulkner,2013-01-01,Arkansas,South,Nonspecialized,Urban,18,14,87,54,7.7,65155,3.5,86,36,7
Franklin,2013-01-01,Arkansas,South,Nonspecialized,Rural,28,7,86,72,8,43053,4.6,85,55,7.5
Fulton,2013-01-01,Arkansas,South,Nonspecialized,Rural,34,9,99,84,8.1,41720,2.8,84,51,7.4
Garland,2013-01-01,Arkansas,South,Recreation,Urban,32,15,82,59,9.2,48388,5.3,85,57,8.3
Grant,2013-01-01,Arkansas,South,Nonspecialized,Urban,18,17,80,103,9.3,58808,5.7,86,48,7.2
Greene,2013-01-01,Arkansas,South,Maufacturing,Rural,26,12,83,112,7.6,48011,3.9,79,66,10
Hempstead,2013-01-01,Arkansas,South,Nonspecialized,Rural,38,10,84,114,10.8,43407,4.4,84,78,8.5
Hot Spring,2013-01-01,Arkansas,South,Nonspecialized,Rural,30,10,83,114,8,49541,5.3,80,65,7.6
Howard,2013-01-01,Arkansas,South,Maufacturing,Rural,31,,91,90,9.1,40970,3.1,70,70,8
Independence,2013-01-01,Arkansas,South,Maufacturing,Rural,28,9,90,96,9.1,44442,4.4,80,59,8.8
Izard,2013-01-01,Arkansas,South,Federal/State Government,Rural,32,11,90,91,8.2,39717,5.5,79,56,9.4
Jackson,2013-01-01,Arkansas,South,Federal/State Government,Rural,35,3,86,142,10.8,38639,3.5,77,78,10.6
Jefferson,2013-01-01,Arkansas,South,Federal/State Government,Urban,36,15,76,67,12.4,48562,4.1,82,70,10.6
Johnson,2013-01-01,Arkansas,South,Maufacturing,Rural,30,13,85,75,7.1,37119,3.4,85,66,7.2
Lafayette,2013-01-01,Arkansas,South,Nonspecialized,Rural,35,,90,83,12.7,38913,4.7,83,53,9.9
Lawrence,2013-01-01,Arkansas,South,Nonspecialized,Rural,34,6,90,136,7.6,42457,3.6,87,49,9.8
Lee,2013-01-01,Arkansas,South,Farming,Rural,46,11,83,116,13.3,32986,4.4,79,77,11.3
Lincoln,2013-01-01,Arkansas,South,Federal/State Government,Urban,29,5,82,75,9.5,40936,3.6,78,61,9.4
Little River,2013-01-01,Arkansas,South,Maufacturing,Urban,28,7,80,124,9.9,48406,4,75,58,7.7
Logan,2013-01-01,Arkansas,South,Nonspecialized,Rural,31,10,85,95,8.9,46489,3.3,83,64,8.4
Lonoke,2013-01-01,Arkansas,South,Nonspecialized,Urban,19,14,79,79,7.8,60786,4,84,49,6.8
Madison,2013-01-01,Arkansas,South,Maufacturing,Urban,31,16,86,46,6.9,43373,2.3,80,47,6.2
Marion,2013-01-01,Arkansas,South,Maufacturing,Rural,35,13,87,65,7.4,42333,4.1,82,54,9.4
Miller,2013-01-01,Arkansas,South,Nonspecialized,Urban,32,13,80,90,10.5,51790,3.5,87,75,7
Mississippi,2013-01-01,Arkansas,South,Maufacturing,Rural,36,7,75,106,11.6,42286,4.6,72,89,11.1
Monroe,2013-01-01,Arkansas,South,Nonspecialized,Rural,48,11,75,70,12.2,35422,3.4,86,72,9
Montgomery,2013-01-01,Arkansas,South,Recreation,Rural,35,,86,66,7.6,39469,3.8,79,52,8.3
Nevada,2013-01-01,Arkansas,South,Maufacturing,Rural,35,10,91,102,10.8,42500,,84,73,9.2
Newton,2013-01-01,Arkansas,South,Farming,Rural,36,16,88,79,8.9,37243,3.3,90,43,7.8
Ouachita,2013-01-01,Arkansas,South,Federal/State Government,Rural,38,13,85,71,11.6,42354,6.3,86,81,9.4
Perry,2013-01-01,Arkansas,South,Nonspecialized,Urban,27,14,88,72,8.1,50840,3.4,88,49,8.6
Phillips,2013-01-01,Arkansas,South,Nonspecialized,Rural,51,12,76,127,13.5,34684,5.4,70,94,11.4
Pike,2013-01-01,Arkansas,South,Nonspecialized,Rural,32,13,87,59,8.3,37440,3.2,84,51,9.4
Poinsett,2013-01-01,Arkansas,South,Nonspecialized,Urban,37,11,77,106,9.9,39616,6.9,85,84,9
Polk,2013-01-01,Arkansas,South,Nonspecialized,Rural,35,11,92,73,8.1,38275,4.4,75,68,8.3
Pope,2013-01-01,Arkansas,South,Nonspecialized,Rural,30,14,85,88,7.5,47074,3.1,83,48,7.6
Prairie,2013-01-01,Arkansas,South,Farming,Rural,31,7,91,104,9.1,43408,3.8,75,49,8.2
Pulaski,2013-01-01,Arkansas,South,Federal/State Government,Urban,23,16,68,64,10.5,58688,3.4,81,60,7.2
Randolph,2013-01-01,Arkansas,South,Nonspecialized,Rural,35,10,95,94,7.3,45492,4.9,90,57,10.3
St. Francis,2013-01-01,Arkansas,South,Federal/State Government,Rural,44,9,75,81,12.9,34705,4.9,83,97,11
Saline,2013-01-01,Arkansas,South,Nonspecialized,Urban,15,11,85,60,8.3,66936,4.3,83,39,6.5
Scott,2013-01-01,Arkansas,South,Maufacturing,Rural,37,8,82,152,7.8,42333,4.8,81,76,6.9
Searcy,2013-01-01,Arkansas,South,Nonspecialized,Rural,47,9,85,69,7.2,39444,5.6,83,50,8.5
Sebastian,2013-01-01,Arkansas,South,Maufacturing,Urban,31,12,78,63,8.3,50511,4,80,61,8.3
Sevier,2013-01-01,Arkansas,South,Maufacturing,Rural,32,17,89,123,7.1,44267,3.1,82,79,8.3
Sharp,2013-01-01,Arkansas,South,Nonspecialized,Rural,38,8,90,88,8.1,40550,5.9,81,60,10.3
Stone,2013-01-01,Arkansas,South,Nonspecialized,Rural,39,11,91,142,12.5,39665,5,76,56,10.2
Union,2013-01-01,Arkansas,South,Mining,Rural,32,12,83,66,10.2,46952,4.2,83,71,9.7
Van Buren,2013-01-01,Arkansas,South,Nonspecialized,Rural,39,11,88,73,8.6,42607,3.9,87,60,9.8
Washington,2013-01-01,Arkansas,South,Nonspecialized,Urban,27,15,84,62,7.2,54190,3,83,47,6
White,2013-01-01,Arkansas,South,Nonspecialized,Rural,24,12,86,90,8.3,51449,3,83,50,8.8
Woodruff,2013-01-01,Arkansas,South,Nonspecialized,Rural,39,2,81,115,12.3,36902,,72,82,11.6
Yell,2013-01-01,Arkansas,South,Maufacturing,Rural,28,16,84,187,8.9,41469,3.5,76,83,6.5
Alameda,2013-01-01,California,West,Nonspecialized,Urban,17,20,81,52,7.1,88618,3.4,78,27,10.4
Alpine,2013-01-01,California,West,Recreation,Rural,29,0,50,,,76645,,,,15.1
Amador,2013-01-01,California,West,Federal/State Government,Rural,19,16,85,47,4.9,68593,4.4,84,24,12.8
Butte,2013-01-01,California,West,Nonspecialized,Urban,28,19,85,67,5.8,55917,4.2,79,28,13.6
Calaveras,2013-01-01,California,West,Recreation,Rural,20,23,92,43,5.9,68401,3.5,83,25,14.6
Colusa,2013-01-01,California,West,Farming,Rural,20,,83,69,5.3,56830,2.4,86,51,20.4
Contra Costa,2013-01-01,California,West,Nonspecialized,Urban,15,19,83,51,6.7,94208,3.6,81,24,10.4
Del Norte,2013-01-01,California,West,Federal/State Government,Rural,34,9,85,51,5.4,51470,,79,54,13.4
El Dorado,2013-01-01,California,West,Recreation,Urban,13,19,92,40,6.3,85253,2.9,85,19,11.8
Fresno,2013-01-01,California,West,Nonspecialized,Urban,35,17,80,61,7.4,50884,3.4,82,57,16.5
Glenn,2013-01-01,California,West,Farming,Rural,27,,87,52,4.7,51705,3.6,79,50,15.8
Humboldt,2013-01-01,California,West,Nonspecialized,Rural,26,21,86,40,6,52974,4.4,84,28,11.3
Imperial,2013-01-01,California,West,Federal/State Government,Urban,33,15,85,64,6.2,45540,3.7,84,64,29.7
Inyo,2013-01-01,California,West,Recreation,Rural,20,,81,35,8.5,70185,5.2,88,40,9.9
Kern,2013-01-01,California,West,Nonspecialized,Urban,35,16,79,78,7.1,52618,4.1,80,65,14.9
Kings,2013-01-01,California,West,Federal/State Government,Urban,30,16,77,79,6.5,50489,4.1,76,67,16.1
Lake,2013-01-01,California,West,Nonspecialized,Rural,34,22,82,67,5.9,48323,4.1,81,44,16.7
Lassen,2013-01-01,California,West,Federal/State Government,Rural,19,22,79,70,6.3,65616,3.7,75,35,13.5
Los Angeles,2013-01-01,California,West,Nonspecialized,Urban,26,16,75,60,7.3,62237,3.7,79,38,12.3
Madera,2013-01-01,California,West,Nonspecialized,Urban,34,15,83,64,6.3,50772,3.8,83,64,15.3
Marin,2013-01-01,California,West,Recreation,Urban,11,25,94,35,6.3,117357,2.7,80,14,7.4
Mariposa,2013-01-01,California,West,Recreation,Rural,24,,92,41,5.1,62278,3.8,82,22,11.8
Mendocino,2013-01-01,California,West,Recreation,Rural,31,25,81,41,6.3,54459,3.4,83,39,10.9
Merced,2013-01-01,California,West,Nonspecialized,Urban,36,13,87,62,6.4,47456,4.2,82,52,18.3
Modoc,2013-01-01,California,West,Federal/State Government,Rural,32,,88,55,6,46268,,79,42,14.9
Mono,2013-01-01,California,West,Recreation,Rural,16,,76,43,8.8,72237,3.4,91,25,10
Monterey,2013-01-01,California,West,Recreation,Urban,25,15,75,44,5.9,63669,4.2,82,55,12.4
Napa,2013-01-01,California,West,Recreation,Urban,17,23,86,49,6.1,79700,4.4,82,27,9
Nevada,2013-01-01,California,West,Recreation,Rural,17,19,90,41,5.9,70148,3.1,84,18,10.6
Orange,2013-01-01,California,West,Nonspecialized,Urban,18,17,90,45,6.4,84765,3.3,83,28,8.7
Placer,2013-01-01,California,West,Recreation,Urban,10,17,91,35,5.7,87352,3.1,82,17,10.8
Plumas,2013-01-01,California,West,Recreation,Rural,22,21,63,69,5.3,55183,3,74,23,15.9
Riverside,2013-01-01,California,West,Recreation,Urban,23,17,82,55,6.5,63378,4,79,42,13.6
Sacramento,2013-01-01,California,West,Federal/State Government,Urban,25,18,78,45,6.9,64154,3.9,79,38,12.1
San Benito,2013-01-01,California,West,Nonspecialized,Urban,18,,87,58,6,71425,2.9,82,37,15.7
San Bernardino,2013-01-01,California,West,Nonspecialized,Urban,26,17,80,63,7.1,59294,4.1,75,47,13.2
San Diego,2013-01-01,California,West,Nonspecialized,Urban,19,17,84,44,6.6,73495,3.6,82,35,10
San Francisco,2013-01-01,California,West,Nonspecialized,Urban,16,21,82,48,7,90116,3.4,81,17,8.6
San Joaquin,2013-01-01,California,West,Nonspecialized,Urban,25,18,79,63,6.9,59900,3.9,82,47,16.8
San Luis Obispo,2013-01-01,California,West,Recreation,Urban,18,20,92,37,6,74885,3.8,86,19,9.3
San Mateo,2013-01-01,California,West,Nonspecialized,Urban,10,19,87,38,6.7,105844,3,84,22,7.9
Santa Barbara,2013-01-01,California,West,Nonspecialized,Urban,21,18,86,35,6.2,72602,2.9,87,36,8.8
Santa Clara,2013-01-01,California,West,Maufacturing,Urban,13,14,83,38,6.7,103983,2.7,85,26,9.7
Santa Cruz,2013-01-01,California,West,Recreation,Urban,19,18,86,41,5.8,80899,3.8,83,27,12.1
Shasta,2013-01-01,California,West,Nonspecialized,Urban,25,20,88,49,6.2,54222,4,83,37,14.7
Sierra,2013-01-01,California,West,Recreation,Rural,20,,93,42,,52454,,76,,14.3
Siskiyou,2013-01-01,California,West,Nonspecialized,Rural,32,20,88,44,7.4,47183,4.2,84,41,16.6
Solano,2013-01-01,California,West,Nonspecialized,Urban,18,18,77,45,7.1,76932,3.2,74,31,11.4
Sonoma,2013-01-01,California,West,Recreation,Urban,16,22,83,39,5.8,75896,3.5,80,25,9.8
Stanislaus,2013-01-01,California,West,Nonspecialized,Urban,32,18,79,65,6.4,55432,3.8,83,46,16.8
Sutter,2013-01-01,California,West,Nonspecialized,Urban,25,13,85,64,5.8,57129,3.3,79,41,18.8
Tehama,2013-01-01,California,West,Nonspecialized,Rural,28,19,81,48,5.5,49018,5,76,49,15
Trinity,2013-01-01,California,West,Federal/State Government,Rural,33,14,90,67,5,47349,,72,28,17.8
Tulare,2013-01-01,California,West,Nonspecialized,Urban,34,19,81,73,6.2,45500,4.8,79,66,16.6
Tuolumne,2013-01-01,California,West,Recreation,Rural,24,26,89,37,4.7,59152,3.9,83,25,13
Ventura,2013-01-01,California,West,Nonspecialized,Urban,16,18,86,45,6.5,86301,3.6,82,35,10.1
Yolo,2013-01-01,California,West,Federal/State Government,Urban,21,17,86,33,5.3,74687,2.9,84,20,12.4
Yuba,2013-01-01,California,West,Federal/State Government,Urban,27,16,81,75,6.2,50648,4.9,81,58,18.2
Adams,2013-01-01,Colorado,West,Nonspecialized,Urban,23,19,65,56,8.8,64611,3.5,81,58,9.7
Alamosa,2013-01-01,Colorado,West,Federal/State Government,Rural,30,12,78,53,11.1,49889,3.1,63,61,8.1
Arapahoe,2013-01-01,Colorado,West,Nonspecialized,Urban,16,17,71,43,9.4,73649,3.2,82,37,8.2
Archuleta,2013-01-01,Colorado,West,Recreation,Rural,27,15,82,29,9.4,58222,3.7,78,39,9.2
Baca,2013-01-01,Colorado,West,Farming,Rural,31,10,46,95,11.8,48080,2.6,81,36,3.9
Bent,2013-01-01,Colorado,West,Farming,Rural,35,,87,87,14.3,42598,3.8,59,71,7.6
Boulder,2013-01-01,Colorado,West,Nonspecialized,Urban,13,17,84,43,7.7,92667,2.7,83,18,6.2
