Year,Name,Control,State,Region,Admission Rate,SAT Average,Average Cost of Attendance,Average Faculty Salary,Median Family Income,Undergrad Population,% Female,% White,% Black,% Hispanic,% Asian,% International Students,% Undergrad with Pell Grant,Completion Rate,% Undergrad 25 or Above,% First-Generation College Students,% Students whose Parents Have Postsecondary Education
2014-01-02,Judson College,Private,Alabama,Southeast,0.7388,1023,27815,5638,31744,331,0.9698,0.7915,0.145,0.0151,0.0091,0.0091,0.4788,0.4051,0.2622,0.3440860215,0.6559139785
2014-01-02,University of West Alabama,Public,Alabama,Southeast,0.9957,950,17959,6408,21667,1988,0.5719,0.4291,0.4195,0.0216,0.0101,0.0473,0.5604,0.3161,0.1786,0.435483871,0.564516129
2014-01-02,Marion Military Institute,Public,Alabama,Southeast,0.6034,1040,16520,5909,40569.5,411,0.1752,0.5766,0.2287,0.1022,0.0365,0,0.4424,,0.0048,0.2558139535,0.7441860465
2014-01-02,University of Mobile,Private,Alabama,Southeast,0.7125,1058,30108,5024,35642.5,1472,0.6698,0.6461,0.216,0.0122,0.0095,0.0306,0.5032,0.4904,0.2782,0.3837981408,0.6162018592
2014-01-02,University of Montevallo,Public,Alabama,Southeast,0.8729,1070,20194,7035,40897.5,2610,0.6605,0.7368,0.1398,0.023,0.0065,0.0134,0.4136,0.4493,0.1203,0.3665008292,0.6334991708
2014-01-02,University of North Alabama,Public,Alabama,Southeast,0.8092,1028,15058,7152,36332,5536,0.5697,0.715,0.1384,0.0246,0.0038,0.0495,0.4192,0.3216,0.1503,0.3752479175,0.6247520825
2014-01-02,Oakwood University,Private,Alabama,Southeast,0.3435,924,34705,5307,37245.5,1854,0.5744,0.0102,0.8495,0.0237,0.0016,0.082,0.5066,0.3632,0.1472,0.2027027027,0.7972972973
2014-01-02,Samford University,Private,Alabama,Southeast,0.7697,1153,38835,8261,78640,2995,0.6531,0.8114,0.0664,0.0664,0.008,0.0304,0.1494,0.692,0.0601,0.145021645,0.854978355
2014-01-02,University of South Alabama,Public,Alabama,Southeast,0.8604,1064,17125,7212,33398,11048,0.5667,0.6374,0.229,0.0246,0.0337,0.0284,0.3743,0.3342,0.2343,0.3542392567,0.6457607433
2014-01-02,Spring Hill College,Private,Alabama,Southeast,0.4627,1100,43325,6057,53198.5,1269,0.6028,0.6643,0.1608,0.0875,0.0071,0.0134,0.3328,0.5632,0.0712,0.2679425837,0.7320574163
2014-01-02,Stillman College,Private,Alabama,Southeast,0.43,882,24744,4743,19665,863,0.4867,0.0626,0.9224,0.0104,0.0023,0,0.7429,0.2619,0.0533,0.3929236499,0.6070763501
2014-01-02,Troy University,Public,Alabama,Southeast,0.6821,990,16877,5996,24869,16208,0.619,0.4908,0.3672,0.0297,0.0083,0.0239,0.4758,0.3466,0.5332,0.4417551309,0.5582448691
2014-01-02,Tuskegee University,Private,Alabama,Southeast,0.3511,937,32853,6679,31529,2584,0.577,0.0019,0.7752,0.0019,0.0008,0.0031,0.6453,0.4384,0.0368,0.2574416734,0.7425583266
2014-01-02,Arizona State University-Tempe,Public,Arizona,Southwest,0.8023,1145,21960,10405,37522,38480,0.442,0.5755,0.0398,0.1853,0.0677,0.0715,0.3376,0.5947,0.1414,0.3667715889,0.6332284111
2014-01-02,University of Arizona,Public,Arizona,Southwest,0.7692,1106,23905,10320,41632,31399,0.5237,0.5464,0.0333,0.2444,0.0561,0.055,0.3265,0.6139,0.091,0.310797877,0.689202123
2014-01-02,Embry-Riddle Aeronautical University-Prescott,Private,Arizona,Southwest,0.7898,1171,45228,8387,35891,1802,0.217,0.6016,0.0172,0.0755,0.0494,0.0855,0.2884,0.5915,0.1208,0.3827139153,0.6172860847
2014-01-02,Grand Canyon University,Private,Arizona,Southwest,0.548,,31613,5473,24285,34643,0.7582,0.4427,0.2075,0.1452,0.0437,0.0001,0.5262,0.3036,0.664,0.4901541096,0.5098458904
2014-01-02,Northern Arizona University,Public,Arizona,Southwest,0.9137,1050,22771,7863,40227,22011,0.5786,0.628,0.0325,0.1925,0.016,0.0424,0.3778,0.4924,0.1989,0.3723900978,0.6276099022
2014-01-02,Prescott College,Private,Arizona,Southwest,0.7293,1094,40206,4248,24304,540,0.5519,0.7296,0.0148,0.0574,0.0111,0.0111,0.4547,0.3768,0.3817,0.2627986348,0.7372013652
2014-01-02,Arizona Christian University,Private,Arizona,Southwest,0.6076,1045,34444,4617,48744,491,0.4868,0.5906,0.0509,0.1426,0.0143,0.0244,0.328,0.4737,0.1055,0.2640949555,0.7359050445
2014-01-02,University of Arkansas at Little Rock,Public,Arkansas,Southeast,0.5274,1077,19894,7480,25056,8504,0.5847,0.5514,0.2656,0.0623,0.023,0.0293,0.4027,0.2438,0.4062,0.4096475881,0.5903524119
2014-01-02,Lyon College,Private,Arkansas,Southeast,0.5898,1142,33355,6354,42522,570,0.5368,0.7737,0.0421,0.0509,0.0123,0.0298,0.4617,0.4965,0.0524,0.3487654321,0.6512345679
2014-01-02,University of Arkansas,Public,Arkansas,Southeast,0.5858,1156,19917,8902,55058,20776,0.5074,0.7874,0.0492,0.0644,0.0237,0.0276,0.2427,0.601,0.1044,0.2894222718,0.7105777282
2014-01-02,University of Arkansas at Pine Bluff,Public,Arkansas,Southeast,0.277,842,15414,5341,19934.5,2503,0.5437,0.0416,0.9301,0.012,0.0024,0.0072,0.6986,0.2583,0.148,0.4295925661,0.5704074339
2014-01-02,Arkansas State University-Main Campus,Public,Arkansas,Southeast,0.7551,1088,18809,6957,29084,9325,0.5739,0.7302,0.1466,0.0203,0.0075,0.0604,0.4618,0.3698,0.224,0.425876961,0.574123039
2014-01-02,Arkansas Tech University,Public,Arkansas,Southeast,0.8503,1008,16126,6096,27511,8734,0.5523,0.7901,0.0781,0.0503,0.0129,0.0332,0.4559,0.4025,0.2436,0.5057395143,0.4942604857
2014-01-02,University of Central Arkansas,Public,Arkansas,Southeast,0.8997,1070,17899,6434,34326,9261,0.584,0.6656,0.1867,0.0361,0.0146,0.0331,0.3937,0.4203,0.1142,0.3686956522,0.6313043478
2014-01-02,Central Baptist College,Private,Arkansas,Southeast,0.5407,974,20386,4948,34078,769,0.4902,0.7035,0.2211,0.0221,0.0013,0.0273,0.4531,0.3874,0.4172,0.4480519481,0.5519480519
2014-01-02,Harding University,Private,Arkansas,Southeast,0.7628,1139,25475,7082,67657,4428,0.5355,0.8347,0.0379,0.0294,0.0068,0.0657,0.2631,0.6219,0.058,0.2037940379,0.7962059621
2014-01-02,Henderson State University,Public,Arkansas,Southeast,0.6221,1011,18033,5606,27664,3190,0.5592,0.6583,0.2367,0.0348,0.0066,0.0094,0.5296,0.2854,0.171,0.4366197183,0.5633802817
2014-01-02,Hendrix College,Private,Arkansas,Southeast,0.8039,1267,50172,7233,76775,1428,0.5497,0.7143,0.0448,0.0469,0.0518,0.0364,0.1792,0.6959,0.0056,0.1561866126,0.8438133874
2014-01-02,John Brown University,Private,Arkansas,Southeast,0.6982,1144,33326,6425,46579,1770,0.5525,0.8017,0.0209,0.0525,0.009,0.0667,0.3184,0.6537,0.2192,0.3241150442,0.6758849558
2014-01-02,Ouachita Baptist University,Private,Arkansas,Southeast,0.7011,1090,31473,6130,61006,1513,0.534,0.8434,0.08,0.039,0.0106,0.0192,0.2702,0.6022,0.0207,0.2624356775,0.7375643225
2014-01-02,University of the Ozarks,Private,Arkansas,Southeast,0.6136,1057,34532,5489,39466,568,0.5106,0.6831,0.0546,0.0915,0,0.1092,0.3906,0.4831,0.041,0.3813559322,0.6186440678
2014-01-02,Williams Baptist University,Private,Arkansas,Southeast,0.6798,1001,22330,5359,37681.5,501,0.6228,0.8802,0.0659,0.02,0,0.0259,0.5265,0.3985,0.0871,0.4402515723,0.5597484277
2014-01-02,Southern Arkansas University Main Campus,Public,Arkansas,Southeast,0.6081,989,17738,6077,25917,2640,0.5803,0.6432,0.283,0.0216,0.0072,0.0314,0.5152,0.2973,0.1713,0.4326101249,0.5673898751
2014-01-02,Art Center College of Design,Private,California,Far West,0.8167,,56400,6826,24422.5,1742,0.5,0.2153,0.0115,0.1051,0.3456,0.2428,0.3687,0.6436,0.3039,0.2126348228,0.7873651772
2014-01-02,Azusa Pacific University,Private,California,Far West,0.7985,1098,44021,9231,51043.5,6543,0.6352,0.4966,0.0474,0.2306,0.0827,0.0185,0.2858,0.6486,0.1467,0.3575106335,0.6424893665
2014-01-02,Biola University,Private,California,Far West,0.7286,1123,44573,8924,62174,4324,0.621,0.5481,0.0197,0.1714,0.1589,0.018,0.3103,0.6819,0.0395,0.2344262295,0.7655737705
2014-01-02,California Baptist University,Private,California,Far West,0.788,984,39026,8355,42650,5797,0.6369,0.448,0.084,0.3012,0.0497,0.0191,0.4777,0.5808,0.2255,0.4263186514,0.5736813486
2014-01-02,California College of the Arts,Private,California,Far West,0.8157,,53837,8347,35877,1463,0.6165,0.3329,0.0403,0.1367,0.1627,0.2228,0.3241,0.6183,0.1751,0.2334004024,0.7665995976
2014-01-02,California Lutheran University,Private,California,Far West,0.4802,1108,48630,9597,60402,2882,0.5486,0.5232,0.0427,0.2523,0.0642,0.0382,0.2578,0.7005,0.1326,0.3081664099,0.6918335901
2014-01-02,California Polytechnic State University-San Luis Obispo,Public,California,Far West,0.3123,1242,23867,8675,64571,18664,0.4523,0.5956,0.0076,0.1489,0.1134,0.0128,0.1975,0.6972,0.0359,0.26453958,0.73546042
2014-01-02,California State University-Bakersfield,Public,California,Far West,0.6626,901,18061,8122,25088,7226,0.6088,0.196,0.0656,0.4979,0.065,0.0255,0.5843,0.3946,0.2056,0.5569328337,0.4430671663
2014-01-02,California State University-Stanislaus,Public,California,Far West,0.7215,917,17161,8072,27694,7751,0.6412,0.282,0.0255,0.4496,0.1133,0.0204,0.5774,0.5198,0.203,0.5679690023,0.4320309977
2014-01-02,California State University-San Bernardino,Public,California,Far West,0.5831,888,17030,8558,26073,15887,0.6137,0.1743,0.0729,0.5549,0.0632,0.0555,0.5799,0.4112,0.2094,0.5581547522,0.4418452478
2014-01-02,California State Polytechnic University-Pomona,Public,California,Far West,0.5218,1070,19402,9101,28387.5,20857,0.433,0.2159,0.0323,0.3722,0.2501,0.0425,0.4404,0.5237,0.1747,0.4444293478,0.5555706522
2014-01-02,California State University-Chico,Public,California,Far West,0.7161,1014,22926,8370,33343,15106,0.5189,0.5255,0.019,0.23,0.0579,0.033,0.3893,0.5605,0.1358,0.4043753205,0.5956246795
2014-01-02,California State University-Dominguez Hills,Public,California,Far West,0.5747,845,12957,8202,19426.5,11894,0.6442,0.0931,0.1703,0.5397,0.0943,0.0246,0.5862,0.2935,0.3762,0.5542425417,0.4457574583
2014-01-02,California State University-Fresno,Public,California,Far West,0.5815,920,16377,8027,26000,19911,0.5689,0.2511,0.0404,0.4258,0.1566,0.0344,0.5407,0.4859,0.1628,0.4976440188,0.5023559812
2014-01-02,California State University-Fullerton,Public,California,Far West,0.4579,1021,16663,8521,29688,33000,0.5546,0.2556,0.0222,0.375,0.2165,0.0445,0.4061,0.5347,0.1981,0.4462185595,0.5537814405
2014-01-02,California State University-East Bay,Public,California,Far West,0.6872,910,20676,8804,23446,12079,0.6127,0.1843,0.1083,0.2546,0.2439,0.0659,0.4426,0.3808,0.3269,0.4700914849,0.5299085151
2014-01-02,California State University-Long Beach,Public,California,Far West,0.3082,1012,18085,8671,26504,30440,0.5662,0.214,0.0399,0.3672,0.2292,0.0531,0.4733,0.6033,0.1708,0.4384458802,0.5615541198
2014-01-02,California State University-Los Angeles,Public,California,Far West,0.6752,871,14747,8767,20618,19525,0.588,0.0812,0.0465,0.5965,0.1645,0.0479,0.6447,0.3565,0.2574,0.6005287508,0.3994712492
2014-01-02,California State University-Northridge,Public,California,Far West,0.4624,918,20899,8395,23630,33581,0.5443,0.2575,0.0623,0.4029,0.1123,0.0734,0.4848,0.4575,0.1936,0.4890633763,0.5109366237
2014-01-02,California State University-Sacramento,Public,California,Far West,0.6968,945,19380,8364,25307,25991,0.5655,0.3247,0.0591,0.2567,0.2086,0.0149,0.505,0.4285,0.2521,0.4585482682,0.5414517318
2014-01-02,University of California-Berkeley,Public,California,Far West,0.18,1350,32715,14652,31377,25951,0.5187,0.2857,0.0221,0.132,0.3494,0.1313,0.3237,0.9103,0.0621,0.3385324834,0.6614675166
2014-01-02,University of California-Davis,Public,California,Far West,0.4521,1192,31803,12065,35784,26483,0.5635,0.3125,0.0211,0.172,0.3551,0.0618,0.4297,0.8133,0.0571,0.3656597774,0.6343402226
2014-01-02,University of California-Irvine,Public,California,Far West,0.4239,1122,28980,12839,32841,23517,0.5432,0.1739,0.0187,0.2171,0.4371,0.0894,0.432,0.8585,0.0442,0.4356495468,0.5643504532
2014-01-02,University of California-Los Angeles,Public,California,Far West,0.2199,1289,31474,15089,33000,28667,0.5528,0.2859,0.0261,0.1842,0.3099,0.1176,0.3624,0.9031,0.0532,0.3449006918,0.6550993082
2014-01-02,University of California-Riverside,Public,California,Far West,0.62,1078,29787,11324,34501.5,18612,0.511,0.1442,0.0487,0.3589,0.3615,0.0315,0.564,0.6617,0.0473,0.432214017,0.567785983
2014-01-02,University of California-San Diego,Public,California,Far West,0.375,1276,29751,13126,39401,23792,0.4846,0.2357,0.0119,0.1581,0.4011,0.1181,0.4274,0.858,0.0605,0.328656794,0.671343206
2014-01-02,University of California-Santa Barbara,Public,California,Far West,0.4444,1212,31913,13048,38154,19362,0.5229,0.3965,0.0213,0.2481,0.1763,0.0397,0.3798,0.807,0.0222,0.3809666767,0.6190333233
2014-01-02,University of California-Santa Cruz,Public,California,Far West,0.5991,1087,33208,12110,35800,15695,0.5322,0.368,0.0201,0.3019,0.2047,0.0108,0.4459,0.7267,0.0447,0.3933153275,0.6066846725
2014-01-02,California Institute of the Arts,Private,California,Far West,0.2992,,56435,6290,49159,987,0.5319,0.4377,0.0628,0.1125,0.1104,0.1256,0.3337,0.5746,0.1035,0.1884422111,0.8115577889
2014-01-02,California State University Maritime Academy,Public,California,Far West,0.748,1080,22223,8259,45550,1044,0.1427,0.5785,0.0239,0.1561,0.0824,0.0048,0.3762,0.5871,0.1847,0.2346491228,0.7653508772
2014-01-02,Chapman University,Private,California,Far West,0.4471,1208,57020,11095,69220,5940,0.5889,0.5978,0.0162,0.1433,0.0981,0.038,0.2035,0.761,0.0303,0.1774491682,0.8225508318
2014-01-02,Concordia University-Irvine,Private,California,Far West,0.9119,1020,41233,7044,55267,1916,0.6227,0.4937,0.0324,0.1827,0.06,0.035,0.2503,0.6256,0.1528,0.312849162,0.687150838
2014-01-02,San Diego Christian College,Private,California,Far West,0.492,986,37696,5271,31286.5,889,0.5276,0.3735,0.1541,0.1541,0.0169,0.0045,0.6475,0.4125,0.4126,0.3914473684,0.6085526316
2014-01-02,Cogswell College,Private,California,Far West,0.7784,,32243,7785,34378,457,0.2429,0.4245,0.035,0.1466,0.1182,0.0088,0.399,0.3125,0.2056,0.3259493671,0.6740506329
2014-01-02,Dominican University of California,Private,California,Far West,0.7752,1057,56165,8770,58715,1567,0.7422,0.328,0.0421,0.2253,0.1698,0.0179,0.3232,0.5387,0.2127,0.3393665158,0.6606334842
2014-01-02,FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Private,California,Far West,0.5701,,42958,2756,44151,3459,0.8896,0.3446,0.061,0.2252,0.1182,0.1286,0.3179,0.6196,0.1425,0.3371491876,0.6628508124
2014-01-02,FIDM-Fashion Institute of Design & Merchandising-San Francisco,Private,California,Far West,0.6358,,42052,2367,44151,637,0.9325,0.3752,0.0502,0.2198,0.1805,0.0455,0.3533,0.5667,0.1695,0.3371491876,0.6628508124
2014-01-02,Fresno Pacific University,Private,California,Far West,0.7844,979,33973,6562,30000,2496,0.6915,0.3842,0.0525,0.4058,0.0405,0.0176,0.5761,0.5412,0.4482,0.4672544081,0.5327455919
2014-01-02,Holy Names University,Private,California,Far West,0.5668,910,46994,7717,42706.5,800,0.675,0.1838,0.2138,0.2775,0.1725,0.02,0.4618,0.3548,0.3345,0.4417177914,0.5582822086
2014-01-02,Humboldt State University,Public,California,Far West,0.8018,1008,23113,8148,27561,7748,0.5332,0.5021,0.036,0.2657,0.0329,0.0084,0.5162,0.4004,0.1788,0.4007970396,0.5992029604
2014-01-02,Life Pacific College,Private,California,Far West,0.7482,930,24492,6394,38563,475,0.4863,0.6105,0.0358,0.2379,0.0547,0.0021,0.3942,0.5111,0.2045,0.3438596491,0.6561403509
2014-01-02,University of La Verne,Private,California,Far West,0.3895,1035,45305,8605,37883,5128,0.5811,0.2607,0.0626,0.4836,0.054,0.0242,0.4647,0.5928,0.4528,0.4846180436,0.5153819564
2014-01-02,Laguna College of Art and Design,Private,California,Far West,0.4327,,39713,7782,42228,514,0.5953,0.4728,0.0175,0.1576,0.177,0.0311,0.4114,0.6333,0.1946,0.2638297872,0.7361702128
2014-01-02,La Sierra University,Private,California,Far West,0.4677,926,39842,7230,39435,2060,0.5762,0.1607,0.0714,0.4204,0.1553,0.1204,0.4819,0.4918,0.1102,0.3754385965,0.6245614035
2014-01-02,The Master's University and Seminary,Private,California,Far West,0.6137,1104,40815,7063,53490.5,1112,0.4703,0.6313,0.0378,0.1106,0.0621,0.0414,0.3051,0.5362,0.1646,0.24,0.76
2014-01-02,Loyola Marymount University,Private,California,Far West,0.5412,1202,55432,10098,71233,6087,0.5738,0.4894,0.0563,0.221,0.1045,0.0524,0.1923,0.7583,0.0232,0.2003958436,0.7996041564
2014-01-02,Menlo College,Private,California,Far West,0.3705,1001,51649,11564,49766,742,0.3801,0.3585,0.0566,0.2143,0.0714,0.128,0.3333,0.4076,0.0913,0.3787375415,0.6212624585
2014-01-02,Mills College,Private,California,Far West,0.6798,1151,54668,9759,31768,974,1,0.4702,0.0595,0.2248,0.1181,0.0144,0.4674,0.6142,0.1797,0.305511811,0.694488189
2014-01-02,Mount Saint Mary's University,Private,California,Far West,0.7409,928,47905,8055,35449.5,2617,0.9366,0.1024,0.0692,0.5801,0.1632,0.0069,0.5875,0.6379,0.2301,0.5029069767,0.4970930233
2014-01-02,Musicians Institute,Private,California,Far West,0.9888,,39155,2961,25582,1166,0.1835,0.313,0.0806,0.1389,0.0352,0.2916,0.309,0.537,0.245,0.3362930078,0.6637069922
2014-01-02,Newschool of Architecture and Design,Private,California,Far West,0.7949,,43957,7034,18571.5,375,0.2587,0.264,0.0213,0.3253,0.0827,0.128,0.6144,0.35,0.464,0.3858267717,0.6141732283
2014-01-02,Notre Dame de Namur University,Private,California,Far West,0.872,972,47115,8084,40316,1209,0.6658,0.2647,0.0571,0.3408,0.1199,0.0389,0.4201,0.4792,0.3454,0.3738191633,0.6261808367
2014-01-02,Occidental College,Private,California,Far West,0.4239,1303,60655,10402,71549,2028,0.5557,0.5104,0.0454,0.1593,0.1302,0.038,0.215,0.8777,0.0044,0.1614583333,0.8385416667
2014-01-02,Otis College of Art and Design,Private,California,Far West,0.4628,1002,52397,6936,30972,1029,0.6453,0.2235,0.034,0.1331,0.3226,0.1846,0.4851,0.5731,0.157,0.256,0.744
2014-01-02,Hope International University,Private,California,Far West,0.4681,951,40303,5232,40037,872,0.5539,0.445,0.078,0.1732,0.0287,0.0057,0.4989,0.4508,0.4411,0.4457627119,0.5542372881
2014-01-02,Pacific Union College,Private,California,Far West,0.5055,1017,38800,6452,49629,1601,0.5609,0.2698,0.0768,0.2698,0.1811,0.0162,0.4393,0.4452,0.1471,0.260391198,0.739608802
2014-01-02,University of the Pacific,Private,California,Far West,0.7265,1172,52406,10089,49607.5,3869,0.5208,0.3223,0.0269,0.1858,0.3153,0.0538,0.4011,0.5669,0.0598,0.3333333333,0.6666666667
2014-01-02,Pepperdine University,Private,California,Far West,0.3734,1235,58772,11650,66348,3516,0.5879,0.4249,0.068,0.1553,0.1399,0.0876,0.2076,0.8043,0.0873,0.2130612245,0.7869387755
2014-01-02,Pitzer College,Private,California,Far West,0.1451,,59266,10084,68221,1081,0.5994,0.4949,0.0472,0.1508,0.0629,0.0509,0.1614,0.8214,0.0463,0.1826923077,0.8173076923
2014-01-02,Point Loma Nazarene University,Private,California,Far West,0.6654,1155,43060,9653,68270,2543,0.6249,0.6433,0.0252,0.195,0.0558,0.0016,0.2712,0.7208,0.0243,0.25907173,0.74092827
2014-01-02,Pomona College,Private,California,Far West,0.1392,1454,57014,12326,47768,1587,0.5198,0.448,0.0599,0.1474,0.1216,0.0699,0.1686,0.9573,0.0037,0.2205323194,0.7794676806
2014-01-02,University of Redlands,Private,California,Far West,0.672,1135,55268,9234,52351.5,3462,0.5549,0.5061,0.0459,0.2605,0.0511,0.0069,0.2497,0.7295,0.2174,0.3412479293,0.6587520707
2014-01-02,San Diego State University,Public,California,Far West,0.3121,1090,20252,9229,30220.5,26625,0.5489,0.3719,0.0384,0.2946,0.14,0.0409,0.3956,0.6616,0.1651,0.4036600757,0.5963399243
2014-01-02,University of San Diego,Private,California,Far West,0.4885,1228,56346,11648,65281,5573,0.5512,0.5539,0.0278,0.1888,0.0592,0.0599,0.1807,0.7502,0.0478,0.2334698654,0.7665301346
2014-01-02,San Francisco State University,Public,California,Far West,0.6379,998,22267,9147,27477.5,25271,0.5642,0.2409,0.0499,0.2436,0.2917,0.0668,0.4239,0.455,0.2085,0.4408827641,0.5591172359
2014-01-02,University of San Francisco,Private,California,Far West,0.6129,1161,55812,12409,52940,6308,0.6205,0.311,0.0293,0.1872,0.194,0.1815,0.2625,0.6901,0.0832,0.2787356322,0.7212643678
2014-01-02,William Jessup University,Private,California,Far West,0.6929,1039,34811,7043,43435.5,1029,0.6016,0.7182,0.0505,0.1497,0.0321,0.001,0.4743,0.5614,0.2674,0.3432835821,0.6567164179
2014-01-02,San Jose State University,Public,California,Far West,0.6347,1030,21160,9155,29491.5,25723,0.4886,0.2254,0.0351,0.2383,0.3561,0.0453,0.3955,0.4809,0.1993,0.4402294813,0.5597705187
2014-01-02,Santa Clara University,Private,California,Far West,0.5122,1294,57213,11662,92059,5404,0.4983,0.4785,0.0298,0.1745,0.144,0.0298,0.1389,0.8401,0.0153,0.1805852962,0.8194147038
2014-01-02,Simpson University,Private,California,Far West,0.555,1030,33889,6144,32967,1024,0.6641,0.624,0.0293,0.1367,0.0586,0,0.5635,0.4724,0.29,0.4164456233,0.5835543767
2014-01-02,Saint Mary's College of California,Private,California,Far West,0.6947,1115,56500,9229,74694.5,3039,0.589,0.4607,0.0392,0.2458,0.1069,0.0194,0.3267,0.675,0.0779,0.2595777952,0.7404222048
2014-01-02,Sonoma State University,Public,California,Far West,0.8186,1006,23675,8448,42036.5,8321,0.6122,0.545,0.0215,0.2404,0.0418,0.0148,0.2968,0.5392,0.1152,0.3890817293,0.6109182707
2014-01-02,Vanguard University of Southern California,Private,California,Far West,0.6977,980,41952,7714,47900,2057,0.6694,0.4599,0.0404,0.3471,0.0428,0.0083,0.3797,0.5232,0.2543,0.3601036269,0.6398963731
2014-01-02,University of Southern California,Private,California,Far West,0.1984,1380,59787,13045,46570.5,18087,0.5052,0.3812,0.0442,0.1355,0.2306,0.1209,0.2308,0.9117,0.0377,0.2275862069,0.7724137931
2014-01-02,Westmont College,Private,California,Far West,0.7016,1193,51760,9329,79166,1295,0.61,0.6664,0.01,0.129,0.0633,0.0162,0.2092,0.7577,0.0092,0.1486199575,0.8513800425
2014-01-02,Whittier College,Private,California,Far West,0.6325,1043,49920,8954,61989,1651,0.5591,0.3537,0.0454,0.424,0.089,0.04,0.3551,0.6677,0.0223,0.3704206242,0.6295793758
2014-01-02,Adams State University,Public,Colorado,Rocky Mountains,0.526,939,17759,5986,35416,2227,0.5007,0.5123,0.0768,0.3026,0.0112,0,0.5029,0.227,0.2106,0.402919708,0.597080292
2014-01-02,University of Colorado Denver/Anschutz Medical Campus,Public,Colorado,Rocky Mountains,0.7587,1073,18822,9364,30375.5,10470,0.5221,0.5199,0.0496,0.1547,0.0963,0.0981,0.2777,0.4129,0.2507,0.3355162628,0.6644837372
2014-01-02,University of Colorado Colorado Springs,Public,Colorado,Rocky Mountains,0.91,1068,16707,7285,40000,8888,0.5295,0.6854,0.0375,0.1412,0.0327,0.0086,0.3222,0.4598,0.2405,0.3058457435,0.6941542565
2014-01-02,University of Colorado Boulder,Public,Colorado,Rocky Mountains,0.8771,1192,27854,10298,65475,25461,0.4497,0.7413,0.0169,0.0959,0.0518,0.0376,0.1722,0.6969,0.067,0.2002010628,0.7997989372
2014-01-02,Colorado School of Mines,Public,Colorado,Rocky Mountains,0.3743,1298,29091,10579,78205,4197,0.2714,0.7529,0.0117,0.0803,0.0467,0.0434,0.1754,0.6969,0.0711,0.1824534161,0.8175465839
2014-01-02,Colorado State University-Fort Collins,Public,Colorado,Rocky Mountains,0.7743,1127,21823,8869,60648.5,22482,0.5125,0.7495,0.021,0.096,0.019,0.0251,0.2571,0.6383,0.107,0.2424996888,0.7575003112
2014-01-02,University of Denver,Private,Colorado,Rocky Mountains,0.7673,1231,53614,9737,63542,5505,0.547,0.6836,0.0272,0.089,0.0416,0.0885,0.1856,0.7752,0.0741,0.2129449838,0.7870550162
