Name,Control,Region,Locale,Admission Rate,SAT Average,% Female,Median Earnings of Graduate,Undergraduate Population,Completion Rate,Average Cost of Attendance,Out-of-State Tuition,Percentage of Undergraduates Aged 25 and Above,% Undergraduate Students Receiving Loans,Year
John C Calhoun State Community College,Public,Southeast,,,,0.6193078324,27200,11134,,9672,6240,0.3889,0.1903,2011-01-01
Judson College,Private,Southeast,,0.7435,1020,,30700,341,0.32911392405063,26090,14460,0.2323,0.6832,2011-01-01
Lawson State Community College-Birmingham Campus,Public,Southeast,,,,0.6104578434,22300,4076,,10966,7290,0.4088,0,2011-01-01
University of West Alabama,Public,Southeast,,0.6756,954,0.6446886447,33800,2066,0.10029498525073,16119,12766,0.237,0.7425,2011-01-01
Lurleen B Wallace Community College,Public,Southeast,,,,0.6921995784,28000,1581,,10270,7110,0.3058,0,2011-01-01
Marion Military Institute,Public,Southeast,,0.6023,1064,0.1545454545,48500,406,,17620,14570,0.0122,0.4846,2011-01-01
Miles College,Private,Southeast,,,,0.4406906907,27200,1630,0.06426735218508,19126,10490,0.1769,0.918,2011-01-01
University of Mobile,Private,Southeast,,0.8065,1060,0.7252298264,37800,1534,0.31325301204819,27248,17220,0.331,0.8142,2011-01-01
University of Montevallo,Public,Southeast,,0.757,1070,0.6685950413,35100,2525,0.18312757201646,17670,16560,0.1393,0.5597,2011-01-01
Northwest-Shoals Community College,Public,Southeast,,,,0.5826502732,26300,3473,,10476,7230,0.3019,0.2517,2011-01-01
University of North Alabama,Public,Southeast,,0.8764,1009,0.5977093772,36300,5649,0.0020366598778,12977,10980,0.1807,0.6528,2011-01-01
Northeast Alabama Community College,Public,Southeast,,,,0.6030237581,28700,2888,,7120,7140,0.3889,0,2011-01-01
Oakwood University,Private,Southeast,,0.4355,906,0.5792400371,33700,1930,0.1847290640394,32985,14678,0.1475,0.7397,2011-01-01
Alabama Southern Community College,Public,Southeast,,,,0.682187731,23200,1342,,9421,7290,0.3045,0,2011-01-01
Reid State Technical College,Public,Southeast,,,,0.6390625,20100,609,,7391,4110,0.4799,0,2011-01-01
Bishop State Community College,Public,Southeast,,,,0.6569428238,22600,3397,,8731,7290,0.3978,0,2011-01-01
Samford University,Private,Southeast,,0.8258,1176,0.6628830874,45800,2927,0.51216022889842,34371,23963,0.0678,0.3833,2011-01-01
Selma University,Private,Southeast,,,,0.734375,,507,0.0057803468208,7969,5440,0.6351,0.9206,2011-01-01
Shelton State Community College,Public,Southeast,,,,0.5905806797,24300,5077,,12401,7290,0.2393,0,2011-01-01
Snead State Community College,Public,Southeast,,,,0.6410725168,26000,2170,,8923,7350,0.2896,0,2011-01-01
University of South Alabama,Public,Southeast,,0.8726,1027,0.6024459708,38300,11403,0.17274305555555,13746,12108,0.2598,0.5197,2011-01-01
Spring Hill College,Private,Southeast,,0.4854,1089,0.6558988764,43800,1254,0.50729927007299,40233,28060,0.0923,0.7758,2011-01-01
Southeastern Bible College,Private,Southeast,,1,996,0.4537037037,28800,174,0.14705882352941,18509,10850,0.5829,0.8,2011-01-01
Stillman College,Private,Southeast,,0.4647,851,0.4719764012,24700,1072,0.22348484848484,24615,15062,0.0513,0.8248,2011-01-01
Talladega College,Private,Southeast,,,,0.529739777,25600,712,0,20622,11143,0.2374,0.9745,2011-01-01
H Councill Trenholm State Community College,Public,Southeast,,,,0.5669083718,21000,1666,,10474,5760,0.4683,0,2011-01-01
Troy University,Public,Southeast,,0.7147,970,0.6834440703,36600,20391,0.15497301464919,16024,12052,0.5925,0.6176,2011-01-01
Tuskegee University,Private,Southeast,,0.641,915,0.5791770574,37100,2683,0.15342465753424,30034,17870,0.0652,0.45,2011-01-01
Bevill State Community College,Public,Southeast,,,,0.6542383684,25900,3874,,13284,7398,0.364,0,2011-01-01
University of Alaska Anchorage,Public,Far West,,,,0.6041995579,42000,13326,0.07772621809744,14278,17036,0.4348,0.2772,2011-01-01
University of Alaska Fairbanks,Public,Far West,,,,0.5999275887,38200,5954,0.10566037735849,15070,17208,0.4539,0.2357,2011-01-01
University of Alaska Southeast,Public,Far West,,,,0.6211950395,39500,1662,0.06185567010309,13554,17020,0.5767,0.1813,2011-01-01
Alaska Pacific University,Private,Far West,,0.3261,1077,0.6890756303,47400,412,0.23076923076923,39710,27110,0.4834,0.5414,2011-01-01
Charter College,Private,Far West,,,,0.7405253283,42000,1651,1,23187,17725,0.4949,0.4099,2011-01-01
Prince William Sound Community College,Public,Far West,,,,0.6041995579,42000,154,,11549,4300,0.516,0.2088,2011-01-01
Everest College-Phoenix,Private,Southwest,,,,0.7300347222,28300,2254,0.15384615384615,30946,12420,0.7303,0.8433,2011-01-01
Collins College,Private,Southwest,,,,0.4334019406,25200,892,0.39637305699481,29875,12650,0.4036,0.9339,2011-01-01
American Indian College Inc,Private,Southwest,,,,0.6338028169,,81,0.5,20602,10500,0.5814,0.375,2011-01-01
Arizona State University-Tempe,Public,Southwest,,0.8664,1099,0.5376566109,45200,58184,0.32307304150372,20061,22319,0.2107,0.4935,2011-01-01
Arizona Western College,Public,Southwest,,,,0.549991152,25600,7915,,13401,7478,0.3493,0.0751,2011-01-01
University of Arizona,Public,Southwest,,0.7536,1102,0.5453946284,44400,30445,0.36369922212618,21624,25494,0.0919,0.3952,2011-01-01
Southwest University of Visual Arts-Tucson,Private,Southwest,,,,0.5231316726,27500,254,0.04545454545454,46183,27665,0.6172,0.8084,2011-01-01
Central Arizona College,Public,Southwest,,,,0.6188853248,28700,6240,,8702,9360,0.4135,0.1586,2011-01-01
Brown Mackie College-Tucson,Private,Southwest,,,,0.716925205,25200,726,,28349,12220,0.6281,0.8803,2011-01-01
Cochise County Community College District,Public,Southwest,,,,0.5819746377,31200,3981,,8244,7040,0.4841,0.0811,2011-01-01
DeVry University-Arizona,Private,Southwest,,0.9188,,0.4830111389,46500,1760,0.30232558139534,29706,15248,0.6186,0.8588,2011-01-01
Eastern Arizona College,Public,Southwest,,,,0.5898684851,27800,5430,,10219,8200,0.5414,0,2011-01-01
Embry-Riddle Aeronautical University-Prescott,Private,Southwest,,0.8234,1142,0.1483457844,60900,1655,0.32122905027932,43624,29552,0.134,0.6011,2011-01-01
Glendale Community College,Public,Southwest,,,,0.5567673597,33300,16120,,12007,7638,0.3431,0.1616,2011-01-01
Grand Canyon University,Private,Southwest,,0.3683,,0.7796384984,45200,24736,0.24260355029585,29968,16500,0.814,0.7857,2011-01-01
GateWay Community College,Public,Southwest,,,,0.5844504021,29800,6576,,13316,7638,0.6161,0.2148,2011-01-01
Mesa Community College,Public,Southwest,,,,0.529865986,36000,21471,,12925,7638,0.4072,0.2154,2011-01-01
ITT Technical Institute-Tucson,Private,Southwest,,0.6875,,0.2879451453,38400,518,0.10344827586206,26385,18048,0.7143,0.8196,2011-01-01
ITT Technical Institute-Tempe,Private,Southwest,,0.7426,,0.2879451453,38400,721,0.1,26952,18048,0.656,0.8154,2011-01-01
Mohave Community College,Public,Southwest,,,,0.6235194585,26700,5515,,24458,7296,0.5191,0.2579,2011-01-01
Dine College,Public,Southwest,,,,0.6063321386,22500,1969,,11752,805,0.4646,0,2011-01-01
Northern Arizona University,Public,Southwest,,0.6478,1058,0.6202828143,38800,20609,0.30699666825321,21182,21182,0.2278,0.5461,2011-01-01
Northland Pioneer College,Public,Southwest,,,,0.6818532819,22100,1814,,11304,7090,0.386,0,2011-01-01
Phoenix College,Public,Southwest,,,,0.6038975753,32500,9649,,12678,7638,0.5195,0.2315,2011-01-01
University of Phoenix-Phoenix Campus,Private,Southwest,,,,0.7071921286,53400,4270,0.00864553314121,26877,10858,0.8114,0.6468,2011-01-01
Pima Community College,Public,Southwest,,,,0.5350599749,30100,33110,,7415,7184,0.438,0.1634,2011-01-01
Prescott College,Private,Southwest,,0.8255,1112,0.6448801743,35200,710,0.19512195121951,37677,27829,0.4493,0.7445,2011-01-01
Rio Salado College,Public,Southwest,,,,0.6502360303,36600,12135,,13925,7638,0.5274,0.2034,2011-01-01
Scottsdale Community College,Public,Southwest,,,,0.5276219249,35700,8470,,12807,7638,0.3718,0.1583,2011-01-01
South Mountain Community College,Public,Southwest,,,,0.6040349292,27100,3863,,12786,7638,0.4346,0.0809,2011-01-01
Arizona Christian University,Private,Southwest,,0.5666,1016,0.4441087613,31000,508,0,30745,18968,0.1555,0.7407,2011-01-01
Western International University,Private,Southwest,,,,0.6620481928,52600,2433,0.004,28979,10560,0.9455,0.4334,2011-01-01
Yavapai College,Public,Southwest,,,,0.5598194131,28200,5926,,8887,8400,0.5505,0.0964,2011-01-01
University of Arkansas at Little Rock,Public,Southeast,,0.9624,1030,0.6459240821,34800,9170,0.08476821192052,16990,16447,0.4274,0.4832,2011-01-01
Arkansas Baptist College,Private,Southeast,,,,0.3576388889,21100,1189,0,20015,7800,0.3177,0.8776,2011-01-01
Lyon College,Private,Southeast,,0.6471,1166,0.5620437956,37200,587,0.4054054054054,31045,22906,0.0767,0.6636,2011-01-01
University of Arkansas,Public,Southeast,,0.609,1157,0.5185883621,43600,18617,0.34297520661157,18064,17606,0.1176,0.3964,2011-01-01
University of Arkansas at Pine Bluff,Public,Southeast,,0.2937,847,0.5367231638,27400,3049,0.10364145658263,15579,10739,0.1799,0.753,2011-01-01
Arkansas State University-Main Campus,Public,Southeast,,0.6325,1067,0.6026596522,32700,9455,0.19420094403236,17770,12238,0.2543,0.5572,2011-01-01
Arkansas Tech University,Public,Southeast,,0.9035,1029,0.565462754,35000,8369,0.19342507645259,15361,9390,0.2247,0.4584,2011-01-01
University of Arkansas at Monticello,Public,Southeast,,,,0.5686924494,33600,3280,0.10357815442561,14827,10510,0.2683,0.4791,2011-01-01
Baptist Health College-Little Rock,Private,Southeast,,0.6406,1010,0.8771498771,42100,852,,17975,7352,0.5,0.728,2011-01-01
Black River Technical College,Public,Southeast,,,,0.6119246862,26600,2142,,13097,4656,0.4648,0.4226,2011-01-01
University of Central Arkansas,Public,Southeast,,0.9093,1070,0.5816050496,37100,8956,0.19226018937834,18333,12569,0.1182,0.4781,2011-01-01
Central Baptist College,Private,Southeast,,0.7437,990,0.5240641711,35700,811,0.2,19872,11610,0.3368,0.5535,2011-01-01
Cossatot Community College of the University of Arkansas,Public,Southeast,,,,0.6876675603,21000,1035,,10824,4852,0.3548,0,2011-01-01
Crowley's Ridge College,Private,Southeast,,,,0.4556962025,31100,175,0,17141,10310,0.0362,0.5174,2011-01-01
Crowley's Ridge Technical Institute,Public,Southeast,,,,0.4326647564,20200,270,,9411,1350,0.5074,0,2011-01-01
East Arkansas Community College,Public,Southeast,,,,0.6868198307,23100,1024,,8527,3060,0.4593,0.0577,2011-01-01
National Park College,Public,Southeast,,,,0.6105100464,25000,3560,,13544,2698,0.4487,0.5969,2011-01-01
University of Arkansas Community College-Batesville,Public,Southeast,,,,0.6342512909,23900,1368,,12636,3874,0.4164,0.6194,2011-01-01
Harding University,Private,Southeast,,0.7218,1141,0.54685176,38600,4228,0.41465968586387,23751,14610,0.0662,0.579,2011-01-01
Henderson State University,Public,Southeast,,0.5889,989,0.5680212014,35200,3365,0.14028776978417,17175,12620,0.1768,0.5761,2011-01-01
Hendrix College,Private,Southeast,,0.825,1292,0.6419491525,40500,1413,0.63928571428571,44854,34230,0.0042,0.5481,2011-01-01
John Brown University,Private,Southeast,,0.7251,1165,0.5759059745,46200,1699,0.54580152671755,30606,20766,0.23,0.5871,2011-01-01
Arkansas State University Mid-South,Public,Southeast,,,,0.6176829268,21800,1452,,10126,5540,0.3579,0,2011-01-01
Arkansas Northeastern College,Public,Southeast,,,,0.6674242424,22500,1574,,12672,3438,0.4379,0,2011-01-01
North Arkansas College,Public,Southeast,,,,0.5439856373,25500,2040,,11292,3864,0.4114,0.2718,2011-01-01
Northwest Technical Institute,Public,Southeast,,,,0.4475308642,27800,216,,8739,2321,0.6111,0,2011-01-01
Ouachita Baptist University,Private,Southeast,,0.6375,1099,0.5185185185,37500,1570,0.4958904109589,29140,20630,0.0169,0.4634,2011-01-01
College of the Ouachitas,Public,Southeast,,,,0.7334217507,24100,800,,11549,4262,0.3412,0.1654,2011-01-01
Ozarka College,Public,Southeast,,,,0.6390134529,25200,1447,,12363,4538,0.545,0.4408,2011-01-01
University of the Ozarks,Private,Southeast,,0.8515,1059,0.5056818182,31100,602,0.28571428571428,31596,22050,0.0524,0.4714,2011-01-01
University of Arkansas Community College-Morrilton,Public,Southeast,,,,0.6031149302,25600,2204,,10662,2923,0.3907,0.2526,2011-01-01
Philander Smith College,Private,Southeast,,0.68,869,0.6756756757,26200,728,0.0655737704918,20107,11910,0.1981,0.9167,2011-01-01
Phillips Community College of the University of Arkansas,Public,Southeast,,,,0.670235546,21200,1110,,15921,3750,0.2517,0.0436,2011-01-01
Southeast Arkansas College,Public,Southeast,,,,0.6490514905,26700,1686,,12639,5230,0.4688,0.1917,2011-01-01
University of Arkansas-Pulaski Technical College,Public,Southeast,,,,0.6172230653,28700,10909,,13677,4530,0.5762,0.7866,2011-01-01
University of Arkansas Community College-Hope,Public,Southeast,,,,0.6317395727,23000,1165,,12160,4084,0.4528,0.0559,2011-01-01
University of Arkansas Community College Rich Mountain,Public,Southeast,,,,0.6619469027,21300,674,,9754,4512,0.4088,0,2011-01-01
Williams Baptist College,Private,Southeast,,0.585,1010,0.5968992248,32300,541,0.256,20545,12620,0.1568,0.6149,2011-01-01
South Arkansas Community College,Public,Southeast,,,,0.7489251935,26100,1429,,12823,3932,0.4397,0.3161,2011-01-01
Southern Arkansas University Main Campus,Public,Southeast,,0.6687,1010,0.5761627907,35900,2682,0.14615384615384,16466,9666,0.1958,0.5302,2011-01-01
Southern Arkansas University Tech,Public,Southeast,,,,0.6076833527,26800,986,,13779,4834,0.2514,0.1707,2011-01-01
University of Arkansas-Fort Smith,Public,Southeast,,0.559,1010,0.5815868263,29900,6817,0.12082262210796,14353,9410,0.32,0.418,2011-01-01
Academy of Art University,Private,Far West,,,,0.5868317729,36100,11735,0.04901960784313,34399,18050,0.3975,0.6042,2011-01-01
ITT Technical Institute-Rancho Cordova,Private,Far West,,0.7669,,0.2879451453,38400,660,0.05263157894736,25652,18048,0.6424,0.8556,2011-01-01
College of Alameda,Public,Far West,,,,0.5440044004,34300,5168,,10977,5150,0.4049,0.0069,2011-01-01
Allan Hancock College,Public,Far West,,,,0.5709490388,29500,9750,,9493,6382,0.3871,0.0139,2011-01-01
American Academy of Dramatic Arts-Los Angeles,Private,Far West,,0.4582,,0.5217391304,30200,195,,37393,30500,0.2256,0.2819,2011-01-01
American River College,Public,Far West,,,,0.5722100656,27600,29355,,11078,6318,0.5351,0.081,2011-01-01
Antelope Valley College,Public,Far West,,,,0.5723278358,27000,12342,,11744,6270,0.3851,0.1796,2011-01-01
Art Center College of Design,Private,Far West,,0.6321,,0.4848484848,51700,1642,0.25316455696202,54019,34044,0.3345,0.624,2011-01-01
Azusa Pacific University,Private,Far West,,0.5063,1098,0.6512086828,49000,5998,0.50175438596491,41514,29940,0.149,0.6355,2011-01-01
Bakersfield College,Public,Far West,,,,0.5948206715,29700,15787,,7966,6730,0.363,0.0509,2011-01-01
Barstow Community College,Public,Far West,,,,0.5966183575,31800,1714,,14384,5256,0.4413,0,2011-01-01
Bethesda University,Private,Far West,,0.7548,,0.5882352941,,234,0.10526315789473,16395,7620,0.7308,0.0701,2011-01-01
Biola University,Private,Far West,,0.7668,1115,0.6144638404,40700,4232,0.50298507462686,41843,29908,0.0641,0.7974,2011-01-01
Brooks Institute,Private,Far West,,0.9833,,0.4474789916,29100,746,0.44979919678714,34322,17880,0.2748,0.6942,2011-01-01
Bryan University,Private,Southwest,,,,0.7159167226,42300,994,,24617,11695,0.7847,0.7928,2011-01-01
Butte College,Public,Far West,,,,0.5097575399,29800,11730,,12122,5884,0.3394,0.1494,2011-01-01
Cabrillo College,Public,Far West,,,,0.5435871743,32100,13131,,12410,5018,0.4499,0.0336,2011-01-01
California Baptist University,Private,Far West,,0.7406,976,0.6616721606,41800,4403,0.40694006309148,36439,25808,0.2012,0.7546,2011-01-01
California College of the Arts,Private,Far West,,0.7626,,0.631147541,35700,1476,0.24309392265193,49375,37040,0.2097,0.5797,2011-01-01
California Institute of Technology,Private,Far West,,0.1277,1520,0.3875598086,74000,978,0.76394849785407,52389,37704,0.002,0.2678,2011-01-01
California Lutheran University,Private,Far West,,0.4399,1115,0.5786873677,52900,2709,0.52207792207792,44254,32860,0.1581,0.6342,2011-01-01
California Polytechnic State University-San Luis Obispo,Public,Far West,,0.3254,1222,0.4713728709,60900,17651,0.30771549125979,21479,19071,0.0351,0.3434,2011-01-01
California State University-Bakersfield,Public,Far West,,0.6627,921,0.6331251446,48100,6832,0.14882506527415,15517,17842,0.25,0.4285,2011-01-01
California State University-Stanislaus,Public,Far West,,0.3356,927,0.6608572774,44900,7912,0.20377867746288,15474,17742,0.2295,0.402,2011-01-01
California State University-San Bernardino,Public,Far West,,0.1906,905,0.6403361345,45500,14557,0.1288753799392,16516,17678,0.2354,0.4778,2011-01-01
California State Polytechnic University-Pomona,Public,Far West,,0.4465,1086,0.4580653805,52000,19306,0.12301715765619,15424,17266,0.1698,0.3366,2011-01-01
California State University-Chico,Public,Far West,,0.6222,1039,0.5437679204,45100,14614,0.19086956521739,20730,18050,0.1329,0.4248,2011-01-01
California State University-Dominguez Hills,Public,Far West,,0.5793,840,0.6518957716,42800,11154,0.0595744680851,11281,16755,0.4122,0.404,2011-01-01
California State University-Fresno,Public,Far West,,0.5591,931,0.5894724744,43200,18784,0.13709677419354,15479,17423,0.1736,0.3469,2011-01-01
California State University-Fullerton,Public,Far West,,0.4515,998,0.5867861986,46500,30702,0.13731656184486,13476,17280,0.2044,0.2755,2011-01-01
California State University-East Bay,Public,Far West,,0.2197,914,0.6380584481,51300,10650,0.1603498542274,18698,17574,0.3285,0.3189,2011-01-01
California State University-Long Beach,Public,Far West,,0.3444,1021,0.5901035673,46900,29244,0.12355576514972,16087,17400,0.1726,0.3303,2011-01-01
California State University-Los Angeles,Public,Far West,,0.5717,876,0.6028773934,44900,17307,0.08858739026336,13161,17255,0.2913,0.3118,2011-01-01
California State University-Northridge,Public,Far West,,0.7354,925,0.5754225042,44200,31747,0.13325930038867,19660,17648,0.2023,0.3455,2011-01-01
California State University-Sacramento,Public,Far West,,0.7085,954,0.6026716625,46500,24741,0.10509031198686,18655,17733,0.2497,0.3876,2011-01-01
University of California-Berkeley,Public,Far West,,0.2143,1349,0.5434995112,62700,25885,0.71014139444173,30800,35712,0.0647,0.3233,2011-01-01
University of California-Davis,Public,Far West,,0.4627,1202,0.5585132604,57100,24938,0.51452756806222,28950,36738,0.0538,0.4505,2011-01-01
University of California-Irvine,Public,Far West,,0.4521,1179,0.5566027516,55800,21994,0.64525852075121,27346,36000,0.0405,0.4079,2011-01-01
University of California-Los Angeles,Public,Far West,,0.2554,1289,0.5756630265,59200,27199,0.67518660936439,29240,35564,0.0566,0.3776,2011-01-01
University of California-Riverside,Public,Far West,,0.7588,1037,0.5469904963,48700,18516,0.42927012791572,27146,35802,0.0472,0.555,2011-01-01
University of California-San Diego,Public,Far West,,0.3788,1268,0.5243373494,59600,23022,0.56236559139784,27700,36078,0.0695,0.4886,2011-01-01
University of California-Santa Barbara,Public,Far West,,0.4547,1205,0.5475638051,52000,18617,0.66148986575414,30224,36473,0.0245,0.4382,2011-01-01
University of California-Santa Cruz,Public,Far West,,0.6382,1126,0.5564828614,44600,15945,0.50359465936323,30670,36294,0.0435,0.5188,2011-01-01
California Christian College,Private,Far West,,0.9231,,0.5357142857,,22,0,23145,7610,0.6452,0.65,2011-01-01
California College San Diego,Private,Far West,,,,0.5880204529,40400,1455,0,25240,15790,0.6729,0.8165,2011-01-01
Le Cordon Bleu College of Culinary Arts-San Francisco,Private,Far West,,,,0.4544405998,32800,749,,32570,14723,0.5087,0.6685,2011-01-01
California Institute of the Arts,Private,Far West,,0.2692,,0.4873096447,32500,904,0.50724637681159,53643,38260,0.1069,0.6542,2011-01-01
California State University Maritime Academy,Public,Far West,,0.6907,1065,0.1855421687,81100,881,0.4931506849315,20707,17696,0.1953,0.5427,2011-01-01
Canada College,Public,Far West,,,,0.6530753283,29300,5558,,9895,1068,0.5226,0.0132,2011-01-01
College of the Canyons,Public,Far West,,,,0.5323479006,34200,14188,,9677,4870,0.3769,0.0423,2011-01-01
Cerritos College,Public,Far West,,,,0.5697078907,31400,19939,,7973,6072,0.3387,0.0296,2011-01-01
Cerro Coso Community College,Public,Far West,,,,0.6658878505,24900,4975,,11853,6694,0.5662,0,2011-01-01
Chabot College,Public,Far West,,,,0.5801838611,32900,12915,,12465,6052,0.3991,0.0317,2011-01-01
Chaffey College,Public,Far West,,,,0.6042258321,28100,16605,,13237,6558,0.3231,0,2011-01-01
Chapman University,Private,Far West,,0.4485,1208,0.6004329004,51800,5265,0.53411764705882,53733,40234,0.0391,0.6464,2011-01-01
Charles R Drew University of Medicine and Science,Private,Far West,,,,0.593495935,63000,94,0,27900,10204,0.7604,0.8264,2011-01-01
Concordia University-Irvine,Private,Far West,,0.7597,1017,0.6254448399,42100,1624,0.43636363636363,38324,27300,0.1301,0.6418,2011-01-01
San Diego Christian College,Private,Far West,,0.3946,973,0.5479452055,34400,615,0.24175824175824,35943,23814,0.3258,0.7304,2011-01-01
Citrus College,Public,Far West,,,,0.5624653995,29100,10709,,8321,1112,0.2461,0.0333,2011-01-01
City College of San Francisco,Public,Far West,,,,0.5147518562,36900,31754,,9162,6032,0.5388,0.0466,2011-01-01
Claremont McKenna College,Private,Far West,,0.1412,1392,0.515625,63600,1292,0.84870848708487,55330,42240,0.0031,0.1031,2011-01-01
Coastline Community College,Public,Far West,,,,0.5856958763,30500,8687,,8870,4736,0.6473,0.0367,2011-01-01
Cogswell College,Private,Far West,,0.5411,1069,0.2096069869,48500,279,0.28571428571428,33058,19668,0.2778,0.521,2011-01-01
Coleman University,Private,Far West,,1,,0.1202003339,49200,726,,29887,19600,0.6598,0.6917,2011-01-01
Columbia College,Public,Far West,,,,0.5741293532,23000,2779,,9608,5806,0.4326,0,2011-01-01
Columbia College Hollywood,Private,Far West,,0.6364,,0.3538461538,,352,0,30368,18080,0.2614,0.7036,2011-01-01
El Camino College-Compton Center,Public,Far West,,,,0.5890895888,30200,7138,,12789,5962,0.4241,0.0183,2011-01-01
Contra Costa College,Public,Far West,,,,0.5872459706,29000,6323,,14613,6478,0.4354,0.0302,2011-01-01
Cosumnes River College,Public,Far West,,,,0.5794781846,28000,13688,,12714,6318,0.4008,0.0494,2011-01-01
Crafton Hills College,Public,Far West,,,,0.5583232078,30500,5033,,13639,4252,0.3012,0,2011-01-01
Cuesta College,Public,Far West,,,,0.5165484634,32900,9331,,13137,5500,0.3151,0.0469,2011-01-01
Cuyamaca College,Public,Far West,,,,0.5666556401,26800,7528,,7894,6606,0.4168,0.0235,2011-01-01
Cypress College,Public,Far West,,,,0.5726364335,33000,14365,,8759,5888,0.3141,0.0418,2011-01-01
De Anza College,Public,Far West,,,,0.5066864785,43600,21489,,9247,6216,0.363,0.0428,2011-01-01
College of the Desert,Public,Far West,,,,0.5284859233,29700,8420,,12921,5880,0.3489,0.0205,2011-01-01
Design Institute of San Diego,Private,Far West,,,,0.8790322581,33900,227,0.46153846153846,33201,18480,0.4626,0.7395,2011-01-01
DeVry University-California,Private,Far West,,0.9105,,0.4830111389,46500,10093,0.25714285714285,28778,15188,0.6004,0.8332,2011-01-01
Diablo Valley College,Public,Far West,,,,0.5547576302,38300,18373,,13280,6478,0.3409,0.0077,2011-01-01
Dominican University of California,Private,Far West,,0.5373,1066,0.7485101311,51400,1637,0.431718061674,53169,37350,0.2202,0.6999,2011-01-01
East Los Angeles College,Public,Far West,,,,0.5750348028,31600,33305,,13395,5899,0.4706,0.0124,2011-01-01
El Camino Community College District,Public,Far West,,,,0.5890895888,30200,22430,,15365,5962,0.3263,0.0145,2011-01-01
Evergreen Valley College,Public,Far West,,,,0.549185099,32700,8731,,13474,6666,0.4115,0.0166,2011-01-01
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Private,Far West,,0.6325,,0.8815819209,34500,4419,0.68627450980392,39798,26197,0.1496,0.5773,2011-01-01
