County,Year,State,Region,Distance from Metro,Persistent Poverty,Access to Healthcare,% Obese,% Poor Health,Quality of Healthcare,Sexually Transmitted Infections,% Single-Parent Households,% Smokers,% Some College,% Uninsured,Violent Crime Rate
La Paz,2013-01-01,Arizona,West,Adjacent to Metropolitan,No,44,30,23,49.7,107,46,17,41.1,26,402
Maricopa,2013-01-01,Arizona,West,In Metropolitan,No,67,24,15,69.4,408,33,17,62.1,19,422
Mohave,2013-01-01,Arizona,West,In Metropolitan,No,50,27,20,64.2,139,34,28,49.4,20,218
Navajo,2013-01-01,Arizona,West,Adjacent to Metropolitan,Yes,57,32,17,48.7,559,40,17,51.1,19,372
Pima,2013-01-01,Arizona,West,In Metropolitan,No,80,26,15,72.3,421,37,16,63.6,18,463
Pinal,2013-01-01,Arizona,West,In Metropolitan,No,13,30,17,69.2,253,32,17,55.7,19,238
Santa Cruz,2013-01-01,Arizona,West,Adjacent to Metropolitan,No,34,22,19,54.7,297,32,20,43.4,24,167
Yavapai,2013-01-01,Arizona,West,In Metropolitan,No,62,22,18,70.1,114,35,20,59.3,20,330
Yuma,2013-01-01,Arizona,West,In Metropolitan,No,43,29,23,66.1,417,36,14,52.3,24,388
Arkansas,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,53,36,29,52.1,684,37,22,44.3,19,366
Ashley,2013-01-01,Arkansas,South,Far from Metropolitan,No,37,39,26,54.4,837,34,26,43.4,20,306
Baxter,2013-01-01,Arkansas,South,Far from Metropolitan,No,75,28,17,69.9,289,29,24,55.5,22,111
Benton,2013-01-01,Arkansas,South,In Metropolitan,No,54,28,13,66.3,169,23,18,58.4,19,241
Boone,2013-01-01,Arkansas,South,Far from Metropolitan,No,76,29,17,56.4,306,29,17,50,21,317
Bradley,2013-01-01,Arkansas,South,Far from Metropolitan,Yes,52,32,18,61.1,591,36,17,33.2,27,297
Calhoun,2013-01-01,Arkansas,South,Far from Metropolitan,No,19,34,21,52.4,261,54,,36.6,22,80
Carroll,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,58,26,20,59.3,208,29,25,44,29,261
Chicot,2013-01-01,Arkansas,South,Far from Metropolitan,Yes,93,38,26,48.6,610,56,,35.8,21,811
Clark,2013-01-01,Arkansas,South,Far from Metropolitan,No,61,34,22,65.7,944,34,15,56.1,21,361
Clay,2013-01-01,Arkansas,South,Far from Metropolitan,No,25,32,27,60.7,118,31,24,42.1,22,126
Cleburne,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,58,27,24,69.3,254,27,,49.6,23,257
Cleveland,2013-01-01,Arkansas,South,In Metropolitan,No,11,33,22,68.2,334,36,,51.3,21,69
Columbia,2013-01-01,Arkansas,South,Far from Metropolitan,Yes,53,32,18,58.9,1234,49,16,56.6,19,445
Conway,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,66,33,24,63.4,226,33,30,45.3,20,292
Craighead,2013-01-01,Arkansas,South,In Metropolitan,No,100,33,20,62.3,699,38,19,57.8,21,368
Crawford,2013-01-01,Arkansas,South,In Metropolitan,No,48,33,18,67.5,194,33,21,49.1,23,249
Crittenden,2013-01-01,Arkansas,South,In Metropolitan,Yes,43,38,22,59,1271,62,23,49.5,19,1626
Cross,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,45,34,24,49.2,778,32,28,35.8,20,499
Dallas,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,62,34,,55.1,887,34,,32.5,20,358
Desha,2013-01-01,Arkansas,South,Adjacent to Metropolitan,Yes,46,38,21,48.6,884,45,24,45.6,22,819
Drew,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,49,36,19,58.9,729,43,21,54,19,429
Faulkner,2013-01-01,Arkansas,South,In Metropolitan,No,47,33,18,63.3,423,29,18,62.5,18,301
Franklin,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,28,34,,62,342,30,,49.5,21,240
Fulton,2013-01-01,Arkansas,South,Far from Metropolitan,No,74,31,25,56.3,147,23,,45.9,24,245
Garland,2013-01-01,Arkansas,South,In Metropolitan,No,71,28,18,60.8,334,38,26,51.9,23,629
Grant,2013-01-01,Arkansas,South,In Metropolitan,No,17,36,25,61,247,22,35,49.4,18,206
Greene,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,57,34,17,55.1,304,27,22,47.9,20,272
Hempstead,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,27,36,,61.6,1106,37,21,45.7,24,495
Hot Spring,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,24,35,27,52.6,416,30,22,48,20,121
Howard,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,51,35,20,58.3,950,39,21,39.8,26,287
Independence,2013-01-01,Arkansas,South,Far from Metropolitan,No,87,30,22,59.9,415,35,23,47.3,20,586
Izard,2013-01-01,Arkansas,South,Far from Metropolitan,No,29,29,30,62.2,139,30,25,42.8,23,50
Jackson,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,45,32,,52.7,533,47,21,37.9,23,583
Jefferson,2013-01-01,Arkansas,South,In Metropolitan,Yes,78,38,17,67.8,1285,58,24,49.5,18,1087
Johnson,2013-01-01,Arkansas,South,Far from Metropolitan,No,70,35,23,54.9,337,31,26,39.1,24,197
Lafayette,2013-01-01,Arkansas,South,Adjacent to Metropolitan,Yes,26,31,16,62.4,1007,44,14,40.5,23,257
Lawrence,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,34,34,,56.2,293,27,19,41,21,190
Lee,2013-01-01,Arkansas,South,Far from Metropolitan,Yes,29,37,,56.9,959,55,19,33.8,21,350
Lincoln,2013-01-01,Arkansas,South,In Metropolitan,No,7,36,25,63.8,368,46,23,31.3,21,132
Little River,2013-01-01,Arkansas,South,In Metropolitan,No,53,33,18,52.5,737,36,23,48.4,20,145
Logan,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,31,29,23,55.6,300,29,28,38.6,20,254
Lonoke,2013-01-01,Arkansas,South,In Metropolitan,No,17,34,17,60.5,323,29,21,58.9,18,410
Madison,2013-01-01,Arkansas,South,In Metropolitan,No,19,30,21,44.3,153,18,30,34.5,26,270
Marion,2013-01-01,Arkansas,South,Far from Metropolitan,No,18,32,17,61.7,132,21,23,53.2,24,245
Miller,2013-01-01,Arkansas,South,In Metropolitan,No,30,38,24,61.6,960,43,33,46.8,20,989
Mississippi,2013-01-01,Arkansas,South,Adjacent to Metropolitan,Yes,39,39,26,47.1,1102,53,29,45.8,18,890
Monroe,2013-01-01,Arkansas,South,Far from Metropolitan,Yes,49,36,,62.9,1117,54,,51.7,21,124
Montgomery,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,11,28,,49.2,200,27,,44.7,26,44
Nevada,2013-01-01,Arkansas,South,Far from Metropolitan,Yes,33,35,32,63.8,800,39,,47.2,20,164
Newton,2013-01-01,Arkansas,South,Far from Metropolitan,Yes,24,35,17,53.1,132,24,,47.3,26,221
Ouachita,2013-01-01,Arkansas,South,Far from Metropolitan,No,50,37,23,66.9,865,44,27,49.6,19,371
Perry,2013-01-01,Arkansas,South,In Metropolitan,No,10,32,,51.2,249,29,,38.6,20,250
Phillips,2013-01-01,Arkansas,South,Adjacent to Metropolitan,Yes,32,39,20,45.9,1066,67,21,49,17,1584
Pike,2013-01-01,Arkansas,South,Far from Metropolitan,No,44,31,23,51.4,372,34,27,44.6,25,126
Poinsett,2013-01-01,Arkansas,South,In Metropolitan,Yes,20,37,27,60.2,631,43,24,38.7,20,497
Polk,2013-01-01,Arkansas,South,Far from Metropolitan,No,53,38,23,58.1,276,40,28,50.9,26,260
Pope,2013-01-01,Arkansas,South,Far from Metropolitan,No,63,32,20,58.5,468,31,25,53.6,20,266
Prairie,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,,32,21,61.7,425,28,,45.7,23,113
Pulaski,2013-01-01,Arkansas,South,In Metropolitan,No,102,32,15,66.1,791,44,20,65.5,18,1104
Randolph,2013-01-01,Arkansas,South,Far from Metropolitan,No,61,35,22,59.3,340,27,18,50.4,22,35
St. Francis,2013-01-01,Arkansas,South,Adjacent to Metropolitan,Yes,36,38,19,51.9,1026,60,21,37.3,19,509
Saline,2013-01-01,Arkansas,South,In Metropolitan,No,40,31,18,69.8,211,28,24,59.3,16,272
Scott,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,18,32,14,54.9,454,33,31,38.5,26,230
Searcy,2013-01-01,Arkansas,South,Far from Metropolitan,Yes,49,31,21,52.9,207,33,,46.4,28,119
Sebastian,2013-01-01,Arkansas,South,In Metropolitan,No,114,30,19,66.3,446,32,22,52.7,24,632
Sevier,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,52,32,21,52.6,504,28,23,36.9,32,259
Sharp,2013-01-01,Arkansas,South,Far from Metropolitan,No,52,28,29,60.7,267,30,31,51,22,177
Stone,2013-01-01,Arkansas,South,Far from Metropolitan,No,56,32,23,52.8,73,27,22,49.1,25,228
Union,2013-01-01,Arkansas,South,Far from Metropolitan,No,79,31,23,54.6,790,42,28,54.1,18,572
Van Buren,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,17,31,24,60.5,197,36,28,45.6,22,259
Washington,2013-01-01,Arkansas,South,In Metropolitan,No,72,30,15,62.9,383,31,20,56.4,23,397
White,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,52,31,18,56.7,352,29,18,52.4,20,255
Woodruff,2013-01-01,Arkansas,South,Far from Metropolitan,Yes,41,34,,58.7,344,41,24,32.7,22,174
Yell,2013-01-01,Arkansas,South,Adjacent to Metropolitan,No,59,36,23,50.2,370,24,25,36.4,28,296
Alameda,2013-01-01,California,West,In Metropolitan,No,98,20,15,63.2,438,30,12,69.2,15,775
Alpine,2013-01-01,California,West,Adjacent to Metropolitan,No,0,25,,,0,52,,73.4,16,1104
Amador,2013-01-01,California,West,Adjacent to Metropolitan,No,58,25,18,71.2,181,24,25,53.3,16,298
Butte,2013-01-01,California,West,In Metropolitan,No,67,25,15,64.5,371,36,19,65.6,19,383
Calaveras,2013-01-01,California,West,Adjacent to Metropolitan,No,46,26,16,66.7,103,26,20,64.1,17,192
Colusa,2013-01-01,California,West,Adjacent to Metropolitan,No,33,25,,63.6,149,35,,44,24,232
Contra Costa,2013-01-01,California,West,In Metropolitan,No,89,24,14,68.4,373,26,13,67.8,14,424
Del Norte,2013-01-01,California,West,Far from Metropolitan,No,73,27,,61.9,178,45,,45.9,16,383
El Dorado,2013-01-01,California,West,In Metropolitan,No,75,21,10,71.2,134,23,13,67.4,14,272
Fresno,2013-01-01,California,West,In Metropolitan,No,61,29,22,62.9,648,37,14,49.8,22,509
Glenn,2013-01-01,California,West,Adjacent to Metropolitan,No,14,27,,62.3,157,35,13,46.2,23,223
Humboldt,2013-01-01,California,West,Far from Metropolitan,No,75,26,13,70.3,267,40,20,64.8,20,390
Imperial,2013-01-01,California,West,In Metropolitan,No,24,25,32,53.5,368,37,11,49.5,23,334
Inyo,2013-01-01,California,West,Far from Metropolitan,No,97,23,,66.5,173,36,,55.2,20,443
Kern,2013-01-01,California,West,In Metropolitan,No,49,29,24,58,650,36,17,43.1,23,586
Kings,2013-01-01,California,West,In Metropolitan,No,35,28,27,55.5,324,30,15,46.7,20,405
Lake,2013-01-01,California,West,Adjacent to Metropolitan,No,56,27,18,57.9,285,33,23,52.3,20,444
Lassen,2013-01-01,California,West,Far from Metropolitan,No,46,27,16,59.1,201,31,19,44.7,14,321
Los Angeles,2013-01-01,California,West,In Metropolitan,No,71,22,23,56.1,484,35,13,57.3,26,558
Madera,2013-01-01,California,West,In Metropolitan,No,46,30,30,62.3,457,31,13,40.3,23,462
Marin,2013-01-01,California,West,In Metropolitan,No,140,15,9,69.5,235,24,10,73.1,12,213
Mariposa,2013-01-01,California,West,Adjacent to Metropolitan,No,27,24,,65.4,110,37,,62.5,17,236
Mendocino,2013-01-01,California,West,Adjacent to Metropolitan,No,97,23,17,60.3,273,38,18,52.4,22,604
Merced,2013-01-01,California,West,In Metropolitan,No,43,32,23,62.8,401,33,14,42.4,22,616
Modoc,2013-01-01,California,West,Adjacent to Metropolitan,No,31,25,,54.8,10,32,,58.5,23,251
Mono,2013-01-01,California,West,Far from Metropolitan,No,56,21,8,67.1,211,23,4,55.2,24,396
Monterey,2013-01-01,California,West,In Metropolitan,No,63,22,22,66.9,405,32,13,44.6,24,499
Napa,2013-01-01,California,West,In Metropolitan,No,84,22,17,66.5,196,26,9,56.2,19,511
Nevada,2013-01-01,California,West,Adjacent to Metropolitan,No,74,21,11,72.6,150,28,14,72,18,294
Orange,2013-01-01,California,West,In Metropolitan,No,92,21,15,65.3,282,25,12,64.5,20,243
Placer,2013-01-01,California,West,In Metropolitan,No,108,20,10,72.9,174,21,10,76.4,12,230
Plumas,2013-01-01,California,West,Far from Metropolitan,No,90,24,6,65.5,270,36,16,58.2,19,607
Riverside,2013-01-01,California,West,In Metropolitan,No,40,28,19,61.9,171,29,15,51.3,23,341
Sacramento,2013-01-01,California,West,In Metropolitan,No,75,28,14,62.4,464,35,15,64.6,16,634
San Benito,2013-01-01,California,West,In Metropolitan,No,32,24,21,65.7,313,26,7,50.1,21,427
San Bernardino,2013-01-01,California,West,In Metropolitan,No,54,28,20,54.7,418,33,17,51.2,23,485
San Diego,2013-01-01,California,West,In Metropolitan,No,75,23,16,59.2,496,29,13,67.4,19,410
San Francisco,2013-01-01,California,West,In Metropolitan,No,145,17,17,61.9,571,30,11,82.3,15,773
San Joaquin,2013-01-01,California,West,In Metropolitan,No,59,30,21,62.6,542,33,18,49.5,19,840
San Luis Obispo,2013-01-01,California,West,In Metropolitan,No,78,22,12,70.8,257,26,10,64,18,274
San Mateo,2013-01-01,California,West,In Metropolitan,No,91,20,13,69.6,276,22,10,72.7,13,283
Santa Barbara,2013-01-01,California,West,In Metropolitan,No,80,20,21,69,338,29,11,58.4,21,438
Santa Clara,2013-01-01,California,West,In Metropolitan,No,99,21,14,66.6,310,22,10,73,14,286
Santa Cruz,2013-01-01,California,West,In Metropolitan,No,95,20,18,69.4,301,28,10,64.1,18,494
Shasta,2013-01-01,California,West,In Metropolitan,No,82,28,15,62.2,252,36,23,62,18,725
Sierra,2013-01-01,California,West,Adjacent to Metropolitan,No,31,24,,78.5,93,35,,59.2,18,411
Siskiyou,2013-01-01,California,West,Adjacent to Metropolitan,No,67,25,22,64.1,169,36,24,60.6,20,355
Solano,2013-01-01,California,West,In Metropolitan,No,73,27,17,47.6,499,31,14,62.1,14,517
Sonoma,2013-01-01,California,West,In Metropolitan,No,93,23,14,66.3,264,28,14,60.2,18,412
Stanislaus,2013-01-01,California,West,In Metropolitan,No,65,31,23,63.3,324,32,17,48.2,20,531
Sutter,2013-01-01,California,West,In Metropolitan,No,83,27,23,64.4,246,29,18,53.8,22,361
Tehama,2013-01-01,California,West,Adjacent to Metropolitan,No,38,25,26,66,268,37,18,49.4,22,615
Trinity,2013-01-01,California,West,Adjacent to Metropolitan,No,36,24,,54.4,116,39,,60.8,20,184
Tulare,2013-01-01,California,West,In Metropolitan,No,43,31,26,61.5,382,35,16,43.7,23,505
Tuolumne,2013-01-01,California,West,Adjacent to Metropolitan,No,94,23,12,68.9,201,26,21,51.8,16,248
Ventura,2013-01-01,California,West,In Metropolitan,No,69,23,15,65.6,277,25,12,60.4,18,244
Yolo,2013-01-01,California,West,In Metropolitan,No,111,26,16,66.7,324,27,7,67.6,16,270
Yuba,2013-01-01,California,West,In Metropolitan,No,28,31,22,57.5,281,35,14,51.2,19,402
Adams,2013-01-01,Colorado,West,In Metropolitan,No,48,25,17,55,248,30,21,54.2,23,402
Alamosa,2013-01-01,Colorado,West,Far from Metropolitan,Yes,116,21,14,47.6,298,30,17,52.3,20,402
Arapahoe,2013-01-01,Colorado,West,In Metropolitan,No,79,20,12,67.1,313,30,16,68.5,18,354
Archuleta,2013-01-01,Colorado,West,Far from Metropolitan,No,75,17,12,55.6,149,26,20,48.7,22,181
Baca,2013-01-01,Colorado,West,Far from Metropolitan,No,79,23,14,55.4,238,21,12,67.8,26,370
Bent,2013-01-01,Colorado,West,Far from Metropolitan,No,15,25,,65.3,154,41,24,31.3,20,145
Boulder,2013-01-01,Colorado,West,In Metropolitan,No,122,15,9,71.9,157,23,12,81.5,15,217
Broomfield,2013-01-01,Colorado,West,In Metropolitan,No,100,22,8,66.1,129,23,14,82.6,12,74
Chaffee,2013-01-01,Colorado,West,Far from Metropolitan,No,112,16,11,69.5,28,27,18,50.8,20,106
Cheyenne,2013-01-01,Colorado,West,Far from Metropolitan,No,109,21,16,60,55,18,,63.9,26,0
Clear Creek,2013-01-01,Colorado,West,In Metropolitan,No,11,19,8,71.1,44,27,21,70.1,12,445
Conejos,2013-01-01,Colorado,West,Far from Metropolitan,No,48,18,24,47.2,85,22,23,50.3,22,
Costilla,2013-01-01,Colorado,West,Far from Metropolitan,Yes,,21,,52.1,114,46,,22.9,29,
