filename, fullpath, group, FirstPer , SelfDisclosure , SelfReluctance , Autobio , PrivateThinking , Disclosure , Intensity , Immediacy , SubjectiveTime , SubjectivePercept , Confidence , Uncertainty , Positivity , Negativity , Anger , Fear , Sad , Reluctance , Apology , SenseProperty , SenseObject , SpaceRelation , SceneShift , Motions , DialogCues , OralCues , In_Media , CommonAuthorities , Responsibility , StandardsPos , Innovations , StandardsNeg , AbstractConcepts , CommunicatorRole , LangRef , Precedent_Defending , ReceivedPOV , ConfirmedThght , Citations , Neg_Citation , Repair_Citation , Speculative_Citation , Authoritative_Citation , Contested_Citation , Attack_Citation , Quotation , Metadiscourse , ProjectAhead , PredictedFuture , ProjectBack , Future_in_Past , Promise , Self_Promise , Reassure , Reinforce , Acknowledge , Inclusive , Negative_Relation , Confront , ReasonForward , ReasonBackward , DirectReasoning , Support , Contingency , DenyDisclaim , Concessive , Resistance , Curiosity , Question , Future_Question , OpenQuery , DirectAddress , Request , FollowUp , Feedback , PosFeedback , NegFeedback , PriorKnowledge , Generalization , Example , Exceptions , Comparison , Resemblances , Specifiers , Definition , Numbers , ReportingStates , ReportingEvents , RecurringEvents , GenericEvents , Sequence , MatureProcess , Cause , Consequence , Transformation , Substitution , Updates , Precedent_Setting , Imperative , Procedures , MoveBody , ConfirmExperience , ErrorRecovery , Insist , Narrative_Verbs , TimeShift , TimeDuration , Biographical_Time , TimeDate , Aside , PersonPronoun , Positive_Attribution , Negative_Attribution , Neutral_Attribution , PersonProperty , <untagged>, <not-word>, <words>, <tokens>
Beckford_1786_Vathekp , C:\Users\gleicher\DigHum\Novels\1780-1789\Beckford_1786_Vathekp.txt , 1780-1789 , 0.488, 0.136, 0.000, 0.029, 0.397, 0.085, 0.972, 0.553, 0.268, 1.128, 0.203, 0.357, 1.444, 1.725, 0.149, 0.163, 0.190, 0.040, 0.000, 1.832, 4.708, 1.912, 0.372, 0.976, 0.118, 0.058, 0.002, 0.916, 0.051, 1.641, 0.013, 0.548, 1.904, 0.013, 0.444, 0.004, 0.038, 0.002, 0.299, 0.000, 0.049, 0.000, 0.004, 0.002, 0.000, 0.002, 0.160, 0.629, 0.189, 1.850, 0.002, 0.025, 0.002, 0.020, 0.000, 0.009, 0.239, 0.192, 0.004, 0.303, 0.036, 0.000, 0.007, 0.617, 0.604, 0.071, 0.852, 0.227, 0.296, 0.031, 0.025, 0.735, 0.016, 0.005, 0.000, 0.004, 0.000, 0.020, 0.310, 0.018, 0.132, 0.696, 0.116, 1.328, 0.002, 1.032, 0.653, 3.118, 0.229, 0.294, 0.860, 0.002, 0.076, 0.031, 0.276, 0.045, 0.279, 0.000, 0.060, 0.004, 0.002, 0.004, 0.000, 0.160, 0.560, 0.152, 0.597, 0.127, 0.013, 0.230, 2.501, 0.029, 0.005, 0.205, 2.093, 30.750, 3.656, 45555, 55139
Burney_1782_Ceciliap , C:\Users\gleicher\DigHum\Novels\1780-1789\Burney_1782_Ceciliap.txt , 1780-1789 , 1.160, 0.589, 0.007, 0.184, 0.692, 0.118, 1.487, 0.602, 0.291, 1.567, 0.445, 0.563, 1.434, 1.726, 0.234, 0.252, 0.208, 0.075, 0.015, 0.788, 1.323, 1.043, 0.436, 0.409, 0.380, 0.118, 0.000, 0.563, 0.068, 1.723, 0.020, 0.686, 2.561, 0.005, 0.314, 0.003, 0.033, 0.003, 0.504, 0.002, 0.020, 0.000, 0.006, 0.004, 0.000, 0.021, 0.171, 0.951, 0.288, 1.987, 0.008, 0.016, 0.004, 0.096, 0.000, 0.042, 0.173, 0.342, 0.025, 0.479, 0.045, 0.007, 0.008, 1.145, 1.306, 0.188, 1.453, 0.222, 0.799, 0.063, 0.021, 1.375, 0.092, 0.002, 0.000, 0.009, 0.004, 0.015, 0.293, 0.009, 0.123, 0.689, 0.067, 1.048, 0.000, 0.230, 0.670, 2.885, 0.332, 0.351, 0.637, 0.005, 0.071, 0.030, 0.251, 0.018, 0.422, 0.003, 0.039, 0.002, 0.002, 0.007, 0.000, 0.373, 0.334, 0.223, 0.548, 0.235, 0.014, 0.100, 3.472, 0.006, 0.009, 0.264, 1.559, 27.680, 2.772, 326326, 402063
ReeveEnglishBaron1780p , C:\Users\gleicher\DigHum\Novels\1780-1789\ReeveEnglishBaron1780p.txt , 1780-1789 , 1.698, 0.748, 0.002, 0.197, 0.505, 0.180, 0.859, 0.339, 0.204, 1.026, 0.432, 0.454, 1.715, 1.028, 0.098, 0.149, 0.142, 0.040, 0.006, 0.642, 1.895, 1.159, 0.514, 0.350, 0.006, 0.063, 0.000, 1.285, 0.121, 2.235, 0.046, 0.483, 1.632, 0.012, 0.260, 0.002, 0.028, 0.006, 1.192, 0.002, 0.062, 0.000, 0.005, 0.003, 0.000, 0.000, 0.221, 0.974, 0.573, 1.336, 0.006, 0.028, 0.009, 0.046, 0.000, 0.085, 0.252, 0.226, 0.008, 0.211, 0.025, 0.008, 0.017, 0.907, 0.608, 0.050, 0.994, 0.215, 0.611, 0.059, 0.025, 2.053, 0.090, 0.005, 0.000, 0.005, 0.000, 0.017, 0.313, 0.017, 0.076, 0.447, 0.054, 1.115, 0.002, 0.209, 0.799, 2.947, 0.204, 0.379, 0.742, 0.006, 0.102, 0.039, 0.255, 0.017, 0.294, 0.000, 0.073, 0.008, 0.000, 0.008, 0.000, 0.468, 0.565, 0.280, 0.514, 0.260, 0.022, 0.070, 3.125, 0.014, 0.008, 0.421, 3.351, 26.230, 3.735, 54235, 64598
Smith_1788_Emmelinep , C:\Users\gleicher\DigHum\Novels\1780-1789\Smith_1788_Emmelinep.txt , 1780-1789 , 0.935, 0.380, 0.007, 0.147, 0.713, 0.087, 1.249, 0.527, 0.275, 1.524, 0.442, 0.524, 1.524, 1.610, 0.205, 0.301, 0.269, 0.078, 0.007, 0.822, 1.616, 1.455, 0.607, 0.426, 0.116, 0.093, 0.002, 0.893, 0.089, 1.663, 0.012, 0.670, 2.231, 0.004, 0.340, 0.004, 0.026, 0.004, 0.411, 0.002, 0.033, 0.000, 0.007, 0.006, 0.000, 0.010, 0.156, 0.939, 0.235, 2.579, 0.009, 0.019, 0.003, 0.092, 0.000, 0.022, 0.119, 0.321, 0.011, 0.293, 0.043, 0.007, 0.010, 1.104, 0.853, 0.015, 1.245, 0.219, 0.402, 0.046, 0.018, 0.962, 0.074, 0.005, 0.000, 0.010, 0.006, 0.019, 0.255, 0.008, 0.113, 0.618, 0.073, 1.009, 0.001, 0.226, 0.615, 3.079, 0.372, 0.293, 0.671, 0.002, 0.082, 0.052, 0.262, 0.028, 0.382, 0.003, 0.033, 0.004, 0.001, 0.002, 0.000, 0.369, 0.484, 0.270, 0.789, 0.304, 0.030, 0.174, 4.101, 0.006, 0.015, 0.323, 2.039, 26.355, 3.917, 208159, 246115
Wollstonecraft_1788_Maryp , C:\Users\gleicher\DigHum\Novels\1780-1789\Wollstonecraft_1788_Maryp.txt , 1780-1789 , 0.621, 0.288, 0.004, 0.078, 1.108, 0.159, 1.127, 0.380, 0.307, 1.906, 0.273, 0.465, 2.213, 2.072, 0.092, 0.222, 0.425, 0.033, 0.011, 1.345, 2.427, 1.367, 0.513, 0.842, 0.030, 0.055, 0.000, 0.650, 0.078, 1.825, 0.011, 0.709, 2.264, 0.022, 0.262, 0.000, 0.011, 0.007, 0.270, 0.000, 0.022, 0.000, 0.004, 0.007, 0.000, 0.000, 0.100, 0.846, 0.129, 2.789, 0.018, 0.026, 0.000, 0.081, 0.000, 0.018, 0.170, 0.214, 0.004, 0.155, 0.033, 0.007, 0.007, 0.990, 1.212, 0.103, 1.119, 0.229, 0.432, 0.055, 0.022, 0.355, 0.033, 0.004, 0.000, 0.000, 0.000, 0.018, 0.296, 0.022, 0.207, 0.598, 0.103, 1.053, 0.011, 0.255, 0.595, 3.409, 0.410, 0.266, 0.731, 0.004, 0.059, 0.074, 0.358, 0.033, 0.299, 0.000, 0.037, 0.004, 0.000, 0.000, 0.000, 0.211, 0.709, 0.318, 0.706, 0.451, 0.000, 0.159, 3.801, 0.011, 0.007, 0.543, 2.327, 25.247, 1.603, 23010, 27072
Austen_1794_Lady Susanp , C:\Users\gleicher\DigHum\Novels\1790-1799\Austen_1794_Lady Susanp.txt , 1790-1799 , 2.267, 1.339, 0.023, 0.479, 0.619, 0.064, 1.682, 0.400, 0.223, 1.554, 0.683, 0.641, 1.980, 1.377, 0.241, 0.257, 0.151, 0.064, 0.004, 0.479, 1.045, 0.969, 0.430, 0.181, 0.008, 0.064, 0.008, 0.479, 0.102, 1.954, 0.011, 0.777, 2.075, 0.000, 1.256, 0.015, 0.068, 0.019, 0.336, 0.000, 0.038, 0.000, 0.008, 0.000, 0.000, 0.004, 0.294, 0.924, 0.370, 1.373, 0.004, 0.019, 0.011, 0.049, 0.000, 0.019, 0.370, 0.373, 0.011, 0.404, 0.045, 0.004, 0.023, 1.407, 1.105, 0.004, 1.320, 0.245, 0.392, 0.049, 0.030, 1.520, 0.072, 0.011, 0.004, 0.038, 0.000, 0.060, 0.362, 0.019, 0.087, 0.853, 0.075, 1.003, 0.000, 0.321, 1.158, 2.618, 0.223, 0.366, 0.487, 0.008, 0.102, 0.049, 0.226, 0.019, 0.611, 0.004, 0.083, 0.004, 0.000, 0.015, 0.000, 0.724, 0.162, 0.211, 0.664, 0.226, 0.019, 0.158, 2.897, 0.004, 0.008, 0.155, 2.320, 22.433, 3.067, 22726, 26510
Bage_1792_Man as He isp , C:\Users\gleicher\DigHum\Novels\1790-1799\Bage_1792_Man as He isp.txt , 1790-1799 , 1.341, 0.598, 0.012, 0.241, 0.553, 0.082, 1.067, 0.360, 0.185, 1.355, 0.438, 0.539, 1.787, 1.269, 0.185, 0.084, 0.158, 0.026, 0.010, 0.707, 1.561, 0.908, 0.362, 0.355, 0.105, 0.108, 0.002, 0.910, 0.087, 2.201, 0.016, 0.622, 3.397, 0.033, 0.239, 0.003, 0.026, 0.017, 0.800, 0.000, 0.170, 0.001, 0.003, 0.003, 0.000, 0.002, 0.154, 0.694, 0.242, 1.910, 0.005, 0.006, 0.003, 0.056, 0.000, 0.043, 0.218, 0.260, 0.015, 0.315, 0.054, 0.018, 0.012, 1.175, 1.113, 0.066, 1.039, 0.212, 0.719, 0.045, 0.017, 1.313, 0.076, 0.005, 0.000, 0.020, 0.000, 0.020, 0.219, 0.010, 0.164, 0.607, 0.055, 1.030, 0.006, 0.340, 0.823, 2.713, 0.202, 0.293, 0.551, 0.001, 0.094, 0.046, 0.236, 0.030, 0.254, 0.002, 0.082, 0.006, 0.002, 0.005, 0.000, 0.472, 0.311, 0.179, 0.518, 0.216, 0.009, 0.113, 1.982, 0.011, 0.008, 0.218, 3.180, 29.138, 3.507, 143177, 177018
Bage_1796_Hermsprongp , C:\Users\gleicher\DigHum\Novels\1790-1799\Bage_1796_Hermsprongp.txt , 1790-1799 , 1.467, 0.750, 0.007, 0.328, 0.560, 0.072, 1.164, 0.396, 0.161, 1.360, 0.430, 0.613, 1.688, 1.319, 0.219, 0.142, 0.129, 0.018, 0.006, 0.674, 1.712, 0.833, 0.276, 0.366, 0.131, 0.112, 0.001, 1.299, 0.119, 2.151, 0.018, 0.643, 3.194, 0.030, 0.225, 0.007, 0.033, 0.016, 0.736, 0.000, 0.102, 0.000, 0.002, 0.003, 0.000, 0.000, 0.182, 0.649, 0.245, 1.605, 0.007, 0.009, 0.005, 0.059, 0.000, 0.036, 0.170, 0.302, 0.022, 0.335, 0.078, 0.018, 0.012, 1.314, 1.198, 0.059, 1.111, 0.219, 0.816, 0.061, 0.019, 1.745, 0.080, 0.005, 0.000, 0.018, 0.000, 0.024, 0.199, 0.013, 0.134, 0.620, 0.066, 1.008, 0.005, 0.318, 0.849, 2.378, 0.204, 0.260, 0.472, 0.003, 0.085, 0.059, 0.234, 0.025, 0.249, 0.003, 0.083, 0.006, 0.003, 0.002, 0.000, 0.493, 0.287, 0.169, 0.469, 0.223, 0.010, 0.102, 1.872, 0.013, 0.011, 0.182, 2.616, 29.026, 2.997, 103366, 129417
Burney_1796_Camillap , C:\Users\gleicher\DigHum\Novels\1790-1799\Burney_1796_Camillap.txt , 1790-1799 , 0.959, 0.394, 0.005, 0.151, 0.724, 0.135, 1.179, 0.586, 0.307, 1.713, 0.387, 0.520, 1.774, 1.667, 0.182, 0.208, 0.209, 0.062, 0.012, 0.942, 1.806, 1.191, 0.423, 0.612, 0.237, 0.067, 0.003, 0.562, 0.079, 1.705, 0.021, 0.616, 2.562, 0.009, 0.313, 0.001, 0.032, 0.004, 0.479, 0.002, 0.021, 0.000, 0.004, 0.003, 0.000, 0.002, 0.160, 0.829, 0.178, 1.918, 0.009, 0.021, 0.007, 0.086, 0.000, 0.039, 0.171, 0.268, 0.028, 0.371, 0.048, 0.006, 0.005, 1.147, 1.193, 0.223, 1.326, 0.283, 0.674, 0.042, 0.020, 1.003, 0.080, 0.003, 0.000, 0.011, 0.001, 0.017, 0.355, 0.008, 0.148, 0.697, 0.076, 1.065, 0.001, 0.289, 0.602, 2.972, 0.310, 0.324, 0.673, 0.004, 0.073, 0.031, 0.278, 0.024, 0.384, 0.007, 0.060, 0.001, 0.002, 0.006, 0.000, 0.329, 0.389, 0.223, 0.510, 0.235, 0.006, 0.145, 3.330, 0.006, 0.009, 0.272, 1.886, 27.848, 3.613, 354856, 436113
Fenwick_1795_Secresyp , C:\Users\gleicher\DigHum\Novels\1790-1799\Fenwick_1795_Secresyp.txt , 1790-1799 , 2.917, 1.040, 0.012, 0.411, 0.629, 0.111, 1.048, 0.453, 0.243, 1.389, 0.419, 0.463, 1.966, 1.549, 0.196, 0.176, 0.202, 0.032, 0.007, 1.011, 2.547, 1.369, 0.434, 0.695, 0.075, 0.157, 0.000, 0.667, 0.040, 1.862, 0.030, 0.690, 2.748, 0.003, 0.225, 0.001, 0.018, 0.007, 0.495, 0.004, 0.071, 0.000, 0.005, 0.007, 0.001, 0.002, 0.177, 0.839, 0.290, 1.335, 0.003, 0.024, 0.007, 0.062, 0.000, 0.034, 0.242, 0.285, 0.031, 0.291, 0.049, 0.008, 0.007, 1.119, 1.075, 0.094, 1.040, 0.242, 0.649, 0.068, 0.026, 1.991, 0.065, 0.007, 0.000, 0.013, 0.000, 0.033, 0.217, 0.021, 0.134, 0.662, 0.063, 0.934, 0.001, 0.310, 0.822, 2.986, 0.321, 0.288, 0.573, 0.008, 0.050, 0.052, 0.312, 0.026, 0.337, 0.001, 0.120, 0.007, 0.005, 0.009, 0.000, 0.432, 0.315, 0.205, 0.652, 0.205, 0.014, 0.051, 2.127, 0.013, 0.002, 0.199, 1.669, 26.768, 3.511, 100812, 121715
GodwinCalebWilliams1794p , C:\Users\gleicher\DigHum\Novels\1790-1799\GodwinCalebWilliams1794p.txt , 1790-1799 , 2.447, 0.977, 0.014, 0.657, 0.773, 0.188, 1.312, 0.555, 0.298, 1.439, 0.423, 0.584, 1.086, 2.146, 0.275, 0.228, 0.139, 0.038, 0.005, 0.797, 1.644, 1.153, 0.372, 0.422, 0.019, 0.086, 0.001, 0.777, 0.081, 2.201, 0.042, 1.094, 3.177, 0.020, 0.285, 0.003, 0.028, 0.007, 0.327, 0.007, 0.035, 0.000, 0.005, 0.005, 0.001, 0.001, 0.155, 0.756, 0.198, 2.673, 0.011, 0.011, 0.002, 0.059, 0.000, 0.022, 0.212, 0.457, 0.020, 0.302, 0.054, 0.010, 0.017, 1.315, 1.086, 0.111, 1.305, 0.275, 0.608, 0.044, 0.019, 1.015, 0.043, 0.004, 0.000, 0.014, 0.001, 0.025, 0.355, 0.064, 0.146, 0.787, 0.110, 1.430, 0.003, 0.265, 0.706, 2.793, 0.269, 0.384, 0.650, 0.007, 0.072, 0.056, 0.331, 0.038, 0.306, 0.005, 0.072, 0.011, 0.003, 0.005, 0.000, 0.413, 0.320, 0.230, 0.620, 0.235, 0.012, 0.100, 2.069, 0.007, 0.013, 0.182, 1.413, 23.692, 1.182, 132341, 149296
Godwin_1799_St. Leonp , C:\Users\gleicher\DigHum\Novels\1790-1799\Godwin_1799_St. Leonp.txt , 1790-1799 , 3.064, 1.071, 0.011, 0.780, 0.713, 0.193, 1.227, 0.511, 0.239, 1.513, 0.390, 0.529, 1.546, 2.053, 0.188, 0.220, 0.189, 0.033, 0.003, 0.874, 1.827, 1.224, 0.371, 0.431, 0.010, 0.048, 0.001, 0.832, 0.065, 2.446, 0.031, 0.991, 2.897, 0.026, 0.259, 0.003, 0.024, 0.002, 0.259, 0.008, 0.030, 0.000, 0.004, 0.001, 0.002, 0.000, 0.132, 0.728, 0.158, 2.421, 0.011, 0.030, 0.003, 0.069, 0.000, 0.015, 0.424, 0.348, 0.011, 0.258, 0.046, 0.007, 0.010, 1.235, 1.099, 0.086, 1.153, 0.241, 0.523, 0.049, 0.020, 0.841, 0.027, 0.008, 0.000, 0.011, 0.000, 0.032, 0.369, 0.047, 0.143, 0.797, 0.095, 1.338, 0.001, 0.219, 0.644, 2.876, 0.277, 0.383, 0.618, 0.017, 0.084, 0.067, 0.362, 0.017, 0.326, 0.006, 0.069, 0.006, 0.003, 0.003, 0.000, 0.389, 0.327, 0.205, 0.607, 0.239, 0.010, 0.105, 1.765, 0.012, 0.009, 0.156, 1.606, 25.433, 1.060, 185096, 209457
HaysMemoirsEmmaCourtney1796p , C:\Users\gleicher\DigHum\Novels\1790-1799\HaysMemoirsEmmaCourtney1796p.txt , 1790-1799 , 3.390, 1.280, 0.006, 0.479, 0.786, 0.157, 0.825, 0.380, 0.325, 1.667, 0.320, 0.495, 2.072, 2.053, 0.194, 0.197, 0.308, 0.051, 0.008, 1.152, 1.796, 1.116, 0.302, 0.606, 0.033, 0.074, 0.004, 0.648, 0.070, 2.645, 0.005, 1.073, 2.962, 0.005, 0.267, 0.008, 0.012, 0.013, 0.326, 0.001, 0.077, 0.000, 0.013, 0.005, 0.001, 0.000, 0.116, 0.749, 0.190, 1.554, 0.001, 0.004, 0.003, 0.079, 0.000, 0.040, 0.299, 0.311, 0.014, 0.221, 0.043, 0.006, 0.017, 0.960, 0.825, 0.078, 1.121, 0.252, 0.518, 0.101, 0.022, 1.214, 0.101, 0.013, 0.001, 0.008, 0.000, 0.015, 0.293, 0.017, 0.150, 0.570, 0.072, 0.947, 0.000, 0.201, 0.725, 3.049, 0.399, 0.358, 0.523, 0.005, 0.082, 0.072, 0.400, 0.029, 0.329, 0.000, 0.042, 0.001, 0.003, 0.003, 0.000, 0.297, 0.353, 0.211, 0.669, 0.171, 0.015, 0.174, 1.551, 0.009, 0.006, 0.136, 1.262, 29.842, 1.286, 63972, 78226
Hays_1796_Memoirs of Emmap , C:\Users\gleicher\DigHum\Novels\1790-1799\Hays_1796_Memoirs of Emmap.txt , 1790-1799 , 3.252, 1.165, 0.006, 0.453, 0.793, 0.156, 0.822, 0.375, 0.315, 1.670, 0.320, 0.503, 2.012, 1.989, 0.184, 0.192, 0.285, 0.048, 0.006, 1.135, 1.738, 1.103, 0.298, 0.579, 0.037, 0.052, 0.004, 0.632, 0.068, 2.624, 0.006, 1.060, 2.958, 0.009, 0.298, 0.008, 0.014, 0.012, 0.311, 0.001, 0.068, 0.000, 0.013, 0.005, 0.001, 0.001, 0.111, 0.742, 0.188, 1.599, 0.001, 0.004, 0.001, 0.075, 0.000, 0.040, 0.298, 0.306, 0.014, 0.226, 0.041, 0.006, 0.017, 0.972, 0.809, 0.076, 1.037, 0.240, 0.506, 0.086, 0.019, 1.161, 0.097, 0.013, 0.001, 0.006, 0.000, 0.015, 0.300, 0.019, 0.150, 0.587, 0.068, 0.956, 0.000, 0.231, 0.762, 3.053, 0.388, 0.353, 0.515, 0.005, 0.086, 0.075, 0.389, 0.032, 0.322, 0.000, 0.044, 0.003, 0.003, 0.003, 0.000, 0.297, 0.352, 0.215, 0.660, 0.172, 0.015, 0.164, 1.518, 0.009, 0.005, 0.117, 1.263, 29.050, 3.232, 62608, 77541
Hays_1799_The Victim of Prejudicep , C:\Users\gleicher\DigHum\Novels\1790-1799\Hays_1799_The Victim of Prejudicep.txt , 1790-1799 , 4.266, 1.092, 0.009, 0.496, 0.637, 0.145, 0.763, 0.398, 0.377, 1.721, 0.319, 0.389, 2.164, 2.674, 0.302, 0.295, 0.367, 0.064, 0.005, 1.342, 2.209, 1.302, 0.386, 0.870, 0.083, 0.053, 0.002, 0.656, 0.071, 2.662, 0.017, 1.242, 2.788, 0.017, 0.205, 0.007, 0.002, 0.005, 0.222, 0.009, 0.062, 0.000, 0.003, 0.012, 0.000, 0.022, 0.081, 0.908, 0.193, 1.311, 0.002, 0.016, 0.003, 0.074, 0.000, 0.017, 0.379, 0.450, 0.016, 0.246, 0.022, 0.000, 0.022, 0.732, 0.689, 0.057, 1.084, 0.212, 0.534, 0.081, 0.014, 1.016, 0.057, 0.010, 0.000, 0.000, 0.000, 0.022, 0.227, 0.014, 0.136, 0.391, 0.053, 0.873, 0.002, 0.129, 0.443, 3.410, 0.336, 0.319, 0.538, 0.003, 0.047, 0.081, 0.424, 0.019, 0.317, 0.005, 0.050, 0.002, 0.002, 0.005, 0.000, 0.245, 0.257, 0.202, 0.851, 0.115, 0.014, 0.159, 1.657, 0.009, 0.007, 0.126, 1.616, 29.502, 1.084, 47841, 58043
Holcroft_1792_Anna St. Ivesp , C:\Users\gleicher\DigHum\Novels\1790-1799\Holcroft_1792_Anna St. Ivesp.txt , 1790-1799 , 2.667, 1.238, 0.009, 0.377, 0.749, 0.119, 1.317, 0.412, 0.203, 1.522, 0.537, 0.623, 1.439, 1.864, 0.252, 0.283, 0.121, 0.043, 0.007, 0.698, 2.020, 0.868, 0.287, 0.566, 0.023, 0.165, 0.001, 0.647, 0.088, 2.272, 0.017, 0.977, 2.002, 0.010, 0.292, 0.003, 0.030, 0.010, 0.398, 0.005, 0.031, 0.000, 0.003, 0.006, 0.000, 0.002, 0.212, 0.794, 0.333, 1.470, 0.006, 0.010, 0.003, 0.057, 0.000, 0.027, 0.271, 0.342, 0.019, 0.345, 0.072, 0.016, 0.010, 1.404, 1.268, 0.117, 1.477, 0.264, 0.938, 0.102, 0.027, 1.344, 0.070, 0.008, 0.001, 0.008, 0.000, 0.024, 0.269, 0.014, 0.143, 0.771, 0.114, 1.107, 0.003, 0.271, 1.360, 2.529, 0.312, 0.368, 0.567, 0.008, 0.101, 0.054, 0.278, 0.030, 0.379, 0.002, 0.078, 0.005, 0.003, 0.002, 0.000, 0.631, 0.259, 0.174, 0.383, 0.193, 0.011, 0.139, 1.839, 0.010, 0.004, 0.245, 1.699, 25.091, 3.039, 185582, 219259
Holcroft_1794-7_The Adventures of Hugh Trevorp , C:\Users\gleicher\DigHum\Novels\1790-1799\Holcroft_1794-7_The Adventures of Hugh Trevorp.txt , 1790-1799 , 2.469, 0.837, 0.011, 0.709, 0.718, 0.103, 1.358, 0.424, 0.240, 1.386, 0.428, 0.562, 1.451, 1.824, 0.237, 0.252, 0.128, 0.037, 0.006, 0.850, 1.842, 1.039, 0.333, 0.568, 0.049, 0.104, 0.002, 0.973, 0.069, 2.074, 0.026, 0.913, 2.548, 0.040, 0.326, 0.003, 0.021, 0.013, 0.418, 0.003, 0.057, 0.001, 0.004, 0.004, 0.000, 0.003, 0.176, 0.741, 0.190, 2.679, 0.014, 0.007, 0.002, 0.063, 0.000, 0.024, 0.234, 0.351, 0.015, 0.338, 0.049, 0.012, 0.013, 1.186, 0.997, 0.147, 1.271, 0.308, 0.631, 0.042, 0.022, 0.903, 0.050, 0.009, 0.002, 0.006, 0.001, 0.027, 0.252, 0.033, 0.142, 0.741, 0.086, 1.288, 0.005, 0.264, 0.871, 2.971, 0.367, 0.463, 0.633, 0.005, 0.087, 0.045, 0.288, 0.029, 0.318, 0.002, 0.043, 0.006, 0.004, 0.003, 0.000, 0.441, 0.320, 0.204, 0.544, 0.200, 0.017, 0.113, 1.841, 0.005, 0.005, 0.149, 1.778, 26.936, 1.500, 204531, 240867
Inchbald_1791_A Simple Storyp , C:\Users\gleicher\DigHum\Novels\1790-1799\Inchbald_1791_A Simple Storyp.txt , 1790-1799 , 0.929, 0.452, 0.007, 0.128, 0.652, 0.150, 1.001, 0.519, 0.239, 1.361, 0.411, 0.511, 1.587, 1.317, 0.249, 0.258, 0.271, 0.046, 0.011, 0.654, 1.391, 1.166, 0.483, 0.382, 0.266, 0.087, 0.001, 1.176, 0.089, 1.571, 0.008, 0.541, 2.669, 0.016, 0.320, 0.004, 0.032, 0.003, 0.579, 0.001, 0.227, 0.000, 0.006, 0.002, 0.001, 0.020, 0.136, 0.757, 0.227, 2.434, 0.007, 0.021, 0.005, 0.073, 0.000, 0.038, 0.090, 0.313, 0.012, 0.260, 0.043, 0.009, 0.012, 0.990, 1.088, 0.108, 1.262, 0.210, 0.626, 0.033, 0.029, 1.391, 0.096, 0.002, 0.000, 0.020, 0.001, 0.029, 0.360, 0.024, 0.141, 0.717, 0.114, 1.119, 0.005, 0.220, 0.541, 2.853, 0.340, 0.225, 0.591, 0.002, 0.099, 0.053, 0.254, 0.040, 0.316, 0.007, 0.073, 0.001, 0.002, 0.002, 0.000, 0.322, 0.433, 0.311, 0.729, 0.327, 0.026, 0.104, 3.859, 0.006, 0.008, 0.329, 1.511, 26.739, 4.658, 98949, 122659
Inchbald_1796_Nature and Artp , C:\Users\gleicher\DigHum\Novels\1790-1799\Inchbald_1796_Nature and Artp.txt , 1790-1799 , 0.699, 0.318, 0.006, 0.118, 0.760, 0.193, 1.043, 0.457, 0.240, 1.442, 0.376, 0.403, 1.867, 1.893, 0.240, 0.268, 0.352, 0.043, 0.006, 0.893, 1.759, 1.236, 0.346, 0.438, 0.228, 0.088, 0.004, 0.770, 0.084, 1.972, 0.011, 0.893, 2.041, 0.034, 0.369, 0.000, 0.030, 0.002, 0.375, 0.000, 0.094, 0.000, 0.006, 0.007, 0.002, 0.058, 0.137, 0.687, 0.212, 2.371, 0.015, 0.011, 0.004, 0.062, 0.000, 0.041, 0.157, 0.315, 0.002, 0.264, 0.062, 0.000, 0.013, 0.985, 0.918, 0.109, 0.983, 0.253, 0.519, 0.043, 0.017, 0.787, 0.041, 0.004, 0.000, 0.006, 0.000, 0.032, 0.436, 0.026, 0.176, 0.802, 0.077, 1.283, 0.007, 0.266, 0.581, 2.755, 0.352, 0.268, 0.577, 0.004, 0.107, 0.024, 0.221, 0.066, 0.354, 0.006, 0.022, 0.004, 0.004, 0.004, 0.000, 0.257, 0.509, 0.258, 0.738, 0.343, 0.013, 0.116, 3.890, 0.002, 0.006, 0.335, 3.581, 26.956, 2.776, 44003, 53394
