id,name,step,ego
78403A,The SCO Group Inc,2,Google Inc
177376,Citrix Systems Inc,2,Google Inc
09357T,blinkx PLC,2,Google Inc
60638C,ModeLabs Group SA,2,Google Inc
62641M,Murata Machinery Ltd,2,Google Inc
461202,Intuit Inc,1,Google Inc
03869M,Apptix ASA,2,Google Inc
654902,Nokia Oyj,2,Google Inc
11051K,British Broadcasting Corp,2,Google Inc
13891P,Capgemini SA,2,Google Inc
98832X,Zend Technologies Inc,2,Google Inc
670006,Novell Inc,2,Google Inc
92368L,Verimatrix Inc,2,Google Inc
747525,Qualcomm Inc,2,Google Inc
81602J,Seiko Epson Corp,2,Google Inc
08898H,Bharti Airtel Ltd,2,Google Inc
97729T,WISeKey SA,2,Google Inc
44884V,IT Deusto SL,2,Google Inc
852061,Sprint Nextel Corp,2,Google Inc
65516E,Nissan North America Inc,2,Google Inc
22357M,CoWare Inc,2,Google Inc
056752,Baidu Inc,2,Google Inc
89476L,Trend Orix Corp,2,Google Inc
21075F,Continental AG,2,Google Inc
934550,Warner Music Group Corp,2,Google Inc
902252,Tyler Technologies Inc,2,Google Inc
880769,Teradata Corp,2,Google Inc
749093,Quorum Info Tech Inc,2,Google Inc
46395E,Intl Institute of Info Tech,2,Google Inc
44781R,HostelBookers.com Ltd,1,Google Inc
00206R,AT&T Inc,2,Google Inc
79634Z,SANRAD Inc,2,Google Inc
526250,Lenovo Group Ltd,2,Google Inc
92886T,Vonage Holdings Corp,2,Google Inc
68370R,Vimpelkom,1,Google Inc
70504P,Pearson Education Ltd,1,Google Inc
654743,Nissan Motor Co Ltd,2,Google Inc
63056H,NEC TOKIN Corp,2,Google Inc
18450R,Clear Channel Radio Inc,1,Google Inc
98498C,Xterprise Inc,2,Google Inc
24702R,Dell Inc,2,Google Inc
630797,Napster Inc,2,Google Inc
30430V,Fairfax Digital Ltd,1,Google Inc
79466L,Salesforce.com Inc,1,Google Inc
17133Q,Chunghwa Telecom Co Ltd,2,Google Inc
451724,iLinc Communications Inc,2,Google Inc
G81477,Sina Corp,1,Google Inc
53609F,Linspire Inc,2,Google Inc
82580J,Sichuan Changhong Elec Co Ltd,2,Google Inc
37520F,GigaSpaces Technologies Ltd,2,Google Inc
01254W,Ask.com,2,Google Inc
44194N,Houghton Mifflin Learning Tech,2,Google Inc
04238V,Arrow North American Component,2,Google Inc
973149,Wind River Systems Inc,2,Google Inc
07554V,Bebo Inc,2,Google Inc
91922X,Valista International Ltd,2,Google Inc
30303M,Facebook Inc,2,Google Inc
82612E,Siemens VDO Automotive AG,2,Google Inc
60357R,Ministry of Public Security,2,Google Inc
60050M,Millennium Global Solutions,2,Google Inc
60036E,Millenium Global Solutions,2,Google Inc
45885A,Internap Network Services Corp,2,Google Inc
69691K,Pacific iMobile Co Ltd,2,Google Inc
49178Q,Kenwood Corp,2,Google Inc
54157E,LogicaCMG PLC,2,Google Inc
31582E,FiberHome Telecom Tech Co Ltd,2,Google Inc
65743C,Nielsen Co,1,Google Inc
71721M,Phase One A/S,2,Google Inc
75945T,Reliance Communications Ltd,2,Google Inc
78656H,Safaricom Ltd,1,Google Inc
88973K,TomTom NV,1,Google Inc
46771K,Intelleflex Corp,2,Google Inc
92521M,Veveo Inc,2,Google Inc
111320,Broadcom Corp,2,Google Inc
75525F,ReachLocal Inc,1,Google Inc
576879,Matsushita Electric Industrial,1,Google Inc
185385,Clearwire Corp,1,Google Inc
59497H,Microsoft Korea,2,Google Inc
12919V,Celrun Co Ltd,2,Google Inc
J59399,NTT DOCOMO Inc,1,Google Inc
31527V,Ferrari SpA,2,Google Inc
654902,Nokia Oyj,1,Google Inc
073325,BEA Systems Inc,2,Google Inc
18587X,Cleveland Clinic Foundation,1,Google Inc
26852W,E-House(China)Holdings Ltd,2,Google Inc
78389C,SAP America Inc,2,Google Inc
74834L,Quest Diagnostics Inc,1,Google Inc
98545N,YellowPages.com LLC,2,Google Inc
99003E,Zurich Financial Services AG,2,Google Inc
86996W,Swiss Federal Inst of Tech,2,Google Inc
85286P,Sreg AB,2,Google Inc
043634,Ascent Media Group Inc,2,Google Inc
00420T,ACCESS Co Ltd,2,Google Inc
25195Y,T-Mobile(UK)Ltd,2,Google Inc
25186X,T-Mobile International AG,2,Google Inc
44918T,Hyundai Motor Co Ltd,2,Google Inc
04976P,Attenex Corp,2,Google Inc
443251,HOYA Corp,2,Google Inc
58540P,Melbourne IT Ltd,2,Google Inc
07857P,Beijing Komoxo Software Inc,2,Google Inc
12076L,Buongiorno SpA,2,Google Inc
538144,LiveDeal Inc,1,Google Inc
99171Q,Zignals,2,Google Inc
29133L,Emirates Telecommun Corp,2,Google Inc
91732X,USTelematics Inc,2,Google Inc
26968K,Eagle Investment Systems LLC,2,Google Inc
77495C,Rodale Inc,2,Google Inc
37880Y,Global Telecommunications Corp,2,Google Inc
607409,MTS,2,Google Inc
35981J,Fujitsu Siemens Computers,2,Google Inc
75213A,"ZAO ""Rambler Media""",1,Google Inc
99170J,Zeemote Inc,2,Google Inc
09362H,Blizzard Entertainment Inc,2,Google Inc
63507N,NBC Universal Inc,1,Google Inc
46852Y,InfoGin,2,Google Inc
87927Y,Telecom Italia SpA,2,Google Inc
29793L,Et-China.com Intl Hldgs Ltd,2,Google Inc
81802H,ServicePower Technologies PLC,2,Google Inc
03806H,Appro International Inc,2,Google Inc
282914,8x8 Inc,2,Google Inc
80345C,M-SkyLink Ltd,2,Google Inc
759673,Renault SA,2,Google Inc
05403C,Avex Group Holdings Inc,2,Google Inc
11775Y,Bubble Motion Inc,2,Google Inc
12389Z,Travelport Inc,2,Google Inc
892331,Toyota Motor Corp,1,Google Inc
05844L,LG Electronics Inc,2,Google Inc
67066G,NVIDIA Corp,2,Google Inc
959802,Western Union Co,2,Google Inc
83880T,HCL Infosystems Ltd,2,Google Inc
64178T,NetCracker Technology Corp,2,Google Inc
81700X,Seven & i Holdings Co Ltd,2,Google Inc
007627,AEON Co Ltd,2,Google Inc
76319W,Reliance Infrastructure Ltd,1,Google Inc
747277,QLogic Corp,2,Google Inc
007903,Advanced Micro Devices Inc,2,Google Inc
03662Q,ANSYS Inc,2,Google Inc
27063Y,e-Future Information Tech Inc,2,Google Inc
007788,Aerojet-General Corp,2,Google Inc
90955F,Unison Computer Systems Inc,2,Google Inc
48592R,Laboratoriya Kasperskogo,2,Google Inc
835699,Sony Corp,1,Google Inc
294821,Telefonaktiebolaget LM,2,Google Inc
65756H,Nokia Siemens Networks Oy,2,Google Inc
35960H,Fujitsu Ten Ltd,2,Google Inc
Y36861,Hon Hai Precision Industry Co,2,Google Inc
147618,Casio Computer Co Ltd,2,Google Inc
79658W,SANYO Consumer Electric,2,Google Inc
60382C,Ministry of Commerce Thailand,1,Google Inc
78946M,Sripathum University,2,Google Inc
78946M,Sripathum University,1,Google Inc
92367P,Verizon Wireless Capital LLC,1,Google Inc
60367Z,Ministry of Economic Affairs,2,Google Inc
37511E,Giesecke & Devrient GmbH,2,Google Inc
055921,BMC Software Inc,2,Google Inc
64031W,New Alliance,2,Google Inc
578785,Mazda Motor Corp,2,Google Inc
25470F,Discovery Communications Inc,2,Google Inc
45245E,Imax Corp,2,Google Inc
01407Z,Aldata Solution Oyj,2,Google Inc
72477Z,PBBI,2,Google Inc
J4881V,Renesas Electronics Corp,2,Google Inc
25195C,T-Mobile USA Inc,2,Google Inc
92343V,Verizon Communications Inc,2,Google Inc
653929,Nielsen Media Research Inc,2,Google Inc
05121Y,AutoNavi Hldg Ltd,2,Google Inc
01238J,Alibaba Group Holding Ltd,2,Google Inc
80560Y,Saxo Bank A/S,2,Google Inc
45120J,ILS Technology Inc,2,Google Inc
59466R,SureFire Search Ltd,2,Google Inc
29265W,Enel SpA,2,Google Inc
248215,DeNA Co Ltd,2,Google Inc
94973V,WellPoint Inc,2,Google Inc
423012,Heineken NV,1,Google Inc
78949Q,Singapore Tech Electn Ltd,2,Google Inc
47660L,Jinni Media Ltd,2,Google Inc
796050,Samsung Electronics Co Ltd,2,Google Inc
J6354Y,Panasonic Corp,2,Google Inc
87944W,Telenor ASA,2,Google Inc
45958E,INTAGE Inc,2,Google Inc
84183L,Seven Seas Technologies Group,2,Google Inc
J75390,Showa Shell Sekiyu KK,2,Google Inc
01150H,AgreeYa Solutions Inc,2,Google Inc
43341Q,Hitachi Consulting Corp,2,Google Inc
98927J,Zensar Technologies Ltd,1,Google Inc
369604,GE,2,Google Inc
36069Q,GE Healthcare,2,Google Inc
J18807,GREE Inc,2,Google Inc
J3871L,Lawson Inc,2,Google Inc
50653V,KOREM Inc,1,Google Inc
24709L,Deloitte Consulting LLP,2,Google Inc
93586W,Transatel SA,2,Google Inc
62512M,Movideo Pty Ltd,2,Google Inc
109473,Brightpoint Inc,2,Google Inc
98305X,Wyless Inc,2,Google Inc
067774,Barnes & Noble Inc,2,Google Inc
93561J,Twilio Inc,2,Google Inc
G7771K,Sage Group PLC,2,Google Inc
224044,Cox Communications Inc,2,Google Inc
49037Q,IGN Pro League,2,Google Inc
55781L,MarsTV,2,Google Inc
88465Z,Twitter Inc,2,Google Inc
Y62121,NavInfo Co Ltd,2,Google Inc
35960C,Fujitsu Semiconductor Ltd,2,Google Inc
54133R,Logica PLC,2,Google Inc
69161J,PPTV Online Television,2,Google Inc
414549,Harris Interactive Inc,1,Google Inc
J61240,Olympus Corp,2,Google Inc
88732J,Time Warner Cable Inc,2,Google Inc
25874M,DotNetNuke Corp,2,Google Inc
40910R,Guttermann AG,2,Google Inc
819882,Sharp Corp,1,Google Inc
037833,Apple Inc,1,Google Inc
29962V,EVault Inc,2,Google Inc
20030N,Comcast Corp,2,Google Inc
72602T,Pixtronix Inc,2,Google Inc
48671Z,kajeet Inc,2,Google Inc
G6258F,Monitise PLC,2,Google Inc
1A0175,VVIDIA Communications Pvt Ltd,2,Google Inc
07651L,Beijing Jingdong Century,2,Google Inc
64110W,163.com,0,163.com
82639Z,Siemens Shanghai Mobile,1,163.com
70969J,People University,1,163.com
69486E,prcedu.com,1,163.com
23622E,Dantan Co,2,163.com
871503,Symantec Corp,1,163.com
866810,Sun Microsystems Inc,2,163.com
749719,RSA Security Inc,2,163.com
268180,DynTek Inc,2,163.com
G81477,Sina Corp,1,163.com
83408W,Sohu.com Inc,2,163.com
83408W,Sohu.com Inc,1,163.com
83301X,Snap Appliance Inc,2,163.com
69267Q,PGP Corp,2,163.com
38259P,Google Inc,1,163.com
205363,Computer Sciences Corp,2,163.com
46338M,iUpload Inc,2,163.com
65691T,99Bill Corp,1,163.com
53811R,LiveOffice LLC,2,163.com
17072N,China.com Inc,2,163.com
690310,Overland Storage Inc,2,163.com
90017X,Turkticaret,2,163.com
620076,Motorola Solutions Inc,2,163.com
48670Q,Kazeon,2,163.com
48123P,Joyo.com Ltd,2,163.com
461202,Intuit Inc,2,163.com
48203R,Juniper Networks Inc,2,163.com
92343E,VeriSign Inc,2,163.com
19984H,COPAN Systems Inc,2,163.com
09609W,Bluefire Security Technologies,2,163.com
44781R,HostelBookers.com Ltd,2,163.com
68370R,Vimpelkom,2,163.com
70504P,Pearson Education Ltd,2,163.com
18450R,Clear Channel Radio Inc,2,163.com
169426,China Telecom Corp Ltd,2,163.com
30430V,Fairfax Digital Ltd,2,163.com
44334L,Huawei Technologies Co Ltd,2,163.com
79466L,Salesforce.com Inc,2,163.com
65743C,Nielsen Co,2,163.com
98742U,Youku.com Inc,2,163.com
78656H,Safaricom Ltd,2,163.com
88973K,TomTom NV,2,163.com
75525F,ReachLocal Inc,2,163.com
576879,Matsushita Electric Industrial,2,163.com
185385,Clearwire Corp,2,163.com
J59399,NTT DOCOMO Inc,2,163.com
654902,Nokia Oyj,2,163.com
18587X,Cleveland Clinic Foundation,2,163.com
26852W,E-House(China)Holdings Ltd,2,163.com
74834L,Quest Diagnostics Inc,2,163.com
40128L,GuardianEdge Technologies Inc,2,163.com
78440P,SK Telecom Co Ltd,2,163.com
538144,LiveDeal Inc,2,163.com
75213A,"ZAO ""Rambler Media""",2,163.com
09362H,Blizzard Entertainment Inc,1,163.com
63507N,NBC Universal Inc,2,163.com
29793L,Et-China.com Intl Hldgs Ltd,1,163.com
892331,Toyota Motor Corp,2,163.com
17369R,China Anhui TV Station,2,163.com
042735,Arrow Electronics Inc,2,163.com
76319W,Reliance Infrastructure Ltd,2,163.com
75738K,Razer USA Ltd,2,163.com
835699,Sony Corp,2,163.com
60382C,Ministry of Commerce Thailand,2,163.com
78946M,Sripathum University,2,163.com
92367P,Verizon Wireless Capital LLC,2,163.com
20030N,Comcast Corp,2,163.com
423012,Heineken NV,2,163.com
98927J,Zensar Technologies Ltd,2,163.com
50653V,KOREM Inc,2,163.com
248215,DeNA Co Ltd,2,163.com
49037Q,IGN Pro League,1,163.com
55781L,MarsTV,2,163.com
55781L,MarsTV,1,163.com
44599A,Hunan Satellite Television,2,163.com
414549,Harris Interactive Inc,2,163.com
819882,Sharp Corp,2,163.com
037833,Apple Inc,2,163.com
594918,Microsoft Corp,2,163.com
001957,AT&T Corp,0,AT&T Corp
917311,USinternetworking Inc,1,AT&T Corp
12686C,Cablevision Systems Corp,1,AT&T Corp
09085W,Birla Group Holdings Pvt Ltd,1,AT&T Corp
87656V,Tata Industries Ltd,1,AT&T Corp
49973V,Kuoni Travel India Ltd,2,AT&T Corp
594918,Microsoft Corp,1,AT&T Corp
749121,Qwest Commun Intl Inc,2,AT&T Corp
20337Q,CommVault Systems Inc,2,AT&T Corp
887315,Time Warner,2,AT&T Corp
64098A,NetLibrary Inc,2,AT&T Corp
G3788V,Gemstar International Group,2,AT&T Corp
45718Y,Ingram Book Group,2,AT&T Corp
067846,barnesandnoble.com Inc,2,AT&T Corp
00310Q,AV Labs,2,AT&T Corp
27947A,Edel AG,2,AT&T Corp
47110H,Japan Telecom Co Ltd,1,AT&T Corp
111021,British Telecommunications PLC,2,AT&T Corp
111021,British Telecommunications PLC,1,AT&T Corp
87938V,Telefonica Moviles SA,2,AT&T Corp
40208V,Gujarat,2,AT&T Corp
126830,Cable & Wireless PLC,2,AT&T Corp
48265R,KPMG Consulting Inc,2,AT&T Corp
17275R,Cisco Systems Inc,2,AT&T Corp
804098,Satyam Computer Services Ltd,2,AT&T Corp
50196Y,LG Electronics Inc,2,AT&T Corp
796050,Samsung Electronics Co Ltd,2,AT&T Corp
88095Y,Telenor Media AS(Telenor AS),2,AT&T Corp
92555W,O2(Germany)GmbH & Co OHG,2,AT&T Corp
92555Y,VIAG AG,2,AT&T Corp
433578,Hitachi Ltd,2,AT&T Corp
03349V,Andersen Consulting,2,AT&T Corp
545735,Loudcloud Inc,2,AT&T Corp
889144,Tokyu Corp,2,AT&T Corp
12416L,NTT Communications Corp,2,AT&T Corp
227686,Crosswave Communications Inc,2,AT&T Corp
37922L,Global Access Ltd,2,AT&T Corp
50291L,KDD Winstar Corp,2,AT&T Corp
23559R,DDI Corp,2,AT&T Corp
88915L,Tokyo Telecommn Network,2,AT&T Corp
62869P,NTT East Corp,2,AT&T Corp
12449M,Cable & Wireless Optus Lt,2,AT&T Corp
204493,Compaq Computer Corp,2,AT&T Corp
81797V,SSI Technologies,2,AT&T Corp
89486M,Trend Micro Inc,2,AT&T Corp
65413N,Nifty Corp,2,AT&T Corp
629050,NEC Corp,2,AT&T Corp
576879,Matsushita Electric Industrial,2,AT&T Corp
46059T,Internet Initiative Japan Inc,2,AT&T Corp
891493,Toshiba Corp,2,AT&T Corp
91119N,United News & Media PLC,2,AT&T Corp
60756J,Modern Technologies,2,AT&T Corp
62853H,MiPic Corp(Mitsui & Co Ltd),2,AT&T Corp
428236,Hewlett Packard Co,1,AT&T Corp
043385,Asahi Bank Ltd,2,AT&T Corp
82491R,Shobunsha Publications Inc,2,AT&T Corp
22945Q,C3I Inc,2,AT&T Corp
86326X,Streamserve AB,2,AT&T Corp
803054,SAP AG,2,AT&T Corp
03662Q,ANSYS Inc,2,AT&T Corp
28411Q,eLabor Inc,2,AT&T Corp
458140,Intel Corp,2,AT&T Corp
456788,Infosys Technologies Ltd,2,AT&T Corp
233806,Dai Nippon Printing Co Ltd,2,AT&T Corp
J12075,Denso Corp,2,AT&T Corp
18051M,Clarion Co Ltd,2,AT&T Corp
606827,Mitsui & Co Ltd,2,AT&T Corp
00956T,Aisin AW Co Ltd,2,AT&T Corp
98387R,Xanavi Informatics Corp,2,AT&T Corp
90339C,US Wireless Corp,2,AT&T Corp
84776T,Speedera Networks Inc,2,AT&T Corp
359590,Fujitsu Ltd,2,AT&T Corp
03343L,Arthur Andersen LLP,2,AT&T Corp
053499,Avaya Inc,2,AT&T Corp
459200,IBM Corp,2,AT&T Corp
41068W,Hanny Holdings Ltd,2,AT&T Corp
91860J,VIS Entertainment PLC,2,AT&T Corp
04314L,Artisoft Inc,2,AT&T Corp
204912,Computer Assoc Intl Inc,2,AT&T Corp
09347M,Blaupunkt(International)GmbH,2,AT&T Corp
74051A,Premier Inc,2,AT&T Corp
44879Y,iLumin Corp,2,AT&T Corp
654619,Nippon Steel Corp,2,AT&T Corp
42824J,Hewlett-Packard Japan Ltd,2,AT&T Corp
27319Q,East Japan Railway Co,2,AT&T Corp
92491L,VersaPoint,2,AT&T Corp
90293P,USA.NET Inc,2,AT&T Corp
669937,Novadigm Inc,2,AT&T Corp
82634X,Siemens Health Services,2,AT&T Corp
02263A,Alyst Acquisition Corp,2,AT&T Corp
200693,Commerce One Inc,2,AT&T Corp
233804,Dai-Ichi Kangyo Bank Ltd,2,AT&T Corp
359552,Fuji Bank Ltd,2,AT&T Corp
456033,Industrial Bank of Japan Ltd,2,AT&T Corp
290140,Eloquent Inc,2,AT&T Corp
286045,Electronics Boutique Holdings,2,AT&T Corp
49712K,Kinokuniya Co Ltd,2,AT&T Corp
48190R,JTC Corp,2,AT&T Corp
00808V,Aether Systems Inc,2,AT&T Corp
228227,Crown Castle International,2,AT&T Corp
74786P,Quantitude Inc,1,AT&T Corp
03018H,Jens Corp(Japan Telecom/Japan),1,AT&T Corp
87350Z,Test Rite Group,2,AT&T Corp
87352W,TBCommerce Inc,2,AT&T Corp
90211F,Two Way TV Ltd,2,AT&T Corp
94401Z,Wavexpress Inc,2,AT&T Corp
171605,Chyron Corp,2,AT&T Corp
69484M,PSB Institute for Productivity,2,AT&T Corp
81986X,Shanghai Info Invest Inc,1,AT&T Corp
81926A,Shanghai Telecom Co,2,AT&T Corp
81926A,Shanghai Telecom Co,1,AT&T Corp
18681D,Click Commerce Inc,2,AT&T Corp
73750N,Portal,2,AT&T Corp
45346E,IncuVest,2,AT&T Corp
57687M,Matsushita Electric Works Ltd,2,AT&T Corp
53579C,LINK2GOV Corp,2,AT&T Corp
59195F,Metro Nashville and Davidson,2,AT&T Corp
J59399,NTT DOCOMO Inc,2,AT&T Corp
23276H,DMR Consulting Group Inc,2,AT&T Corp
40539T,Haier Group Corp,2,AT&T Corp
92335P,Verbrugge de Meyer,2,AT&T Corp
855244,Starbucks Corp,2,AT&T Corp
