source,target,sourceID,targetID,startDate,ego
1,73,629050,925843,10/16/02,Google Inc
74,1,36130K,629050,10/23/02,Google Inc
47,1,44334L,629050,10/23/02,Google Inc
75,1,87656P,629050,10/28/02,Google Inc
1,76,629050,22435R,11/01/02,Google Inc
16,30,12416L,65413N,11/12/02,Google Inc
16,1,12416L,629050,11/12/02,Google Inc
77,30,47126E,65413N,11/12/02,Google Inc
77,1,47126E,629050,11/12/02,Google Inc
62,30,50313E,65413N,11/12/02,Google Inc
62,1,50313E,629050,11/12/02,Google Inc
20,30,576879,65413N,11/12/02,Google Inc
20,1,576879,629050,11/12/02,Google Inc
30,68,65413N,83567N,11/12/02,Google Inc
30,1,65413N,629050,11/12/02,Google Inc
68,1,83567N,629050,11/12/02,Google Inc
1,78,629050,500472,01/30/03,Google Inc
79,0,238216,38259P,03/19/03,Google Inc
80,0,29329X,38259P,03/31/03,Google Inc
1,81,629050,834182,07/30/03,Google Inc
1,82,629050,68383A,09/29/03,Google Inc
0,83,38259P,88100W,09/30/03,Google Inc
1,84,629050,80586W,10/07/03,Google Inc
85,1,30663A,629050,10/10/03,Google Inc
1,86,629050,25405R,10/23/03,Google Inc
0,87,38259P,594918,10/31/03,Google Inc
88,87,279765,594918,11/05/03,Google Inc
89,87,89443X,594918,11/10/03,Google Inc
90,1,48203R,629050,12/04/03,Google Inc
1,10,629050,433578,12/17/03,Google Inc
1,91,629050,87783A,12/18/03,Google Inc
92,87,278856,594918,12/18/03,Google Inc
1,93,629050,94773T,01/13/04,Google Inc
94,1,46301F,629050,01/21/04,Google Inc
95,87,25393S,594918,02/17/04,Google Inc
96,87,988918,594918,02/17/04,Google Inc
97,87,280599,594918,02/19/04,Google Inc
98,1,29469R,629050,03/23/04,Google Inc
99,87,46492Q,594918,04/05/04,Google Inc
87,100,594918,46612K,04/26/04,Google Inc
101,87,879403,594918,04/26/04,Google Inc
23,87,826197,594918,05/03/04,Google Inc
102,87,98581R,594918,05/10/04,Google Inc
103,87,803054,594918,05/12/04,Google Inc
104,87,552691,594918,05/17/04,Google Inc
105,87,074002,594918,05/17/04,Google Inc
106,87,125891,594918,05/24/04,Google Inc
107,87,861012,594918,06/08/04,Google Inc
108,87,27887E,594918,06/15/04,Google Inc
109,87,428236,594918,06/15/04,Google Inc
87,9,594918,359590,06/28/04,Google Inc
110,0,64110W,38259P,07/01/04,Google Inc
79,111,238216,73949Z,07/05/04,Google Inc
87,112,594918,315621,07/15/04,Google Inc
87,113,594918,73172K,09/14/04,Google Inc
1,60,629050,86978N,10/14/04,Google Inc
114,87,51569P,594918,11/10/04,Google Inc
87,115,594918,456788,11/15/04,Google Inc
87,116,594918,237545,11/17/04,Google Inc
1,117,629050,69858V,11/18/04,Google Inc
118,1,J4881U,629050,11/22/04,Google Inc
119,87,052769,594918,12/16/04,Google Inc
87,120,594918,82611M,01/11/05,Google Inc
121,87,Y8071D,594918,01/18/05,Google Inc
122,87,868763,594918,02/15/05,Google Inc
123,87,15161J,594918,02/15/05,Google Inc
79,124,238216,12891Y,03/14/05,Google Inc
79,125,238216,67438X,03/22/05,Google Inc
126,1,011612,629050,03/30/05,Google Inc
127,87,45933A,594918,04/26/05,Google Inc
87,128,594918,465754,05/11/05,Google Inc
129,87,786578,594918,05/26/05,Google Inc
130,87,65355F,594918,05/29/05,Google Inc
1,131,629050,Y3121G,06/03/05,Google Inc
87,132,594918,87132C,06/06/05,Google Inc
133,87,001957,594918,06/06/05,Google Inc
134,87,02342T,594918,06/06/05,Google Inc
87,135,594918,620076,06/07/05,Google Inc
87,136,594918,413160,06/07/05,Google Inc
137,1,98263A,629050,06/09/05,Google Inc
87,8,594918,891493,06/27/05,Google Inc
75,87,87656P,594918,06/30/05,Google Inc
87,138,594918,07755R,06/30/05,Google Inc
87,139,594918,91524N,06/30/05,Google Inc
87,140,594918,88693P,06/30/05,Google Inc
141,87,742578,594918,07/05/05,Google Inc
142,0,46338M,38259P,07/06/05,Google Inc
87,143,594918,57383M,07/14/05,Google Inc
144,110,65691T,64110W,08/12/05,Google Inc
0,145,38259P,53811R,08/25/05,Google Inc
146,87,808655,594918,08/29/05,Google Inc
1,147,629050,68389X,09/04/05,Google Inc
87,148,594918,78687Y,09/07/05,Google Inc
87,149,594918,909214,09/08/05,Google Inc
87,150,594918,826565,09/09/05,Google Inc
87,151,594918,138006,09/13/05,Google Inc
152,87,91221Y,594918,09/14/05,Google Inc
153,87,749121,594918,09/20/05,Google Inc
135,87,620076,594918,10/04/05,Google Inc
154,87,749719,594918,10/17/05,Google Inc
87,155,594918,866810,10/17/05,Google Inc
87,156,594918,22277M,10/17/05,Google Inc
87,157,594918,80286W,10/17/05,Google Inc
1,149,629050,909214,10/25/05,Google Inc
23,87,826197,594918,10/25/05,Google Inc
158,87,98549Y,594918,10/31/05,Google Inc
58,1,835699,629050,11/17/05,Google Inc
159,0,90017X,38259P,11/18/05,Google Inc
1,160,629050,86317Q,11/25/05,Google Inc
1,78,629050,500472,11/28/05,Google Inc
118,1,J4881U,629050,12/06/05,Google Inc
161,87,008190,594918,12/06/05,Google Inc
161,87,008190,594918,12/06/05,Google Inc
104,87,552691,594918,12/13/05,Google Inc
162,0,620076,38259P,01/05/06,Google Inc
162,163,620076,277461,01/05/06,Google Inc
164,162,35687M,620076,01/06/06,Google Inc
162,165,620076,65390T,01/06/06,Google Inc
166,87,345370,594918,01/07/06,Google Inc
162,167,620076,12306V,01/20/06,Google Inc
168,0,48670Q,38259P,01/30/06,Google Inc
162,169,620076,J59399,02/01/06,Google Inc
170,87,947684,594918,02/09/06,Google Inc
171,87,64121A,594918,02/09/06,Google Inc
87,172,594918,92857W,02/12/06,Google Inc
162,173,620076,25205M,02/13/06,Google Inc
87,174,594918,23839Y,02/16/06,Google Inc
87,175,594918,268648,03/03/06,Google Inc
176,87,053499,594918,03/07/06,Google Inc
162,177,620076,23311V,03/13/06,Google Inc
178,87,87782X,594918,03/20/06,Google Inc
87,179,594918,013904,04/05/06,Google Inc
175,1,268648,629050,04/05/06,Google Inc
179,87,013904,594918,04/07/06,Google Inc
1,118,629050,J4881U,04/07/06,Google Inc
1,20,629050,576879,04/07/06,Google Inc
1,117,629050,69858V,04/07/06,Google Inc
1,180,629050,882508,04/07/06,Google Inc
181,87,35062N,594918,04/12/06,Google Inc
75,87,87656P,594918,04/21/06,Google Inc
182,87,63562Y,594918,04/21/06,Google Inc
87,183,594918,04394C,04/24/06,Google Inc
87,184,594918,44914M,04/25/06,Google Inc
103,87,803054,594918,05/02/06,Google Inc
152,87,91221Y,594918,05/03/06,Google Inc
87,185,594918,36062L,05/08/06,Google Inc
186,87,75775H,594918,05/09/06,Google Inc
87,187,594918,63621R,05/11/06,Google Inc
179,87,013904,594918,05/23/06,Google Inc
87,188,594918,459200,05/23/06,Google Inc
189,87,12429J,594918,05/23/06,Google Inc
190,162,752210,620076,05/30/06,Google Inc
191,1,768573,629050,06/06/06,Google Inc
192,87,65350P,594918,06/06/06,Google Inc
87,162,594918,620076,06/26/06,Google Inc
28,87,885118,594918,06/27/06,Google Inc
193,87,04966W,594918,07/03/06,Google Inc
194,87,04622E,594918,07/06/06,Google Inc
87,195,594918,98562V,07/18/06,Google Inc
87,196,594918,656568,07/18/06,Google Inc
162,197,620076,984332,07/21/06,Google Inc
198,162,97651M,620076,07/25/06,Google Inc
199,162,87981Z,620076,07/25/06,Google Inc
162,47,620076,44334L,07/25/06,Google Inc
87,200,594918,58544A,07/26/06,Google Inc
1,117,629050,69858V,07/27/06,Google Inc
201,87,78403A,594918,08/07/06,Google Inc
202,87,177376,594918,08/23/06,Google Inc
83,203,88100W,09357T,08/29/06,Google Inc
204,87,60638C,594918,09/06/06,Google Inc
205,1,62641M,629050,09/07/06,Google Inc
0,206,38259P,461202,09/13/06,Google Inc
207,162,03869M,620076,09/18/06,Google Inc
87,208,594918,654902,09/21/06,Google Inc
209,87,11051K,594918,09/27/06,Google Inc
175,87,268648,594918,10/03/06,Google Inc
210,87,13891P,594918,10/18/06,Google Inc
87,211,594918,98832X,10/31/06,Google Inc
87,212,594918,670006,11/02/06,Google Inc
162,213,620076,92368L,11/06/06,Google Inc
214,162,747525,620076,11/13/06,Google Inc
215,87,81602J,594918,11/13/06,Google Inc
216,87,08898H,594918,11/13/06,Google Inc
152,87,91221Y,594918,11/13/06,Google Inc
217,87,97729T,594918,11/15/06,Google Inc
218,87,44884V,594918,11/15/06,Google Inc
87,219,594918,852061,11/16/06,Google Inc
220,87,65516E,594918,11/20/06,Google Inc
221,87,22357M,594918,12/11/06,Google Inc
222,87,056752,594918,12/16/06,Google Inc
223,1,89476L,629050,12/19/06,Google Inc
224,87,21075F,594918,01/08/07,Google Inc
162,225,620076,934550,01/08/07,Google Inc
226,87,902252,594918,01/10/07,Google Inc
87,227,594918,880769,01/15/07,Google Inc
228,87,749093,594918,01/30/07,Google Inc
229,162,46395E,620076,01/31/07,Google Inc
230,0,44781R,38259P,02/01/07,Google Inc
231,87,00206R,594918,02/12/07,Google Inc
232,1,79634Z,629050,03/12/07,Google Inc
87,233,594918,526250,03/13/07,Google Inc
234,162,92886T,620076,03/14/07,Google Inc
0,235,38259P,68370R,03/20/07,Google Inc
87,39,594918,35958C,03/22/07,Google Inc
236,0,70504P,38259P,03/22/07,Google Inc
237,1,654743,629050,04/13/07,Google Inc
1,238,629050,63056H,04/13/07,Google Inc
237,1,654743,629050,04/13/07,Google Inc
1,238,629050,63056H,04/13/07,Google Inc
239,0,18450R,38259P,04/16/07,Google Inc
240,87,98498C,594918,05/01/07,Google Inc
241,87,24702R,594918,05/14/07,Google Inc
242,162,630797,620076,05/15/07,Google Inc
0,243,38259P,30430V,05/19/07,Google Inc
0,244,38259P,79466L,05/21/07,Google Inc
87,245,594918,17133Q,05/22/07,Google Inc
246,244,451724,79466L,06/06/07,Google Inc
0,247,38259P,G81477,06/11/07,Google Inc
87,248,594918,53609F,06/14/07,Google Inc
87,249,594918,82580J,06/18/07,Google Inc
87,250,594918,37520F,06/18/07,Google Inc
195,1,98562V,629050,06/25/07,Google Inc
83,203,88100W,09357T,06/25/07,Google Inc
62,87,50313E,594918,06/27/07,Google Inc
251,87,01254W,594918,07/18/07,Google Inc
252,87,44194N,594918,07/27/07,Google Inc
253,162,04238V,620076,07/30/07,Google Inc
10,1,433578,629050,07/30/07,Google Inc
162,254,620076,973149,08/06/07,Google Inc
255,87,07554V,594918,08/21/07,Google Inc
1,256,629050,91922X,08/22/07,Google Inc
257,87,30303M,594918,08/26/07,Google Inc
87,258,594918,82612E,09/07/07,Google Inc
235,259,68370R,60357R,09/12/07,Google Inc
235,260,68370R,60050M,09/12/07,Google Inc
235,261,68370R,60036E,09/12/07,Google Inc
262,87,45885A,594918,09/12/07,Google Inc
263,162,69691K,620076,09/19/07,Google Inc
87,264,594918,49178Q,09/24/07,Google Inc
265,87,54157E,594918,10/02/07,Google Inc
1,266,629050,31582E,10/24/07,Google Inc
267,0,65743C,38259P,10/26/07,Google Inc
87,268,594918,71721M,10/26/07,Google Inc
269,87,75945T,594918,11/05/07,Google Inc
270,0,78656H,38259P,11/21/07,Google Inc
271,0,88973K,38259P,12/05/07,Google Inc
162,272,620076,46771K,12/12/07,Google Inc
273,162,92521M,620076,01/07/08,Google Inc
87,274,594918,111320,01/07/08,Google Inc
0,275,38259P,75525F,01/08/08,Google Inc
1,175,629050,268648,01/09/08,Google Inc
276,0,576879,38259P,01/10/08,Google Inc
277,0,185385,38259P,01/15/08,Google Inc
87,73,594918,925843,01/15/08,Google Inc
1,188,629050,459200,01/21/08,Google Inc
79,278,238216,59497H,01/22/08,Google Inc
79,279,238216,12919V,01/22/08,Google Inc
87,79,594918,238216,01/23/08,Google Inc
87,279,594918,12919V,01/23/08,Google Inc
79,279,238216,12919V,01/23/08,Google Inc
0,280,38259P,J59399,01/24/08,Google Inc
162,281,620076,31527V,01/26/08,Google Inc
162,196,620076,656568,02/11/08,Google Inc
282,0,654902,38259P,02/12/08,Google Inc
179,1,013904,629050,02/12/08,Google Inc
1,87,629050,594918,02/14/08,Google Inc
1,109,629050,428236,02/14/08,Google Inc
1,155,629050,866810,02/14/08,Google Inc
1,175,629050,268648,02/14/08,Google Inc
1,147,629050,68389X,02/14/08,Google Inc
1,283,629050,073325,02/14/08,Google Inc
87,109,594918,428236,02/14/08,Google Inc
87,155,594918,866810,02/14/08,Google Inc
87,175,594918,268648,02/14/08,Google Inc
87,147,594918,68389X,02/14/08,Google Inc
87,283,594918,073325,02/14/08,Google Inc
0,284,38259P,18587X,02/21/08,Google Inc
247,285,G81477,26852W,02/24/08,Google Inc
87,286,594918,78389C,02/25/08,Google Inc
87,188,594918,459200,02/26/08,Google Inc
287,0,74834L,38259P,02/28/08,Google Inc
39,1,35958C,629050,03/12/08,Google Inc
87,288,594918,98545N,03/18/08,Google Inc
271,289,88973K,99003E,03/31/08,Google Inc
282,290,654902,86996W,04/08/08,Google Inc
87,291,594918,85286P,04/10/08,Google Inc
87,292,594918,043634,04/14/08,Google Inc
280,293,J59399,00420T,04/21/08,Google Inc
294,282,25195Y,654902,05/02/08,Google Inc
282,295,654902,25186X,05/02/08,Google Inc
296,87,44918T,594918,05/06/08,Google Inc
297,168,04976P,48670Q,05/06/08,Google Inc
87,298,594918,443251,05/12/08,Google Inc
243,299,30430V,58540P,05/14/08,Google Inc
87,300,594918,07857P,05/14/08,Google Inc
301,282,12076L,654902,05/30/08,Google Inc
302,0,538144,38259P,06/04/08,Google Inc
87,303,594918,99171Q,06/11/08,Google Inc
199,87,87981Z,594918,06/18/08,Google Inc
87,304,594918,29133L,06/24/08,Google Inc
305,87,91732X,594918,06/24/08,Google Inc
306,87,26968K,594918,06/30/08,Google Inc
87,307,594918,77495C,07/07/08,Google Inc
308,235,37880Y,68370R,07/08/08,Google Inc
309,87,607409,594918,07/09/08,Google Inc
87,310,594918,35981J,07/09/08,Google Inc
311,0,75213A,38259P,07/18/08,Google Inc
8,276,891493,576879,07/22/08,Google Inc
312,282,99170J,654902,08/15/08,Google Inc
110,313,64110W,09362H,08/15/08,Google Inc
282,96,654902,988918,08/28/08,Google Inc
314,0,63507N,38259P,09/08/08,Google Inc
315,87,46852Y,594918,09/09/08,Google Inc
316,1,87927Y,629050,09/12/08,Google Inc
317,110,29793L,64110W,09/15/08,Google Inc
318,271,81802H,88973K,09/16/08,Google Inc
319,1,03806H,629050,09/16/08,Google Inc
320,87,282914,594918,09/18/08,Google Inc
162,321,620076,80345C,09/24/08,Google Inc
271,322,88973K,759673,09/25/08,Google Inc
323,280,05403C,J59399,10/03/08,Google Inc
1,324,629050,11775Y,10/22/08,Google Inc
87,325,594918,12389Z,10/22/08,Google Inc
0,326,38259P,892331,10/28/08,Google Inc
327,87,05844L,594918,11/03/08,Google Inc
1,328,629050,67066G,11/18/08,Google Inc
172,270,92857W,78656H,12/08/08,Google Inc
270,329,78656H,959802,12/08/08,Google Inc
280,9,J59399,359590,01/14/09,Google Inc
282,330,654902,83880T,01/28/09,Google Inc
1,331,629050,64178T,02/17/09,Google Inc
282,214,654902,747525,02/17/09,Google Inc
332,1,81700X,629050,02/18/09,Google Inc
333,280,007627,J59399,03/27/09,Google Inc
304,282,29133L,654902,04/27/09,Google Inc
0,334,38259P,76319W,05/20/09,Google Inc
309,282,607409,654902,06/05/09,Google Inc
282,70,654902,458140,06/23/09,Google Inc
335,87,747277,594918,07/15/09,Google Inc
336,87,007903,594918,07/15/09,Google Inc
337,87,03662Q,594918,07/15/09,Google Inc
241,87,24702R,594918,07/15/09,Google Inc
338,87,27063Y,594918,07/29/09,Google Inc
87,197,594918,984332,07/29/09,Google Inc
1,339,629050,007788,08/02/09,Google Inc
340,1,90955F,629050,08/04/09,Google Inc
87,282,594918,654902,08/13/09,Google Inc
341,87,48592R,594918,08/26/09,Google Inc
342,0,835699,38259P,09/01/09,Google Inc
179,1,013904,629050,09/07/09,Google Inc
179,280,013904,J59399,09/07/09,Google Inc
343,1,294821,629050,09/07/09,Google Inc
343,280,294821,J59399,09/07/09,Google Inc
9,1,359590,629050,09/07/09,Google Inc
9,280,359590,J59399,09/07/09,Google Inc
1,344,629050,65756H,09/07/09,Google Inc
1,280,629050,J59399,09/07/09,Google Inc
344,280,65756H,J59399,09/07/09,Google Inc
326,345,892331,35960H,09/08/09,Google Inc
342,346,835699,Y36861,09/09/09,Google Inc
1,347,629050,147618,09/15/09,Google Inc
1,10,629050,433578,09/15/09,Google Inc
348,271,79658W,88973K,09/16/09,Google Inc
267,257,65743C,30303M,09/22/09,Google Inc
349,0,60382C,38259P,09/23/09,Google Inc
349,350,60382C,78946M,09/23/09,Google Inc
0,351,38259P,78946M,09/23/09,Google Inc
328,87,67066G,594918,09/28/09,Google Inc
0,352,38259P,92367P,10/06/09,Google Inc
353,87,60367Z,594918,10/26/09,Google Inc
103,282,803054,654902,10/27/09,Google Inc
354,282,37511E,654902,10/27/09,Google Inc
355,244,055921,79466L,12/01/09,Google Inc
282,356,654902,64031W,12/09/09,Google Inc
326,357,892331,578785,12/16/09,Google Inc
358,342,25470F,835699,01/01/10,Google Inc
342,359,835699,45245E,01/01/10,Google Inc
360,87,01407Z,594918,05/04/10,Google Inc
361,244,72477Z,79466L,05/19/10,Google Inc
210,87,13891P,594918,05/20/10,Google Inc
342,0,835699,38259P,05/20/10,Google Inc
282,197,654902,984332,05/24/10,Google Inc
362,282,J4881V,654902,07/06/10,Google Inc
231,352,00206R,92367P,08/03/10,Google Inc
352,363,92367P,25195C,08/03/10,Google Inc
206,364,461202,92343V,08/31/10,Google Inc
343,162,294821,620076,09/08/10,Google Inc
206,282,461202,654902,09/15/10,Google Inc
365,87,653929,594918,09/21/10,Google Inc
271,366,88973K,05121Y,10/08/10,Google Inc
367,87,01238J,594918,10/12/10,Google Inc
368,87,80560Y,594918,11/08/10,Google Inc
1,233,629050,526250,01/26/11,Google Inc
222,280,056752,J59399,01/31/11,Google Inc
282,87,654902,594918,02/11/11,Google Inc
352,369,92367P,45120J,03/21/11,Google Inc
206,244,461202,79466L,04/04/11,Google Inc
275,370,75525F,59466R,04/07/11,Google Inc
1,371,629050,29265W,04/21/11,Google Inc
280,372,J59399,248215,04/25/11,Google Inc
373,352,94973V,92367P,05/12/11,Google Inc
222,87,056752,594918,05/26/11,Google Inc
0,374,38259P,423012,06/30/11,Google Inc
233,1,526250,629050,07/05/11,Google Inc
1,375,629050,78949Q,07/29/11,Google Inc
8,342,891493,835699,08/31/11,Google Inc
10,342,433578,835699,08/31/11,Google Inc
87,376,594918,47660L,09/08/11,Google Inc
280,377,J59399,796050,09/13/11,Google Inc
280,378,J59399,J6354Y,09/13/11,Google Inc
280,9,J59399,359590,09/13/11,Google Inc
280,1,J59399,629050,09/13/11,Google Inc
377,1,796050,629050,09/13/11,Google Inc
378,1,J6354Y,629050,09/13/11,Google Inc
9,1,359590,629050,09/13/11,Google Inc
379,282,87944W,654902,09/23/11,Google Inc
280,380,J59399,45958E,09/30/11,Google Inc
270,381,78656H,84183L,10/21/11,Google Inc
3,1,865613,629050,11/09/11,Google Inc
237,1,654743,629050,11/09/11,Google Inc
1,382,629050,J75390,11/09/11,Google Inc
326,70,892331,458140,11/11/11,Google Inc
87,383,594918,01150H,11/29/11,Google Inc
87,384,594918,43341Q,12/06/11,Google Inc
385,0,98927J,38259P,12/06/11,Google Inc
386,87,369604,594918,12/08/11,Google Inc
387,87,36069Q,594918,12/08/11,Google Inc
388,87,J18807,594918,12/20/11,Google Inc
280,389,J59399,J3871L,01/30/12,Google Inc
271,366,88973K,05121Y,02/15/12,Google Inc
390,0,50653V,38259P,02/21/12,Google Inc
391,244,24709L,79466L,02/23/12,Google Inc
392,1,93586W,629050,02/23/12,Google Inc
247,372,G81477,248215,03/12/12,Google Inc
87,393,594918,62512M,03/22/12,Google Inc
394,87,109473,594918,04/13/12,Google Inc
1,395,629050,98305X,04/18/12,Google Inc
396,87,067774,594918,05/01/12,Google Inc
397,87,93561J,594918,05/02/12,Google Inc
398,87,G7771K,594918,05/03/12,Google Inc
399,352,224044,92367P,05/17/12,Google Inc
400,110,49037Q,64110W,05/21/12,Google Inc
110,401,64110W,55781L,05/21/12,Google Inc
244,402,79466L,88465Z,06/13/12,Google Inc
403,326,Y62121,892331,06/20/12,Google Inc
342,378,835699,J6354Y,06/22/12,Google Inc
9,280,359590,J59399,07/31/12,Google Inc
9,1,359590,629050,07/31/12,Google Inc
280,1,J59399,629050,07/31/12,Google Inc
280,404,J59399,35960C,07/31/12,Google Inc
1,404,629050,35960C,07/31/12,Google Inc
405,244,54133R,79466L,08/03/12,Google Inc
87,406,594918,69161J,08/06/12,Google Inc
407,0,414549,38259P,09/18/12,Google Inc
342,408,835699,J61240,09/28/12,Google Inc
282,147,654902,68389X,10/01/12,Google Inc
352,409,92367P,88732J,10/04/12,Google Inc
410,87,25874M,594918,10/11/12,Google Inc
1,411,629050,40910R,10/23/12,Google Inc
336,87,007903,594918,10/29/12,Google Inc
412,0,819882,38259P,10/29/12,Google Inc
412,87,819882,594918,10/29/12,Google Inc
413,0,037833,38259P,10/29/12,Google Inc
413,87,037833,594918,10/29/12,Google Inc
0,87,38259P,594918,10/29/12,Google Inc
414,87,29962V,594918,10/30/12,Google Inc
415,352,20030N,92367P,11/14/12,Google Inc
412,416,819882,72602T,12/04/12,Google Inc
277,417,185385,48671Z,12/06/12,Google Inc
418,206,G6258F,461202,12/11/12,Google Inc
282,419,654902,1A0175,12/17/12,Google Inc
282,420,654902,07651L,12/21/12,Google Inc
0,1,64110W,82639Z,07/24/00,163.com
0,2,64110W,70969J,12/20/00,163.com
0,3,64110W,69486E,12/20/00,163.com
2,3,70969J,69486E,12/20/00,163.com
1,4,82639Z,23622E,09/06/02,163.com
0,5,64110W,871503,09/10/02,163.com
6,5,866810,871503,04/14/03,163.com
7,5,749719,871503,07/02/03,163.com
8,5,268180,871503,07/08/03,163.com
9,0,G81477,64110W,03/08/04,163.com
9,10,G81477,83408W,03/08/04,163.com
0,11,64110W,83408W,03/08/04,163.com
12,5,83301X,871503,03/16/04,163.com
13,5,69267Q,871503,04/14/04,163.com
0,14,64110W,38259P,07/01/04,163.com
15,5,205363,871503,02/24/05,163.com
16,14,46338M,38259P,07/06/05,163.com
17,0,65691T,64110W,08/12/05,163.com
14,18,38259P,53811R,08/25/05,163.com
17,11,65691T,83408W,08/25/05,163.com
17,19,65691T,17072N,08/25/05,163.com
20,5,690310,871503,09/12/05,163.com
21,14,90017X,38259P,11/18/05,163.com
22,14,620076,38259P,01/05/06,163.com
23,14,48670Q,38259P,01/30/06,163.com
11,24,83408W,48123P,06/12/06,163.com
14,25,38259P,461202,09/13/06,163.com
26,5,48203R,871503,09/14/06,163.com
5,27,871503,92343E,10/10/06,163.com
5,28,871503,19984H,11/14/06,163.com
29,5,09609W,871503,01/22/07,163.com
30,14,44781R,38259P,02/01/07,163.com
