size,startDate,ego,id
92,07/11/02,Google Inc,38259P
93,07/11/02,Google Inc,38259P
94,07/11/02,Google Inc,38259P
95,07/11/02,Google Inc,38259P
96,07/11/02,Google Inc,38259P
97,07/11/02,Google Inc,38259P
98,07/11/02,Google Inc,38259P
99,07/11/02,Google Inc,38259P
100,09/04/02,Google Inc,38259P
101,09/04/02,Google Inc,38259P
102,09/26/02,Google Inc,38259P
103,09/26/02,Google Inc,38259P
104,09/26/02,Google Inc,38259P
105,09/26/02,Google Inc,38259P
106,09/30/02,Google Inc,38259P
107,10/16/02,Google Inc,38259P
108,10/16/02,Google Inc,38259P
109,10/23/02,Google Inc,38259P
110,10/23/02,Google Inc,38259P
111,10/28/02,Google Inc,38259P
112,11/01/02,Google Inc,38259P
113,11/12/02,Google Inc,38259P
114,11/12/02,Google Inc,38259P
115,11/12/02,Google Inc,38259P
116,11/12/02,Google Inc,38259P
117,11/12/02,Google Inc,38259P
118,11/12/02,Google Inc,38259P
119,11/12/02,Google Inc,38259P
120,11/12/02,Google Inc,38259P
121,11/12/02,Google Inc,38259P
122,11/12/02,Google Inc,38259P
123,11/12/02,Google Inc,38259P
124,01/30/03,Google Inc,38259P
125,03/19/03,Google Inc,38259P
126,03/31/03,Google Inc,38259P
127,07/30/03,Google Inc,38259P
128,09/29/03,Google Inc,38259P
129,09/30/03,Google Inc,38259P
130,10/07/03,Google Inc,38259P
131,10/10/03,Google Inc,38259P
132,10/23/03,Google Inc,38259P
133,10/31/03,Google Inc,38259P
134,11/05/03,Google Inc,38259P
135,11/10/03,Google Inc,38259P
136,12/04/03,Google Inc,38259P
137,12/17/03,Google Inc,38259P
138,12/18/03,Google Inc,38259P
139,12/18/03,Google Inc,38259P
140,01/13/04,Google Inc,38259P
141,01/21/04,Google Inc,38259P
142,02/17/04,Google Inc,38259P
143,02/17/04,Google Inc,38259P
144,02/19/04,Google Inc,38259P
145,03/23/04,Google Inc,38259P
146,04/05/04,Google Inc,38259P
147,04/26/04,Google Inc,38259P
148,04/26/04,Google Inc,38259P
149,05/03/04,Google Inc,38259P
150,05/10/04,Google Inc,38259P
151,05/12/04,Google Inc,38259P
152,05/17/04,Google Inc,38259P
153,05/17/04,Google Inc,38259P
154,05/24/04,Google Inc,38259P
155,06/08/04,Google Inc,38259P
156,06/15/04,Google Inc,38259P
157,06/15/04,Google Inc,38259P
158,06/28/04,Google Inc,38259P
159,07/01/04,Google Inc,38259P
160,07/05/04,Google Inc,38259P
161,07/15/04,Google Inc,38259P
162,09/14/04,Google Inc,38259P
163,10/14/04,Google Inc,38259P
164,11/10/04,Google Inc,38259P
165,11/15/04,Google Inc,38259P
166,11/17/04,Google Inc,38259P
167,11/18/04,Google Inc,38259P
168,11/22/04,Google Inc,38259P
169,12/16/04,Google Inc,38259P
170,01/11/05,Google Inc,38259P
171,01/18/05,Google Inc,38259P
172,02/15/05,Google Inc,38259P
173,02/15/05,Google Inc,38259P
174,03/14/05,Google Inc,38259P
175,03/22/05,Google Inc,38259P
176,03/30/05,Google Inc,38259P
177,04/26/05,Google Inc,38259P
178,05/11/05,Google Inc,38259P
179,05/26/05,Google Inc,38259P
180,05/29/05,Google Inc,38259P
181,06/03/05,Google Inc,38259P
182,06/06/05,Google Inc,38259P
183,06/06/05,Google Inc,38259P
184,06/06/05,Google Inc,38259P
185,06/07/05,Google Inc,38259P
186,06/07/05,Google Inc,38259P
187,06/09/05,Google Inc,38259P
188,06/27/05,Google Inc,38259P
189,06/30/05,Google Inc,38259P
190,06/30/05,Google Inc,38259P
191,06/30/05,Google Inc,38259P
192,06/30/05,Google Inc,38259P
193,07/05/05,Google Inc,38259P
194,07/06/05,Google Inc,38259P
195,07/14/05,Google Inc,38259P
196,08/12/05,Google Inc,38259P
197,08/25/05,Google Inc,38259P
198,08/29/05,Google Inc,38259P
199,09/04/05,Google Inc,38259P
200,09/07/05,Google Inc,38259P
201,09/08/05,Google Inc,38259P
202,09/09/05,Google Inc,38259P
203,09/13/05,Google Inc,38259P
204,09/14/05,Google Inc,38259P
205,09/20/05,Google Inc,38259P
206,10/04/05,Google Inc,38259P
207,10/17/05,Google Inc,38259P
208,10/17/05,Google Inc,38259P
209,10/17/05,Google Inc,38259P
210,10/17/05,Google Inc,38259P
211,10/25/05,Google Inc,38259P
212,10/25/05,Google Inc,38259P
213,10/31/05,Google Inc,38259P
214,11/17/05,Google Inc,38259P
215,11/18/05,Google Inc,38259P
216,11/25/05,Google Inc,38259P
217,11/28/05,Google Inc,38259P
218,12/06/05,Google Inc,38259P
219,12/06/05,Google Inc,38259P
220,12/06/05,Google Inc,38259P
221,12/13/05,Google Inc,38259P
222,01/05/06,Google Inc,38259P
223,01/05/06,Google Inc,38259P
224,01/06/06,Google Inc,38259P
225,01/06/06,Google Inc,38259P
226,01/07/06,Google Inc,38259P
227,01/20/06,Google Inc,38259P
228,01/30/06,Google Inc,38259P
229,02/01/06,Google Inc,38259P
230,02/09/06,Google Inc,38259P
231,02/09/06,Google Inc,38259P
232,02/12/06,Google Inc,38259P
233,02/13/06,Google Inc,38259P
234,02/16/06,Google Inc,38259P
235,03/03/06,Google Inc,38259P
236,03/07/06,Google Inc,38259P
237,03/13/06,Google Inc,38259P
238,03/20/06,Google Inc,38259P
239,04/05/06,Google Inc,38259P
240,04/05/06,Google Inc,38259P
241,04/07/06,Google Inc,38259P
242,04/07/06,Google Inc,38259P
243,04/07/06,Google Inc,38259P
244,04/07/06,Google Inc,38259P
245,04/07/06,Google Inc,38259P
246,04/12/06,Google Inc,38259P
247,04/21/06,Google Inc,38259P
248,04/21/06,Google Inc,38259P
249,04/24/06,Google Inc,38259P
250,04/25/06,Google Inc,38259P
251,05/02/06,Google Inc,38259P
252,05/03/06,Google Inc,38259P
253,05/08/06,Google Inc,38259P
254,05/09/06,Google Inc,38259P
255,05/11/06,Google Inc,38259P
256,05/23/06,Google Inc,38259P
257,05/23/06,Google Inc,38259P
258,05/23/06,Google Inc,38259P
259,05/30/06,Google Inc,38259P
260,06/06/06,Google Inc,38259P
261,06/06/06,Google Inc,38259P
262,06/26/06,Google Inc,38259P
263,06/27/06,Google Inc,38259P
264,07/03/06,Google Inc,38259P
265,07/06/06,Google Inc,38259P
266,07/18/06,Google Inc,38259P
267,07/18/06,Google Inc,38259P
268,07/21/06,Google Inc,38259P
269,07/25/06,Google Inc,38259P
270,07/25/06,Google Inc,38259P
271,07/25/06,Google Inc,38259P
272,07/26/06,Google Inc,38259P
273,07/27/06,Google Inc,38259P
274,08/07/06,Google Inc,38259P
275,08/23/06,Google Inc,38259P
276,08/29/06,Google Inc,38259P
277,09/06/06,Google Inc,38259P
278,09/07/06,Google Inc,38259P
279,09/13/06,Google Inc,38259P
280,09/18/06,Google Inc,38259P
281,09/21/06,Google Inc,38259P
282,09/27/06,Google Inc,38259P
283,10/03/06,Google Inc,38259P
284,10/18/06,Google Inc,38259P
285,10/31/06,Google Inc,38259P
286,11/02/06,Google Inc,38259P
287,11/06/06,Google Inc,38259P
288,11/13/06,Google Inc,38259P
289,11/13/06,Google Inc,38259P
290,11/13/06,Google Inc,38259P
291,11/13/06,Google Inc,38259P
292,11/15/06,Google Inc,38259P
293,11/15/06,Google Inc,38259P
294,11/16/06,Google Inc,38259P
295,11/20/06,Google Inc,38259P
296,12/11/06,Google Inc,38259P
297,12/16/06,Google Inc,38259P
298,12/19/06,Google Inc,38259P
299,01/08/07,Google Inc,38259P
300,01/08/07,Google Inc,38259P
301,01/10/07,Google Inc,38259P
302,01/15/07,Google Inc,38259P
303,01/30/07,Google Inc,38259P
304,01/31/07,Google Inc,38259P
305,02/01/07,Google Inc,38259P
306,02/12/07,Google Inc,38259P
307,03/12/07,Google Inc,38259P
308,03/13/07,Google Inc,38259P
309,03/14/07,Google Inc,38259P
310,03/20/07,Google Inc,38259P
311,03/22/07,Google Inc,38259P
312,03/22/07,Google Inc,38259P
313,04/13/07,Google Inc,38259P
314,04/13/07,Google Inc,38259P
315,04/13/07,Google Inc,38259P
316,04/13/07,Google Inc,38259P
317,04/16/07,Google Inc,38259P
318,05/01/07,Google Inc,38259P
319,05/14/07,Google Inc,38259P
320,05/15/07,Google Inc,38259P
321,05/19/07,Google Inc,38259P
322,05/21/07,Google Inc,38259P
323,05/22/07,Google Inc,38259P
324,06/06/07,Google Inc,38259P
325,06/11/07,Google Inc,38259P
326,06/14/07,Google Inc,38259P
327,06/18/07,Google Inc,38259P
328,06/18/07,Google Inc,38259P
329,06/25/07,Google Inc,38259P
330,06/25/07,Google Inc,38259P
331,06/27/07,Google Inc,38259P
332,07/18/07,Google Inc,38259P
333,07/27/07,Google Inc,38259P
334,07/30/07,Google Inc,38259P
335,07/30/07,Google Inc,38259P
336,08/06/07,Google Inc,38259P
337,08/21/07,Google Inc,38259P
338,08/22/07,Google Inc,38259P
339,08/26/07,Google Inc,38259P
340,09/07/07,Google Inc,38259P
341,09/12/07,Google Inc,38259P
342,09/12/07,Google Inc,38259P
343,09/12/07,Google Inc,38259P
344,09/12/07,Google Inc,38259P
345,09/19/07,Google Inc,38259P
346,09/24/07,Google Inc,38259P
347,10/02/07,Google Inc,38259P
348,10/24/07,Google Inc,38259P
349,10/26/07,Google Inc,38259P
350,10/26/07,Google Inc,38259P
351,11/05/07,Google Inc,38259P
352,11/21/07,Google Inc,38259P
353,12/05/07,Google Inc,38259P
354,12/12/07,Google Inc,38259P
355,01/07/08,Google Inc,38259P
356,01/07/08,Google Inc,38259P
357,01/08/08,Google Inc,38259P
358,01/09/08,Google Inc,38259P
359,01/10/08,Google Inc,38259P
360,01/15/08,Google Inc,38259P
361,01/15/08,Google Inc,38259P
362,01/21/08,Google Inc,38259P
363,01/22/08,Google Inc,38259P
364,01/22/08,Google Inc,38259P
365,01/23/08,Google Inc,38259P
366,01/23/08,Google Inc,38259P
367,01/23/08,Google Inc,38259P
368,01/24/08,Google Inc,38259P
369,01/26/08,Google Inc,38259P
370,02/11/08,Google Inc,38259P
371,02/12/08,Google Inc,38259P
372,02/12/08,Google Inc,38259P
373,02/14/08,Google Inc,38259P
374,02/14/08,Google Inc,38259P
375,02/14/08,Google Inc,38259P
376,02/14/08,Google Inc,38259P
377,02/14/08,Google Inc,38259P
378,02/14/08,Google Inc,38259P
379,02/14/08,Google Inc,38259P
380,02/14/08,Google Inc,38259P
381,02/14/08,Google Inc,38259P
382,02/14/08,Google Inc,38259P
383,02/14/08,Google Inc,38259P
384,02/21/08,Google Inc,38259P
385,02/24/08,Google Inc,38259P
386,02/25/08,Google Inc,38259P
387,02/26/08,Google Inc,38259P
388,02/28/08,Google Inc,38259P
389,03/12/08,Google Inc,38259P
390,03/18/08,Google Inc,38259P
391,03/31/08,Google Inc,38259P
392,04/08/08,Google Inc,38259P
393,04/10/08,Google Inc,38259P
394,04/14/08,Google Inc,38259P
395,04/21/08,Google Inc,38259P
396,05/02/08,Google Inc,38259P
397,05/02/08,Google Inc,38259P
398,05/06/08,Google Inc,38259P
399,05/06/08,Google Inc,38259P
400,05/12/08,Google Inc,38259P
401,05/14/08,Google Inc,38259P
402,05/14/08,Google Inc,38259P
403,05/30/08,Google Inc,38259P
404,06/04/08,Google Inc,38259P
405,06/11/08,Google Inc,38259P
406,06/18/08,Google Inc,38259P
407,06/24/08,Google Inc,38259P
408,06/24/08,Google Inc,38259P
409,06/30/08,Google Inc,38259P
410,07/07/08,Google Inc,38259P
411,07/08/08,Google Inc,38259P
412,07/09/08,Google Inc,38259P
413,07/09/08,Google Inc,38259P
414,07/18/08,Google Inc,38259P
415,07/22/08,Google Inc,38259P
416,08/15/08,Google Inc,38259P
417,08/15/08,Google Inc,38259P
418,08/28/08,Google Inc,38259P
419,09/08/08,Google Inc,38259P
420,09/09/08,Google Inc,38259P
421,09/12/08,Google Inc,38259P
422,09/15/08,Google Inc,38259P
423,09/16/08,Google Inc,38259P
424,09/16/08,Google Inc,38259P
425,09/18/08,Google Inc,38259P
426,09/24/08,Google Inc,38259P
427,09/25/08,Google Inc,38259P
428,10/03/08,Google Inc,38259P
429,10/22/08,Google Inc,38259P
430,10/22/08,Google Inc,38259P
431,10/28/08,Google Inc,38259P
432,11/03/08,Google Inc,38259P
433,11/18/08,Google Inc,38259P
434,12/08/08,Google Inc,38259P
435,12/08/08,Google Inc,38259P
436,01/14/09,Google Inc,38259P
437,01/28/09,Google Inc,38259P
438,02/17/09,Google Inc,38259P
439,02/17/09,Google Inc,38259P
440,02/18/09,Google Inc,38259P
441,03/27/09,Google Inc,38259P
442,04/27/09,Google Inc,38259P
443,05/20/09,Google Inc,38259P
444,06/05/09,Google Inc,38259P
445,06/23/09,Google Inc,38259P
446,07/15/09,Google Inc,38259P
447,07/15/09,Google Inc,38259P
448,07/15/09,Google Inc,38259P
449,07/15/09,Google Inc,38259P
450,07/29/09,Google Inc,38259P
451,07/29/09,Google Inc,38259P
452,08/02/09,Google Inc,38259P
453,08/04/09,Google Inc,38259P
454,08/13/09,Google Inc,38259P
455,08/26/09,Google Inc,38259P
456,09/01/09,Google Inc,38259P
457,09/07/09,Google Inc,38259P
458,09/07/09,Google Inc,38259P
459,09/07/09,Google Inc,38259P
460,09/07/09,Google Inc,38259P
461,09/07/09,Google Inc,38259P
462,09/07/09,Google Inc,38259P
463,09/07/09,Google Inc,38259P
464,09/07/09,Google Inc,38259P
465,09/07/09,Google Inc,38259P
466,09/08/09,Google Inc,38259P
467,09/09/09,Google Inc,38259P
468,09/15/09,Google Inc,38259P
469,09/15/09,Google Inc,38259P
470,09/16/09,Google Inc,38259P
471,09/22/09,Google Inc,38259P
472,09/23/09,Google Inc,38259P
473,09/23/09,Google Inc,38259P
474,09/23/09,Google Inc,38259P
475,09/28/09,Google Inc,38259P
476,10/06/09,Google Inc,38259P
477,10/26/09,Google Inc,38259P
478,10/27/09,Google Inc,38259P
479,10/27/09,Google Inc,38259P
480,12/01/09,Google Inc,38259P
481,12/09/09,Google Inc,38259P
482,12/16/09,Google Inc,38259P
483,01/01/10,Google Inc,38259P
484,01/01/10,Google Inc,38259P
485,05/04/10,Google Inc,38259P
486,05/19/10,Google Inc,38259P
487,05/20/10,Google Inc,38259P
488,05/20/10,Google Inc,38259P
489,05/24/10,Google Inc,38259P
490,07/06/10,Google Inc,38259P
491,08/03/10,Google Inc,38259P
492,08/03/10,Google Inc,38259P
493,08/31/10,Google Inc,38259P
494,09/08/10,Google Inc,38259P
495,09/15/10,Google Inc,38259P
496,09/21/10,Google Inc,38259P
497,10/08/10,Google Inc,38259P
498,10/12/10,Google Inc,38259P
499,11/08/10,Google Inc,38259P
500,01/26/11,Google Inc,38259P
501,01/31/11,Google Inc,38259P
502,02/11/11,Google Inc,38259P
503,03/21/11,Google Inc,38259P
504,04/04/11,Google Inc,38259P
505,04/07/11,Google Inc,38259P
506,04/21/11,Google Inc,38259P
507,04/25/11,Google Inc,38259P
508,05/12/11,Google Inc,38259P
509,05/26/11,Google Inc,38259P
510,06/30/11,Google Inc,38259P
511,07/05/11,Google Inc,38259P
512,07/29/11,Google Inc,38259P
513,08/31/11,Google Inc,38259P
514,08/31/11,Google Inc,38259P
515,09/08/11,Google Inc,38259P
516,09/13/11,Google Inc,38259P
517,09/13/11,Google Inc,38259P
518,09/13/11,Google Inc,38259P
519,09/13/11,Google Inc,38259P
520,09/13/11,Google Inc,38259P
521,09/13/11,Google Inc,38259P
522,09/13/11,Google Inc,38259P
523,09/23/11,Google Inc,38259P
524,09/30/11,Google Inc,38259P
525,10/21/11,Google Inc,38259P
526,11/09/11,Google Inc,38259P
527,11/09/11,Google Inc,38259P
528,11/09/11,Google Inc,38259P
529,11/11/11,Google Inc,38259P
530,11/29/11,Google Inc,38259P
531,12/06/11,Google Inc,38259P
532,12/06/11,Google Inc,38259P
533,12/08/11,Google Inc,38259P
534,12/08/11,Google Inc,38259P
535,12/20/11,Google Inc,38259P
536,01/30/12,Google Inc,38259P
537,02/15/12,Google Inc,38259P
538,02/21/12,Google Inc,38259P
539,02/23/12,Google Inc,38259P
540,02/23/12,Google Inc,38259P
541,03/12/12,Google Inc,38259P
542,03/22/12,Google Inc,38259P
543,04/13/12,Google Inc,38259P
544,04/18/12,Google Inc,38259P
545,05/01/12,Google Inc,38259P
546,05/02/12,Google Inc,38259P
547,05/03/12,Google Inc,38259P
548,05/17/12,Google Inc,38259P
549,05/21/12,Google Inc,38259P
550,05/21/12,Google Inc,38259P
551,06/13/12,Google Inc,38259P
552,06/20/12,Google Inc,38259P
553,06/22/12,Google Inc,38259P
554,07/31/12,Google Inc,38259P
555,07/31/12,Google Inc,38259P
556,07/31/12,Google Inc,38259P
557,07/31/12,Google Inc,38259P
558,07/31/12,Google Inc,38259P
559,08/03/12,Google Inc,38259P
560,08/06/12,Google Inc,38259P
561,09/18/12,Google Inc,38259P
562,09/28/12,Google Inc,38259P
563,10/01/12,Google Inc,38259P
564,10/04/12,Google Inc,38259P
565,10/11/12,Google Inc,38259P
566,10/23/12,Google Inc,38259P
567,10/29/12,Google Inc,38259P
568,10/29/12,Google Inc,38259P
569,10/29/12,Google Inc,38259P
570,10/29/12,Google Inc,38259P
571,10/29/12,Google Inc,38259P
572,10/29/12,Google Inc,38259P
573,10/30/12,Google Inc,38259P
574,11/14/12,Google Inc,38259P
575,12/04/12,Google Inc,38259P
576,12/06/12,Google Inc,38259P
577,12/11/12,Google Inc,38259P
578,12/17/12,Google Inc,38259P
579,12/21/12,Google Inc,38259P
1,07/24/00,163.com,64110W
2,12/20/00,163.com,64110W
3,12/20/00,163.com,64110W
4,12/20/00,163.com,64110W
5,09/06/02,163.com,64110W
6,09/10/02,163.com,64110W
7,04/14/03,163.com,64110W
8,07/02/03,163.com,64110W
9,07/08/03,163.com,64110W
10,03/08/04,163.com,64110W
11,03/08/04,163.com,64110W
12,03/08/04,163.com,64110W
13,03/16/04,163.com,64110W
14,04/14/04,163.com,64110W
15,07/01/04,163.com,64110W
16,02/24/05,163.com,64110W
17,07/06/05,163.com,64110W
18,08/12/05,163.com,64110W
19,08/25/05,163.com,64110W
20,08/25/05,163.com,64110W
21,08/25/05,163.com,64110W
22,09/12/05,163.com,64110W
23,11/18/05,163.com,64110W
24,01/05/06,163.com,64110W
25,01/30/06,163.com,64110W
26,06/12/06,163.com,64110W
27,09/13/06,163.com,64110W
28,09/14/06,163.com,64110W
29,10/10/06,163.com,64110W
30,11/14/06,163.com,64110W
31,01/22/07,163.com,64110W
32,02/01/07,163.com,64110W
33,03/20/07,163.com,64110W
34,03/22/07,163.com,64110W
35,04/16/07,163.com,64110W
36,05/17/07,163.com,64110W
37,05/19/07,163.com,64110W
38,05/21/07,163.com,64110W
39,05/21/07,163.com,64110W
40,06/11/07,163.com,64110W
41,10/26/07,163.com,64110W
42,11/01/07,163.com,64110W
43,11/21/07,163.com,64110W
44,12/05/07,163.com,64110W
45,01/08/08,163.com,64110W
46,01/10/08,163.com,64110W
47,01/15/08,163.com,64110W
48,01/24/08,163.com,64110W
49,02/12/08,163.com,64110W
50,02/21/08,163.com,64110W
51,02/24/08,163.com,64110W
52,02/28/08,163.com,64110W
53,03/10/08,163.com,64110W
54,04/23/08,163.com,64110W
55,06/04/08,163.com,64110W
56,07/18/08,163.com,64110W
57,08/15/08,163.com,64110W
58,09/08/08,163.com,64110W
59,09/15/08,163.com,64110W
60,10/28/08,163.com,64110W
61,11/19/08,163.com,64110W
62,12/11/08,163.com,64110W
63,05/20/09,163.com,64110W
64,08/12/09,163.com,64110W
65,09/01/09,163.com,64110W
66,09/23/09,163.com,64110W
67,09/23/09,163.com,64110W
68,10/06/09,163.com,64110W
69,01/20/10,163.com,64110W
70,05/20/10,163.com,64110W
71,06/30/11,163.com,64110W
72,12/06/11,163.com,64110W
73,02/21/12,163.com,64110W
74,03/12/12,163.com,64110W
75,05/21/12,163.com,64110W
76,05/21/12,163.com,64110W
77,05/21/12,163.com,64110W
78,06/21/12,163.com,64110W
79,09/18/12,163.com,64110W
80,10/29/12,163.com,64110W
81,10/29/12,163.com,64110W
82,10/29/12,163.com,64110W
1,02/18/00,AT&T Corp,001957
2,02/24/00,AT&T Corp,001957
3,03/03/00,AT&T Corp,001957
4,03/03/00,AT&T Corp,001957
5,03/03/00,AT&T Corp,001957
6,03/31/00,AT&T Corp,001957
7,05/11/00,AT&T Corp,001957
8,05/17/00,AT&T Corp,001957
9,05/17/00,AT&T Corp,001957
10,05/23/00,AT&T Corp,001957
11,05/23/00,AT&T Corp,001957
12,05/23/00,AT&T Corp,001957
13,05/23/00,AT&T Corp,001957
14,05/23/00,AT&T Corp,001957
15,05/23/00,AT&T Corp,001957
16,05/24/00,AT&T Corp,001957
17,06/01/00,AT&T Corp,001957
18,06/01/00,AT&T Corp,001957
19,06/01/00,AT&T Corp,001957
20,06/05/00,AT&T Corp,001957
21,06/05/00,AT&T Corp,001957
22,06/06/00,AT&T Corp,001957
23,06/06/00,AT&T Corp,001957
24,06/06/00,AT&T Corp,001957
25,06/07/00,AT&T Corp,001957
26,06/14/00,AT&T Corp,001957
27,06/14/00,AT&T Corp,001957
28,06/15/00,AT&T Corp,001957
29,06/15/00,AT&T Corp,001957
30,06/15/00,AT&T Corp,001957
31,06/15/00,AT&T Corp,001957
32,06/22/00,AT&T Corp,001957
33,06/23/00,AT&T Corp,001957
34,06/27/00,AT&T Corp,001957
35,06/27/00,AT&T Corp,001957
36,06/27/00,AT&T Corp,001957
37,06/27/00,AT&T Corp,001957
38,06/27/00,AT&T Corp,001957
39,06/27/00,AT&T Corp,001957
40,06/27/00,AT&T Corp,001957
41,06/27/00,AT&T Corp,001957
42,06/28/00,AT&T Corp,001957
43,06/28/00,AT&T Corp,001957
44,06/30/00,AT&T Corp,001957
45,07/11/00,AT&T Corp,001957
46,07/11/00,AT&T Corp,001957
47,07/11/00,AT&T Corp,001957
48,07/11/00,AT&T Corp,001957
49,07/11/00,AT&T Corp,001957
50,07/11/00,AT&T Corp,001957
51,07/11/00,AT&T Corp,001957
52,07/16/00,AT&T Corp,001957
53,07/20/00,AT&T Corp,001957
54,08/02/00,AT&T Corp,001957
55,08/03/00,AT&T Corp,001957
56,08/03/00,AT&T Corp,001957
57,08/03/00,AT&T Corp,001957
58,08/03/00,AT&T Corp,001957
59,08/03/00,AT&T Corp,001957
60,08/08/00,AT&T Corp,001957
61,08/24/00,AT&T Corp,001957
62,08/24/00,AT&T Corp,001957
63,08/28/00,AT&T Corp,001957
64,09/05/00,AT&T Corp,001957
65,09/07/00,AT&T Corp,001957
66,09/07/00,AT&T Corp,001957
67,09/14/00,AT&T Corp,001957
68,09/19/00,AT&T Corp,001957
69,09/19/00,AT&T Corp,001957
70,09/19/00,AT&T Corp,001957
71,09/19/00,AT&T Corp,001957
72,09/19/00,AT&T Corp,001957
73,09/19/00,AT&T Corp,001957
74,09/19/00,AT&T Corp,001957
75,09/20/00,AT&T Corp,001957
76,09/21/00,AT&T Corp,001957
77,09/21/00,AT&T Corp,001957
78,09/21/00,AT&T Corp,001957
79,09/21/00,AT&T Corp,001957
80,09/21/00,AT&T Corp,001957
81,09/22/00,AT&T Corp,001957
82,09/26/00,AT&T Corp,001957
83,09/26/00,AT&T Corp,001957
84,09/28/00,AT&T Corp,001957
85,10/02/00,AT&T Corp,001957
86,10/02/00,AT&T Corp,001957
87,10/03/00,AT&T Corp,001957
88,10/03/00,AT&T Corp,001957
89,10/03/00,AT&T Corp,001957
90,10/04/00,AT&T Corp,001957
91,10/06/00,AT&T Corp,001957
92,10/10/00,AT&T Corp,001957
93,10/10/00,AT&T Corp,001957
94,10/10/00,AT&T Corp,001957
95,10/11/00,AT&T Corp,001957
96,10/17/00,AT&T Corp,001957
97,10/17/00,AT&T Corp,001957
98,10/17/00,AT&T Corp,001957
99,10/17/00,AT&T Corp,001957
100,10/17/00,AT&T Corp,001957
101,10/17/00,AT&T Corp,001957
102,10/20/00,AT&T Corp,001957
103,10/24/00,AT&T Corp,001957
104,10/25/00,AT&T Corp,001957
105,11/01/00,AT&T Corp,001957
106,11/13/00,AT&T Corp,001957
107,11/14/00,AT&T Corp,001957
108,11/14/00,AT&T Corp,001957
109,11/16/00,AT&T Corp,001957
110,11/21/00,AT&T Corp,001957
111,11/28/00,AT&T Corp,001957
112,11/29/00,AT&T Corp,001957
113,11/29/00,AT&T Corp,001957
114,11/30/00,AT&T Corp,001957
115,11/30/00,AT&T Corp,001957
116,11/30/00,AT&T Corp,001957
117,12/02/00,AT&T Corp,001957
118,12/05/00,AT&T Corp,001957
